#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72399.1           -           1298 2069at5820           -            719  1.2e-277  921.8   3.8   1   7     2e-99   4.1e-96  321.7   0.0    21   215   219   419   213   435 0.95 valine--tRNA ligase, putative [Plasmodium vivax]
SCO72399.1           -           1298 2069at5820           -            719  1.2e-277  921.8   3.8   2   7   1.1e-19   2.3e-16   58.0   0.0   228   280   507   560   496   574 0.93 valine--tRNA ligase, putative [Plasmodium vivax]
SCO72399.1           -           1298 2069at5820           -            719  1.2e-277  921.8   3.8   3   7       0.1   2.1e+02   -1.3   0.0   278   294   583   599   578   603 0.79 valine--tRNA ligase, putative [Plasmodium vivax]
SCO72399.1           -           1298 2069at5820           -            719  1.2e-277  921.8   3.8   4   7   7.6e-30   1.6e-26   91.7   0.0   293   367   658   742   652   745 0.87 valine--tRNA ligase, putative [Plasmodium vivax]
SCO72399.1           -           1298 2069at5820           -            719  1.2e-277  921.8   3.8   5   7   3.3e-50     7e-47  158.9   0.1   368   466   780   879   776   882 0.97 valine--tRNA ligase, putative [Plasmodium vivax]
SCO72399.1           -           1298 2069at5820           -            719  1.2e-277  921.8   3.8   6   7   2.2e-61   4.7e-58  195.9   0.8   466   610   917  1084   915  1088 0.86 valine--tRNA ligase, putative [Plasmodium vivax]
SCO72399.1           -           1298 2069at5820           -            719  1.2e-277  921.8   3.8   7   7   4.3e-27     9e-24   82.5   0.0   612   713  1117  1256  1113  1259 0.79 valine--tRNA ligase, putative [Plasmodium vivax]
SCO74293.1           -           1071 2069at5820           -            719   4.9e-40  136.3  13.7   1   4   2.1e-22   4.3e-19   67.1   2.9    13   218    16   237     7   264 0.81 valine--tRNA ligase, putative [Plasmodium vivax]
SCO74293.1           -           1071 2069at5820           -            719   4.9e-40  136.3  13.7   2   4   1.8e-09   3.7e-06   24.3   0.1   308   366   412   477   404   493 0.80 valine--tRNA ligase, putative [Plasmodium vivax]
SCO74293.1           -           1071 2069at5820           -            719   4.9e-40  136.3  13.7   3   4   1.2e-15   2.6e-12   44.7   0.0   397   491   534   626   507   639 0.82 valine--tRNA ligase, putative [Plasmodium vivax]
SCO74293.1           -           1071 2069at5820           -            719   4.9e-40  136.3  13.7   4   4    0.0018       3.8    4.4   0.2   494   549   666   721   652   792 0.76 valine--tRNA ligase, putative [Plasmodium vivax]
SCO71218.1           -           1302 2069at5820           -            719   0.00028   18.1  25.7   1   5   1.9e-05     0.041   11.0   1.8    73   212   158   291   149   327 0.87 leucine--tRNA ligase, putative [Plasmodium vivax]
SCO71218.1           -           1302 2069at5820           -            719   0.00028   18.1  25.7   2   5      0.69   1.5e+03   -4.1   0.0   345   362   603   620   595   621 0.83 leucine--tRNA ligase, putative [Plasmodium vivax]
SCO71218.1           -           1302 2069at5820           -            719   0.00028   18.1  25.7   3   5     0.022        47    0.8   0.1   398   432   709   743   693   791 0.67 leucine--tRNA ligase, putative [Plasmodium vivax]
SCO71218.1           -           1302 2069at5820           -            719   0.00028   18.1  25.7   4   5    0.0032       6.8    3.6   0.3   482   540   919   977   911   983 0.92 leucine--tRNA ligase, putative [Plasmodium vivax]
SCO71218.1           -           1302 2069at5820           -            719   0.00028   18.1  25.7   5   5   5.2e-07    0.0011   16.2   3.6   573   651  1098  1180  1073  1202 0.73 leucine--tRNA ligase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2069at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2069at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2069at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:37:42 2026
# [ok]
