#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3   1  16      0.15   9.7e+02   -3.8   0.3     1    14     1    14     1    15 0.93 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3   2  16   2.3e-28   1.5e-24   85.0   7.7     9   106    35   136    29   173 0.68 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3   3  16    0.0092        58    0.2   0.7    77   105   141   172   110   198 0.74 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3   4  16   0.00078       4.9    3.8   3.9   100   132   311   345   297   370 0.73 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3   5  16   2.8e-12   1.8e-08   31.7   5.8    88   185   357   464   344   475 0.75 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3   6  16   6.7e-57   4.2e-53  179.4   8.9   186   291   628   733   622   738 0.96 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3   7  16   5.3e-22   3.3e-18   63.9   0.0   281   337   745   801   739   833 0.88 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3   8  16  5.9e-103   3.7e-99  331.8  29.3   348   573   939  1185   913  1188 0.91 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3   9  16   5.6e-12   3.6e-08   30.7   0.1   572   597  1254  1279  1252  1287 0.94 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3  10  16   2.4e-13   1.5e-09   35.3   0.6   597   641  1316  1373  1312  1376 0.82 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3  11  16   6.3e-10     4e-06   23.9   7.7   644   705  1424  1479  1419  1509 0.61 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3  12  16     4e-14   2.5e-10   37.8  16.9   672   726  1504  1558  1460  1573 0.77 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3  13  16     5e-76   3.1e-72  242.7   8.3   722   832  1609  1719  1599  1738 0.89 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3  14  16   5.3e-15   3.3e-11   40.7   5.2   834   889  1755  1810  1736  1827 0.76 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3  15  16   9.8e-18   6.1e-14   49.8   0.1   892   928  1888  1924  1884  1936 0.94 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
SCO72571.1           -           2051 2702at5820           -            961         0 1123.0 173.3  16  16   1.7e-09   1.1e-05   22.5   0.3   929   961  1989  2025  1976  2025 0.83 transcription factor with AP2 domain(s), putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2702at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2702at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2702at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:42:39 2026
# [ok]
