#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73665.1           -            822 2595at5820           -            752         0 1743.0   6.9   1   2         0         0 1638.6   2.5     1   697    21   718    21   725 1.00 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO73665.1           -            822 2595at5820           -            752         0 1743.0   6.9   2   2   9.2e-34   2.6e-31  106.8   0.1   691   752   743   808   736   808 0.94 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO70456.1           -           1089 2595at5820           -            752  2.5e-225  748.3   6.3   1   3     6e-18   1.7e-15   54.5   0.3    11   152   275   417   267   424 0.92 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO70456.1           -           1089 2595at5820           -            752  2.5e-225  748.3   6.3   2   3  1.2e-105  3.5e-103  344.4   0.4   156   418   444   707   435   717 0.97 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO70456.1           -           1089 2595at5820           -            752  2.5e-225  748.3   6.3   3   3  1.3e-107  3.6e-105  351.0   0.0   424   730   760  1082   754  1086 0.89 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO74938.1           -           1172 2595at5820           -            752   2.1e-94  315.4   2.3   1   4   1.8e-10     5e-08   29.8   0.0   460   518   343   401   333   434 0.84 AAA family ATPase, putative [Plasmodium vivax]
SCO74938.1           -           1172 2595at5820           -            752   2.1e-94  315.4   2.3   2   4   5.6e-21   1.6e-18   64.5   0.7   270   409   484   621   468   626 0.87 AAA family ATPase, putative [Plasmodium vivax]
SCO74938.1           -           1172 2595at5820           -            752   2.1e-94  315.4   2.3   3   4   4.1e-65   1.2e-62  210.4   0.0   434   651   739   953   733   999 0.95 AAA family ATPase, putative [Plasmodium vivax]
SCO74938.1           -           1172 2595at5820           -            752   2.1e-94  315.4   2.3   4   4    0.0018      0.51    6.6   0.0   655   688  1087  1120  1076  1154 0.81 AAA family ATPase, putative [Plasmodium vivax]
SCO75326.1           -           1070 2595at5820           -            752   1.3e-77  259.8   0.4   1   3   1.1e-10   3.1e-08   30.5   0.0   224   410   245   421   210   428 0.83 AAA family ATPase, putative [Plasmodium vivax]
SCO75326.1           -           1070 2595at5820           -            752   1.3e-77  259.8   0.4   2   3   1.8e-69     5e-67  224.9   0.1   446   689   559   801   535   839 0.90 AAA family ATPase, putative [Plasmodium vivax]
SCO75326.1           -           1070 2595at5820           -            752   1.3e-77  259.8   0.4   3   3      0.15        43    0.3   0.2    25    58   982  1015   977  1061 0.71 AAA family ATPase, putative [Plasmodium vivax]
SCO72225.1           -            447 2595at5820           -            752   9.2e-68  227.3   0.1   1   1   4.4e-70   1.3e-67  226.8   0.1   178   412   183   421   164   436 0.90 26S protease regulatory subunit 4, putative [Plasmodium vivax]
SCO75192.1           -            420 2595at5820           -            752   5.7e-61  204.8   0.4   1   1   2.8e-63   7.9e-61  204.4   0.4   178   419   154   397   144   409 0.92 26S protease regulatory subunit 7, putative [Plasmodium vivax]
SCO72789.1           -            441 2595at5820           -            752   8.4e-61  204.3   0.1   1   1   4.6e-63   1.3e-60  203.6   0.1   151   419   146   423   129   440 0.89 26S protease regulatory subunit 6A, putative [Plasmodium vivax]
SCO75140.1           -            393 2595at5820           -            752     2e-58  196.4   0.8   1   1   8.8e-61   2.5e-58  196.1   0.8   173   417   124   370    78   380 0.90 26S protease regulatory subunit 10B, putative [Plasmodium vivax]
SCO75728.1           -            424 2595at5820           -            752   1.2e-56  190.6   0.6   1   1   5.7e-59   1.6e-56  190.1   0.6   178   417   159   400   142   414 0.92 26S protease regulatory subunit 8, putative [Plasmodium vivax]
SCO71358.1           -            392 2595at5820           -            752     5e-56  188.5   0.1   1   1   2.4e-58     7e-56  188.0   0.1   183   415   134   369   108   378 0.72 26S protease regulatory subunit 6B, putative [Plasmodium vivax]
SCO75646.1           -            896 2595at5820           -            752   1.2e-53  180.6   0.1   1   2   1.4e-55   4.1e-53  178.9   0.0   456   683   157   387   142   414 0.92 ATP-dependent zinc metalloprotease FTSH 1, putative [Plasmodium vivax]
SCO75646.1           -            896 2595at5820           -            752   1.2e-53  180.6   0.1   2   2      0.47   1.4e+02   -1.4   0.0   333   371   695   735   690   746 0.77 ATP-dependent zinc metalloprotease FTSH 1, putative [Plasmodium vivax]
SCO74263.1           -            702 2595at5820           -            752   1.7e-49  166.9   0.4   1   1   1.1e-51   3.2e-49  166.0   0.4   451   691   239   478   229   489 0.90 ATP-dependent zinc metalloprotease FTSH, putative [Plasmodium vivax]
SCO72682.1           -            950 2595at5820           -            752   7.5e-49  164.8   0.2   1   1   3.7e-51   1.1e-48  164.3   0.2   183   409   398   633   384   651 0.89 ATP-dependent zinc metalloprotease FTSH, putative [Plasmodium vivax]
SCO72479.1           -            785 2595at5820           -            752   4.5e-48  162.2   0.9   1   3       3.3   9.5e+02   -4.2   0.1    50   103    48   101    46   110 0.67 N-ethylmaleimide-sensitive fusion protein, putative [Plasmodium vivax]
SCO72479.1           -            785 2595at5820           -            752   4.5e-48  162.2   0.9   2   3     3e-45   8.6e-43  144.7   0.0   462   711   256   521   237   535 0.67 N-ethylmaleimide-sensitive fusion protein, putative [Plasmodium vivax]
SCO72479.1           -            785 2595at5820           -            752   4.5e-48  162.2   0.9   3   3   7.1e-06     0.002   14.6   0.0   223   293   572   643   566   685 0.84 N-ethylmaleimide-sensitive fusion protein, putative [Plasmodium vivax]
SCO70800.1           -            700 2595at5820           -            752   1.4e-40  137.4   0.0   1   1   7.1e-43     2e-40  136.9   0.0   455   686   419   651   409   695 0.89 AAA family ATPase, putative [Plasmodium vivax]
SCO74338.1           -            442 2595at5820           -            752   2.9e-38  129.8   0.0   1   3   5.5e-40   1.6e-37  127.4   0.0   454   641   112   294    73   300 0.91 vacuolar protein sorting-associated protein 4, putative [Plasmodium vivax]
SCO74338.1           -            442 2595at5820           -            752   2.9e-38  129.8   0.0   2   3       0.6   1.7e+02   -1.7   0.0   654   681   329   356   323   370 0.67 vacuolar protein sorting-associated protein 4, putative [Plasmodium vivax]
SCO74338.1           -            442 2595at5820           -            752   2.9e-38  129.8   0.0   3   3      0.77   2.2e+02   -2.1   0.0   701   728   407   434   391   438 0.83 vacuolar protein sorting-associated protein 4, putative [Plasmodium vivax]
SCO70511.1           -           1157 2595at5820           -            752   2.1e-22   77.3   0.0   1   2   2.3e-17   6.7e-15   52.5   0.0   487   595   564   677   535   693 0.79 AAA family ATPase, putative [Plasmodium vivax]
SCO70511.1           -           1157 2595at5820           -            752   2.1e-22   77.3   0.0   2   2   2.8e-08   7.9e-06   22.5   0.0   598   649   764   815   753   826 0.89 AAA family ATPase, putative [Plasmodium vivax]
SCO72878.1           -            627 2595at5820           -            752   3.4e-15   53.5   0.0   1   1   1.7e-17   4.9e-15   53.0   0.0   459   639   309   506   305   518 0.73 AAA family ATPase, putative [Plasmodium vivax]
SCO70418.1           -            665 2595at5820           -            752   6.4e-12   42.7   0.0   1   1   4.2e-14   1.2e-11   41.8   0.0   495   675   344   535   317   547 0.73 AAA family ATPase, putative [Plasmodium vivax]
SCO70489.1           -            976 2595at5820           -            752   1.1e-10   38.5   0.0   1   2     0.036        10    2.3   0.0   654   684   562   592   542   596 0.79 AAA family ATPase, putative [Plasmodium vivax]
SCO70489.1           -            976 2595at5820           -            752   1.1e-10   38.5   0.0   2   2     1e-11     3e-09   33.8   0.0   220   574   733   816   725   868 0.62 AAA family ATPase, putative [Plasmodium vivax]
SCO73823.1           -            483 2595at5820           -            752   1.8e-06   24.6   0.0   1   2   0.00016     0.046   10.1   0.0   489   527   249   287   226   294 0.80 mitochondrial chaperone BCS1, putative [Plasmodium vivax]
SCO73823.1           -            483 2595at5820           -            752   1.8e-06   24.6   0.0   2   2   3.1e-05     0.009   12.4   0.0   586   631   368   413   347   434 0.87 mitochondrial chaperone BCS1, putative [Plasmodium vivax]
SCO73465.1           -            483 2595at5820           -            752   0.00053   16.5   0.6   1   2   3.3e-06   0.00096   15.6   0.2   220   312    62   160    49   197 0.73 RuvB-like helicase 3, putative [Plasmodium vivax]
SCO73465.1           -            483 2595at5820           -            752   0.00053   16.5   0.6   2   2       1.1     3e+02   -2.5   0.0   465   493   262   290   237   301 0.57 RuvB-like helicase 3, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2595at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2595at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2595at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:41:08 2026
# [ok]
