#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73914.1           -           1383 1098at5820           -            989         0 1939.8 108.5   1   5   1.9e-47   8.4e-45  151.2   3.0     1    84     1    85     1    93 0.97 elongation factor Tu, putative [Plasmodium vivax]
SCO73914.1           -           1383 1098at5820           -            989         0 1939.8 108.5   2   5  1.5e-226  6.7e-224  744.0  38.0    81   455   172   571   163   575 0.96 elongation factor Tu, putative [Plasmodium vivax]
SCO73914.1           -           1383 1098at5820           -            989         0 1939.8 108.5   3   5  7.5e-100   3.4e-97  324.7  12.3   456   616   669   830   665   840 0.96 elongation factor Tu, putative [Plasmodium vivax]
SCO73914.1           -           1383 1098at5820           -            989         0 1939.8 108.5   4   5   9.8e-51   4.4e-48  162.1   6.6   612   712   923  1031   910  1037 0.90 elongation factor Tu, putative [Plasmodium vivax]
SCO73914.1           -           1383 1098at5820           -            989         0 1939.8 108.5   5   5  1.4e-177  6.1e-175  582.0  16.9   712   989  1089  1383  1086  1383 0.96 elongation factor Tu, putative [Plasmodium vivax]
SCO74403.1           -            832 1098at5820           -            989   3.2e-88  294.9   0.2   1   3   5.5e-60   2.5e-57  192.7   0.0     8   377    15   376     6   386 0.87 elongation factor 2, putative [Plasmodium vivax]
SCO74403.1           -            832 1098at5820           -            989   3.2e-88  294.9   0.2   2   3   3.5e-12   1.6e-09   34.5   0.1   505   597   468   560   446   579 0.89 elongation factor 2, putative [Plasmodium vivax]
SCO74403.1           -            832 1098at5820           -            989   3.2e-88  294.9   0.2   3   3   3.6e-21   1.6e-18   64.2   0.0   776   944   636   808   629   829 0.87 elongation factor 2, putative [Plasmodium vivax]
SCO72180.1           -           1261 1098at5820           -            989   4.2e-53  178.7  29.6   1   4   7.3e-05     0.033   10.2   0.0    10    36   181   207   172   219 0.83 U5 small nuclear ribonuclear protein, putative [Plasmodium vivax]
SCO72180.1           -           1261 1098at5820           -            989   4.2e-53  178.7  29.6   2   4   3.5e-26   1.6e-23   80.8  25.3    47   367   273   605   257   628 0.81 U5 small nuclear ribonuclear protein, putative [Plasmodium vivax]
SCO72180.1           -           1261 1098at5820           -            989   4.2e-53  178.7  29.6   3   4   5.5e-07   0.00025   17.2   0.1   509   600   814   905   808   934 0.82 U5 small nuclear ribonuclear protein, putative [Plasmodium vivax]
SCO72180.1           -           1261 1098at5820           -            989   4.2e-53  178.7  29.6   4   4   1.5e-22   6.6e-20   68.8   0.0   778   931  1045  1200  1032  1212 0.89 U5 small nuclear ribonuclear protein, putative [Plasmodium vivax]
SCO73831.1           -            895 1098at5820           -            989   8.8e-24   81.6   3.1   1   6   9.3e-26   4.2e-23   79.4   1.3     5   152    92   240    89   265 0.87 elongation factor G, putative [Plasmodium vivax]
SCO73831.1           -            895 1098at5820           -            989   8.8e-24   81.6   3.1   2   6      0.36   1.6e+02   -2.0   0.6   746   781   283   329   243   355 0.55 elongation factor G, putative [Plasmodium vivax]
SCO73831.1           -            895 1098at5820           -            989   8.8e-24   81.6   3.1   3   6      0.26   1.2e+02   -1.5   0.4   164   208   310   354   276   400 0.59 elongation factor G, putative [Plasmodium vivax]
SCO73831.1           -            895 1098at5820           -            989   8.8e-24   81.6   3.1   4   6     0.024        11    1.9   0.1   399   458   493   552   469   571 0.82 elongation factor G, putative [Plasmodium vivax]
SCO73831.1           -            895 1098at5820           -            989   8.8e-24   81.6   3.1   5   6      0.11        48   -0.2   1.3   516   603   576   663   566   683 0.83 elongation factor G, putative [Plasmodium vivax]
SCO73831.1           -            895 1098at5820           -            989   8.8e-24   81.6   3.1   6   6   4.5e-05      0.02   10.9   0.0   840   911   815   885   746   894 0.76 elongation factor G, putative [Plasmodium vivax]
SCO71872.1           -            910 1098at5820           -            989   3.4e-23   79.7   2.6   1   2   7.6e-26   3.4e-23   79.7   2.6    10   150   189   320   185   351 0.86 GTP-binding protein, putative [Plasmodium vivax]
SCO71872.1           -            910 1098at5820           -            989   3.4e-23   79.7   2.6   2   2       0.1        47   -0.2   0.2   373   451   359   440   335   469 0.70 GTP-binding protein, putative [Plasmodium vivax]
SCO75577.1           -            775 1098at5820           -            989   4.3e-23   79.3   5.4   1   3   6.6e-25     3e-22   76.6   0.6    10   151    39   181    33   211 0.82 elongation factor G, putative [Plasmodium vivax]
SCO75577.1           -            775 1098at5820           -            989   4.3e-23   79.3   5.4   2   3     0.026        11    1.8   0.1   399   451   406   458   389   464 0.82 elongation factor G, putative [Plasmodium vivax]
SCO75577.1           -            775 1098at5820           -            989   4.3e-23   79.3   5.4   3   3     0.029        13    1.6   0.0   866   930   701   763   629   769 0.78 elongation factor G, putative [Plasmodium vivax]
SCO75313.1           -            771 1098at5820           -            989   7.6e-23   78.5   2.2   1   3   1.7e-25   7.6e-23   78.5   2.2     4   154   101   240    99   258 0.84 GTP-binding translation elongation factor tu family protein, putative [Plasmodium vivax]
SCO75313.1           -            771 1098at5820           -            989   7.6e-23   78.5   2.2   2   3     0.057        26    0.6   0.1   401   454   385   442   360   454 0.77 GTP-binding translation elongation factor tu family protein, putative [Plasmodium vivax]
SCO75313.1           -            771 1098at5820           -            989   7.6e-23   78.5   2.2   3   3       0.8   3.6e+02   -3.2   0.1   850   929   562   640   556   649 0.78 GTP-binding translation elongation factor tu family protein, putative [Plasmodium vivax]
