#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72873.1           -           1960 1990at5820           -           1072         0 1449.0 286.0   1  11   2.8e-58   5.8e-55  185.0   7.5     1   122     1   132     1   143 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72873.1           -           1960 1990at5820           -           1072         0 1449.0 286.0   2  11       1.4   2.9e+03   -6.0  16.2    88   127   148   186   139   189 0.64 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72873.1           -           1960 1990at5820           -           1072         0 1449.0 286.0   3  11   1.4e-10     3e-07   27.0  32.3    90   176   177   262   171   266 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72873.1           -           1960 1990at5820           -           1072         0 1449.0 286.0   4  11   2.5e-57   5.2e-54  181.9  37.5   103   314   255   472   251   505 0.66 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72873.1           -           1960 1990at5820           -           1072         0 1449.0 286.0   5  11   5.8e-12   1.2e-08   31.7   2.7   300   353   564   617   557   623 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72873.1           -           1960 1990at5820           -           1072         0 1449.0 286.0   6  11  1.1e-128  2.3e-125  418.1  49.6   349   613   713   995   660  1027 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72873.1           -           1960 1990at5820           -           1072         0 1449.0 286.0   7  11   5.8e-07    0.0012   15.1   6.4   622   730  1068  1168  1044  1180 0.60 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72873.1           -           1960 1990at5820           -           1072         0 1449.0 286.0   8  11      0.61   1.3e+03   -4.9  15.8   608   703  1174  1275  1158  1304 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72873.1           -           1960 1990at5820           -           1072         0 1449.0 286.0   9  11      0.02        42    0.1   3.9   680   737  1363  1421  1340  1439 0.51 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72873.1           -           1960 1990at5820           -           1072         0 1449.0 286.0  10  11     5e-70   1.1e-66  223.9  20.5   725   859  1541  1675  1515  1679 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72873.1           -           1960 1990at5820           -           1072         0 1449.0 286.0  11  11  1.3e-128  2.7e-125  417.9  45.6   855  1072  1739  1960  1733  1960 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75686.1           -            205 1990at5820           -           1072      0.59    6.2  34.9   1   1   0.00035      0.74    5.9  34.9   591   730    28   168    19   178 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73259.1           -            143 1990at5820           -           1072      0.88    5.6  12.6   1   1   0.00046      0.97    5.5  12.6   644   726    49   128    28   137 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1990at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1990at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1990at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:37:18 2026
# [ok]
