#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71128.1           -            106 14551at5820          -             99   2.6e-60  199.5  13.2   1   1   3.2e-63   3.3e-60  199.2  13.2     1    99     1   106     1   106 0.95 DNA-directed RNA polymerase III subunit RPC10, putative [Plasmodium vivax]
SCO75305.1           -            435 14551at5820          -             99   1.3e-08   33.7   0.8   1   4       3.4   3.6e+03   -3.0   0.0    53    76    35    58    27    66 0.58 transcription elongation factor s-II, putative [Plasmodium vivax]
SCO75305.1           -            435 14551at5820          -             99   1.3e-08   33.7   0.8   2   4       2.5   2.6e+03   -2.6   0.2    61    61   112   112    82   143 0.57 transcription elongation factor s-II, putative [Plasmodium vivax]
SCO75305.1           -            435 14551at5820          -             99   1.3e-08   33.7   0.8   3   4       2.2   2.3e+03   -2.4   0.3    31    52   311   332   292   348 0.65 transcription elongation factor s-II, putative [Plasmodium vivax]
SCO75305.1           -            435 14551at5820          -             99   1.3e-08   33.7   0.8   4   4   1.2e-11   1.3e-08   33.7   0.8    46    98   382   434   354   435 0.78 transcription elongation factor s-II, putative [Plasmodium vivax]
SCO70794.1           -            458 14551at5820          -             99   1.1e-06   27.5   3.0   1   2      0.92   9.7e+02   -1.2   0.5    21    36   288   304   270   316 0.61 transcription factor, putative [Plasmodium vivax]
SCO70794.1           -            458 14551at5820          -             99   1.1e-06   27.5   3.0   2   2     1e-09   1.1e-06   27.5   3.0    30    95   389   452   369   455 0.83 transcription factor, putative [Plasmodium vivax]
SCO70591.1           -            252 14551at5820          -             99   0.00023   20.1   7.0   1   1   5.8e-07    0.0006   18.7   7.0     3    98     5   115     3   118 0.66 DNA-directed RNA polymerase II subunit RPB9, putative [Plasmodium vivax]
SCO74811.1           -           1138 14551at5820          -             99    0.0024   16.8   0.6   1   2       2.3   2.4e+03   -2.5   1.2    21    52   238   269   225   278 0.65 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74811.1           -           1138 14551at5820          -             99    0.0024   16.8   0.6   2   2   2.3e-06    0.0024   16.8   0.6    28    89   841   902   815   915 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75653.1           -           2093 14551at5820          -             99     0.004   16.1   1.3   1   1   8.4e-06    0.0088   15.0   1.3     2    52  1054  1103  1053  1123 0.79 RNA-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14551at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:38 2026
# [ok]
