#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7   1  40  1.2e-113  7.3e-110  366.1  32.3     1   246     1   267     1   273 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7   2  40   1.6e-97   9.9e-94  312.5  34.6   245   457   414   637   409   644 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7   3  40   3.9e-15   2.4e-11   39.0   2.0   464   502   742   780   722   789 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7   4  40   0.00013       0.8    4.1   0.7   509   540  1015  1047  1011  1058 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7   5  40     0.018   1.1e+02   -3.0   0.0   538   565  1142  1169  1129  1193 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7   6  40   9.6e-73     6e-69  230.2   0.8   566   714  1252  1400  1214  1408 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7   7  40     0.002        13    0.1   0.0   707   738  1446  1477  1431  1495 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7   8  40     2e-08   0.00013   16.7   0.1   714   762  1494  1543  1487  1548 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7   9  40   1.4e-41   8.9e-38  126.8   5.6   768   869  1640  1745  1636  1764 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  10  40   4.7e-91   2.9e-87  291.0  12.8   889  1100  1926  2159  1917  2187 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  11  40   2.7e-20   1.7e-16   56.1   8.9  1094  1176  2349  2454  2304  2462 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  12  40     1e-36   6.4e-33  110.6   5.1  1161  1241  2542  2622  2525  2634 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  13  40   2.8e-23   1.8e-19   66.0   1.7  1244  1296  2691  2743  2675  2752 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  14  40  3.7e-120  2.3e-116  387.6  14.6  1295  1548  2772  3033  2769  3049 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  15  40   2.3e-80   1.4e-76  255.5  15.6  1533  1694  3050  3217  3035  3240 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  16  40     0.032     2e+02   -3.9   2.5  1698  1727  3332  3361  3310  3377 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  17  40   5.4e-44   3.4e-40  134.8   3.1  1723  1820  3753  3851  3743  3855 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  18  40   4.3e-58   2.7e-54  181.6   5.5  1810  1934  3875  4005  3871  4023 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  19  40   2.6e-51   1.6e-47  159.1   4.5  1940  2075  4113  4256  4091  4262 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  20  40   2.2e-44   1.4e-40  136.1   6.3  2074  2165  4295  4386  4287  4397 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  21  40   2.9e-53   1.8e-49  165.6   3.5  2164  2304  4415  4574  4408  4592 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  22  40   1.9e-39   1.2e-35  119.7   3.4  2285  2442  4640  4835  4623  4847 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  23  40   7.8e-35   4.9e-31  104.4   4.1  2427  2535  4891  5006  4878  5012 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  24  40   3.1e-37     2e-33  112.3   9.4  2532  2630  5114  5227  5107  5237 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  25  40     6e-29   3.8e-25   84.9   0.7  2638  2716  5427  5504  5403  5515 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  26  40   1.4e-76   8.8e-73  243.0   6.0  2717  2949  5536  5806  5531  5825 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  27  40    5e-100   3.2e-96  320.8  19.0  2940  3138  5925  6134  5909  6140 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  28  40   6.6e-52   4.1e-48  161.1  16.0  3135  3236  6192  6293  6177  6304 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  29  40   1.1e-35   6.9e-32  107.2   2.6  3232  3299  6318  6385  6309  6394 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  30  40   1.7e-62     1e-58  196.3  23.2  3296  3435  6484  6646  6480  6658 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  31  40   1.1e-05     0.068    7.7   0.7  3440  3468  6736  6764  6728  6766 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  32  40   4.8e-05       0.3    5.5   0.1  3469  3495  6886  6912  6873  6916 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  33  40  3.9e-156  2.4e-152  507.1  61.6  3493  3822  6965  7345  6961  7360 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75114.1           -           8896 28at5820             -           4775         0 6189.0 673.7  34  40     0.012        79   -2.5   5.8  4652  4742  7369  7457  7352  7471 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
