#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9   1  16  2.9e-107  6.1e-104  347.4  31.9     1   184    80   271    80   277 0.96 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9   2  16   1.3e-05     0.027   11.3  40.2   166   243   300   408   293   412 0.70 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9   3  16   5.5e-30   1.1e-26   91.8  14.6   213   309   400   497   399   519 0.79 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9   4  16         3   6.3e+03  -15.9  45.8   288   358   513   604   500   659 0.69 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9   5  16         3   6.3e+03  -14.7  19.2   161   242   595   674   590   688 0.64 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9   6  16     5e-15   1.1e-11   42.4   2.1   324   383   716   775   704   780 0.88 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9   7  16     0.002       4.1    4.0   2.0   385   413   849   877   841   889 0.84 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9   8  16     5e-28     1e-24   85.4  16.4   398   471   914   993   905  1010 0.74 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9   9  16   4.1e-24   8.5e-21   72.4  16.3   461   525  1018  1086  1002  1090 0.86 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9  10  16     3e-31   6.4e-28   96.0  23.0   523   609  1106  1196  1095  1199 0.89 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9  11  16         3   6.3e+03   -7.4  63.5   561   650  1183  1266  1180  1278 0.59 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9  12  16   3.9e-13   8.2e-10   36.1  52.3   581   677  1259  1373  1257  1374 0.74 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9  13  16   0.00054       1.1    5.9   8.1   650   673  1364  1386  1358  1392 0.70 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9  14  16   3.4e-05     0.071    9.9   6.1   650   677  1391  1418  1387  1420 0.82 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9  15  16   0.00014      0.29    7.9   4.3   650   670  1418  1438  1414  1439 0.89 asparagine-rich antigen, putative [Plasmodium vivax]
SCO72591.1           -           1575 6929at5820           -            774  1.5e-273  908.3 430.9  16  16   5.4e-58   1.1e-54  184.5  38.0   651   774  1437  1575  1436  1575 0.93 asparagine-rich antigen, putative [Plasmodium vivax]
SCO75496.1           -            110 6929at5820           -            774   0.00012   19.1   0.1   1   1   6.5e-08   0.00014   18.8   0.1    67   130    16    75     9   108 0.77 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO73794.1           -            614 6929at5820           -            774     0.018   11.9   0.1   1   4   8.4e-06     0.018   11.9   0.1    60   126     4    72     1    76 0.89 RNA-binding protein, putative [Plasmodium vivax]
SCO73794.1           -            614 6929at5820           -            774     0.018   11.9   0.1   2   4   6.5e-06     0.014   12.2   4.6    52   149   155   251   129   262 0.79 RNA-binding protein, putative [Plasmodium vivax]
SCO73794.1           -            614 6929at5820           -            774     0.018   11.9   0.1   3   4         3   6.3e+03  -13.2  52.2   557   658   450   549   398   564 0.76 RNA-binding protein, putative [Plasmodium vivax]
SCO73794.1           -            614 6929at5820           -            774     0.018   11.9   0.1   4   4         3   6.3e+03  -15.6  19.4   564   624   552   612   544   614 0.56 RNA-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6929at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6929at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6929at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:55:01 2026
# [ok]
