#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73046.1           -           1821 2424at5820           -            906         0 1385.7 239.7   1  10   1.9e-39   1.2e-35  121.4   3.6     7    79    93   165    89   173 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73046.1           -           1821 2424at5820           -            906         0 1385.7 239.7   2  10   1.9e-38   1.2e-34  118.0  16.5    72   178   214   342   203   349 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73046.1           -           1821 2424at5820           -            906         0 1385.7 239.7   3  10     3e-16   1.9e-12   44.6   4.2   167   217   360   410   354   431 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73046.1           -           1821 2424at5820           -            906         0 1385.7 239.7   4  10   6.9e-16   4.3e-12   43.4   4.2   209   248   450   489   442   515 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73046.1           -           1821 2424at5820           -            906         0 1385.7 239.7   5  10  6.3e-247    4e-243  807.9 103.9   244   690   521   969   513   975 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73046.1           -           1821 2424at5820           -            906         0 1385.7 239.7   6  10   9.9e-07    0.0062   13.1  15.4   678   793  1035  1157  1028  1163 0.64 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73046.1           -           1821 2424at5820           -            906         0 1385.7 239.7   7  10   2.6e-15   1.6e-11   41.5   3.6   711   756  1258  1303  1241  1323 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73046.1           -           1821 2424at5820           -            906         0 1385.7 239.7   8  10    0.0058        37    0.6   0.1   749   766  1335  1352  1319  1356 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73046.1           -           1821 2424at5820           -            906         0 1385.7 239.7   9  10   2.3e-22   1.5e-18   64.8  10.9   749   817  1538  1606  1511  1627 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73046.1           -           1821 2424at5820           -            906         0 1385.7 239.7  10  10   1.2e-57   7.6e-54  181.6  10.1   806   906  1719  1819  1696  1819 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2424at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2424at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2424at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:14 2026
# [ok]
