#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74050.1           -           1256 3047at5820           -            724         0 1139.2  70.7   1   6   1.2e-27   1.5e-24   85.0   7.9     1    76    33   123    33   126 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74050.1           -           1256 3047at5820           -            724         0 1139.2  70.7   2   6   1.1e-40   1.4e-37  128.1   3.1    72   159   190   277   184   281 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74050.1           -           1256 3047at5820           -            724         0 1139.2  70.7   3   6   4.3e-46   5.4e-43  146.0   1.9   157   266   329   457   325   491 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74050.1           -           1256 3047at5820           -            724         0 1139.2  70.7   4   6  3.9e-164  4.9e-161  536.2  17.2   263   566   508   848   506   857 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74050.1           -           1256 3047at5820           -            724         0 1139.2  70.7   5   6   5.1e-28   6.4e-25   86.3   0.9   567   630   909   978   901   985 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74050.1           -           1256 3047at5820           -            724         0 1139.2  70.7   6   6   5.8e-57   7.3e-54  181.9   1.9   633   724  1158  1250  1149  1250 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72196.1           -           1539 3047at5820           -            724   3.8e-35  120.1   0.0   1   2   1.6e-05      0.02   11.9   0.1   380   451   828   900   817   927 0.82 regulator of nonsense transcripts, putative [Plasmodium vivax]
SCO72196.1           -           1539 3047at5820           -            724   3.8e-35  120.1   0.0   2   2   7.2e-34     9e-31  105.6   0.0   456   700   971  1225   953  1236 0.83 regulator of nonsense transcripts, putative [Plasmodium vivax]
SCO72560.1           -           1077 3047at5820           -            724   7.3e-27   92.7  41.1   1   4       2.4     3e+03   -5.2   6.1   281   358   106   193    59   225 0.60 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO72560.1           -           1077 3047at5820           -            724   7.3e-27   92.7  41.1   2   4   6.3e-09     8e-06   23.1   0.4   368   436   390   457   384   492 0.81 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO72560.1           -           1077 3047at5820           -            724   7.3e-27   92.7  41.1   3   4   1.1e-08   1.4e-05   22.4   3.3   464   557   581   673   567   686 0.85 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO72560.1           -           1077 3047at5820           -            724   7.3e-27   92.7  41.1   4   4   1.2e-23   1.5e-20   71.8   5.3   586   707   920  1051   910  1057 0.86 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO72247.1           -           1761 3047at5820           -            724     4e-16   57.2  31.5   1   5      0.84   1.1e+03   -3.7   1.5   347   381   324   361   302   378 0.68 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 3047at5820           -            724     4e-16   57.2  31.5   2   5   0.00019      0.24    8.3   0.0   365   405   632   672   618   681 0.79 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 3047at5820           -            724     4e-16   57.2  31.5   3   5   2.9e-10   3.7e-07   27.6   6.8   462   567  1023  1130   964  1136 0.77 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 3047at5820           -            724     4e-16   57.2  31.5   4   5   4.7e-10   5.9e-07   26.9   0.6   582   664  1213  1310  1188  1323 0.74 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 3047at5820           -            724     4e-16   57.2  31.5   5   5   5.5e-05     0.069   10.1   0.4   670   711  1366  1407  1356  1417 0.86 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO75589.1           -           1872 3047at5820           -            724   1.3e-06   25.8   2.0   1   4      0.22   2.8e+02   -1.8   0.0   385   405  1204  1224  1202  1232 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75589.1           -           1872 3047at5820           -            724   1.3e-06   25.8   2.0   2   4      0.13   1.7e+02   -1.1   0.4   452   499  1442  1490  1430  1494 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75589.1           -           1872 3047at5820           -            724   1.3e-06   25.8   2.0   3   4   3.5e-08   4.3e-05   20.7   0.0   587   662  1695  1774  1647  1781 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75589.1           -           1872 3047at5820           -            724   1.3e-06   25.8   2.0   4   4     0.028        35    1.2   0.0   668   705  1823  1860  1815  1869 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3047at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3047at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3047at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:47:41 2026
# [ok]
