#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9   1  12   2.4e-23   1.5e-19   68.1   0.4     1    72     1    82     1   137 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9   2  12   6.5e-10   4.1e-06   23.7   0.5    77   128   152   209   134   217 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9   3  12   5.6e-32   3.5e-28   96.7   6.1   159   256   335   440   307   450 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9   4  12   6.6e-10   4.2e-06   23.7   0.0   260   289   474   503   465   513 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9   5  12    0.0095        60   -0.0   0.0   309   335   690   716   674   721 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9   6  12   1.4e-49   8.7e-46  155.0   0.0   330   437   761   871   752   873 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9   7  12  1.3e-136    8e-133  443.2  27.0   438   699   931  1214   927  1222 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9   8  12   2.7e-21   1.7e-17   61.4   0.0   698   749  1259  1311  1254  1318 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9   9  12   3.8e-83   2.4e-79  266.1   1.0   746   945  1335  1580  1331  1586 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9  10  12   5.6e-11   3.5e-07   27.2   0.0   944   978  1701  1735  1694  1743 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9  11  12   5.8e-09   3.7e-05   20.5   0.0   974  1006  1755  1787  1750  1791 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74121.1           -           1849 1462at5820           -           1037         0 1195.0  83.9  12  12   5.4e-13   3.4e-09   33.9   3.2  1003  1037  1815  1849  1811  1849 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1462at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1462at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1462at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:49 2026
# [ok]
