#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71932.1           -            840 3370at5820           -            675         0 1533.2   4.2   1   1         0         0 1533.0   4.2     2   673   166   837   165   839 1.00 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71671.1           -           1218 3370at5820           -            675    4e-218  724.5   2.0   1   1  7.2e-221  5.7e-218  724.0   2.0    18   656   552  1182   543  1198 0.95 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO75563.1           -           1081 3370at5820           -            675  2.9e-174  579.6  12.3   1   2     1e-88   8.2e-86  287.3   1.8    11   295   381   667   373   672 0.95 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO75563.1           -           1081 3370at5820           -            675  2.9e-174  579.6  12.3   2   2   8.4e-92   6.6e-89  297.5   3.1   284   655   701  1076   690  1080 0.92 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO73444.1           -           1127 3370at5820           -            675  5.5e-167  555.5  13.3   1   3      0.42   3.3e+02   -2.2   0.0   349   381   346   378   343   391 0.80 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO73444.1           -           1127 3370at5820           -            675  5.5e-167  555.5  13.3   2   3   2.6e-80   2.1e-77  259.5   2.3    18   249   425   661   407   671 0.95 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO73444.1           -           1127 3370at5820           -            675  5.5e-167  555.5  13.3   3   3   6.2e-93   4.9e-90  301.2   2.9   263   655   745  1122   736  1127 0.94 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO71286.1           -            824 3370at5820           -            675  4.1e-120  400.6  14.8   1   5   2.1e-08   1.7e-05   21.9   0.1    24    70     3    48     1    54 0.87 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO71286.1           -            824 3370at5820           -            675  4.1e-120  400.6  14.8   2   5   1.4e-53   1.1e-50  171.2   0.0    74   232    76   235    62   245 0.94 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO71286.1           -            824 3370at5820           -            675  4.1e-120  400.6  14.8   3   5    0.0084       6.6    3.4   0.0   234   251   274   291   271   310 0.73 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO71286.1           -            824 3370at5820           -            675  4.1e-120  400.6  14.8   4   5   2.9e-44   2.3e-41  140.4   0.2   265   486   363   576   354   584 0.96 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO71286.1           -            824 3370at5820           -            675  4.1e-120  400.6  14.8   5   5   6.9e-23   5.5e-20   69.8   1.3   495   659   645   810   637   819 0.82 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO75103.1           -           1608 3370at5820           -            675     4e-60  202.4  17.1   1   3   1.2e-44   9.1e-42  141.7   4.1    21   254   420   666   402   680 0.83 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO75103.1           -           1608 3370at5820           -            675     4e-60  202.4  17.1   2   3   5.2e-22   4.1e-19   66.9   0.2   260   432   909  1090   889  1096 0.85 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
