#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9   1  12     4e-12   2.5e-08   30.0   0.1     1    29     1    29     1    37 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9   2  12   5.3e-23   3.3e-19   66.0   0.7    25    78    77   130    65   135 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9   3  12    2e-149  1.3e-145  485.3  22.5    66   344   174   453   169   457 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9   4  12  2.4e-151  1.5e-147  491.7  21.4   344   593   491   746   483   749 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9   5  12   4.9e-96   3.1e-92  308.2  22.7   593   814   807  1069   804  1078 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9   6  12   1.9e-05      0.12    7.8   0.1   801   828  1124  1151  1108  1157 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9   7  12  3.5e-171  2.2e-167  557.5  30.6   822  1165  1196  1567  1190  1568 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9   8  12  5.2e-249  3.3e-245  815.5  41.9  1348  1778  1565  1997  1565  2022 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9   9  12   7.7e-05      0.49    5.8   0.0  1783  1800  2038  2055  2034  2065 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9  10  12   2.5e-85   1.6e-81  272.7  14.0  1801  1995  2188  2398  2181  2400 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9  11  12   1.3e-09   8.3e-06   21.6   0.0  1990  2020  2510  2540  2501  2547 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74166.1           -           3127 174at5820            -           2065         0 3029.7 215.9  12  12   3.7e-06     0.024   10.2   0.2  2021  2061  2844  2882  2840  2886 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/174at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/174at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/174at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:46 2026
# [ok]
