#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1   1  16   3.7e-21   2.4e-17   60.5   0.5     1    87   213   325   213   328 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1   2  16   3.2e-11     2e-07   27.6   0.0    87   131   371   418   366   421 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1   3  16   4.5e-65   2.8e-61  206.1   0.6   132   327   464   691   463   693 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1   4  16   3.8e-38   2.4e-34  116.8   0.0   327   444   741   871   735   875 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1   5  16   1.1e-43   7.1e-40  135.1   0.0   445   541   914  1010   910  1022 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1   6  16   2.7e-53   1.7e-49  167.0   1.6   541   650  1128  1237  1122  1246 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1   7  16     4e-80   2.5e-76  256.0  12.9   651   833  1297  1505  1291  1511 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1   8  16     1e-54   6.5e-51  171.7  16.5   835   995  1551  1737  1548  1775 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1   9  16   9.8e-05      0.62    6.1   0.0   994  1032  1783  1833  1763  1836 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1  10  16   2.8e-11   1.8e-07   27.8   0.0  1033  1067  1912  1946  1908  1950 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1  11  16   2.5e-47   1.6e-43  147.2   0.0  1064  1176  1986  2102  1982  2109 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1  12  16     5e-67   3.2e-63  212.5   3.2  1175  1336  2127  2299  2120  2302 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1  13  16     0.037   2.3e+02   -2.4   0.0  1335  1363  2329  2360  2328  2361 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1  14  16     3e-30   1.9e-26   90.6   0.1  1349  1424  2389  2468  2369  2469 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1  15  16   1.2e-52   7.5e-49  164.9   0.0  1424  1530  2528  2634  2525  2646 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70892.1           -           2708 603at5820            -           1553         0 1811.8  76.1  16  16     3e-11   1.9e-07   27.7   0.9  1529  1553  2682  2706  2679  2706 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/603at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/603at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/603at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:58:48 2026
# [ok]
