#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73453.1           -            887 3438at5820           -            675         0 1102.3  80.6   1   6   5.6e-13   2.7e-10   37.9   0.0     1    43     1    58     1    61 0.85 polyubiquitin binding protein, putative [Plasmodium vivax]
SCO73453.1           -            887 3438at5820           -            675         0 1102.3  80.6   2   6   6.5e-52   3.1e-49  166.6   1.4    42   140    87   190    80   196 0.93 polyubiquitin binding protein, putative [Plasmodium vivax]
SCO73453.1           -            887 3438at5820           -            675         0 1102.3  80.6   3   6   4.2e-81   2.1e-78  263.0  12.0   137   274   214   351   210   359 0.98 polyubiquitin binding protein, putative [Plasmodium vivax]
SCO73453.1           -            887 3438at5820           -            675         0 1102.3  80.6   4   6   5.4e-22   2.6e-19   67.7   0.3   273   318   372   417   366   433 0.89 polyubiquitin binding protein, putative [Plasmodium vivax]
SCO73453.1           -            887 3438at5820           -            675         0 1102.3  80.6   5   6   4.7e-66   2.3e-63  213.3   6.4   314   431   451   569   446   573 0.95 polyubiquitin binding protein, putative [Plasmodium vivax]
SCO73453.1           -            887 3438at5820           -            675         0 1102.3  80.6   6   6    2e-115  9.7e-113  376.5  29.2   431   675   598   885   595   885 0.92 polyubiquitin binding protein, putative [Plasmodium vivax]
SCO72425.1           -            498 3438at5820           -            675     6e-18   63.2   4.7   1   2   3.4e-19   1.7e-16   58.4   1.9    67   290   210   434   184   460 0.76 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO72425.1           -            498 3438at5820           -            675     6e-18   63.2   4.7   2   2    0.0027       1.3    5.9   0.0   214   263   447   498   430   498 0.76 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO71271.1           -            324 3438at5820           -            675   2.8e-11   41.2   8.0   1   2   4.2e-09     2e-06   25.1   4.2    79   265    50   234    31   241 0.75 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO71271.1           -            324 3438at5820           -            675   2.8e-11   41.2   8.0   2   2   1.3e-06   0.00063   16.9   0.1   203   259   262   319   253   322 0.89 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO70813.1           -            499 3438at5820           -            675   2.8e-11   41.1   0.6   1   2   5.9e-14   2.8e-11   41.1   0.6   191   265    63   139    45   141 0.89 protein SOF1, putative [Plasmodium vivax]
SCO70813.1           -            499 3438at5820           -            675   2.8e-11   41.1   0.6   2   2     0.017       8.4    3.2   2.7   206   283   306   382   249   450 0.64 protein SOF1, putative [Plasmodium vivax]
SCO71232.1           -            322 3438at5820           -            675   8.4e-10   36.3   1.2   1   2   3.3e-10   1.6e-07   28.7   0.4   105   266    18   189     6   192 0.76 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71232.1           -            322 3438at5820           -            675   8.4e-10   36.3   1.2   2   2    0.0019       0.9    6.4   0.0   224   320   189   279   188   288 0.79 receptor for activated c kinase, putative [Plasmodium vivax]
SCO72943.1           -            660 3438at5820           -            675     4e-07   27.4  22.9   1   5      0.93   4.5e+02   -2.5   4.1   423   475    16    72    11   113 0.69 ribosome assembly protein 4, putative [Plasmodium vivax]
