#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72535.1           -           1396 1547at5820           -           1023  4.8e-152  506.3  36.6   1   2  9.2e-155  4.8e-152  506.3  36.6   349   857   280   790   237   958 0.82 chromatin remodeling protein, putative [Plasmodium vivax]
SCO72535.1           -           1396 1547at5820           -           1023  4.8e-152  506.3  36.6   2   2       5.9   3.1e+03   -6.2   5.2    58   160   909  1013   897  1019 0.51 chromatin remodeling protein, putative [Plasmodium vivax]
SCO71610.1           -           3266 1547at5820           -           1023  2.8e-121  404.5  25.8   1   1  5.3e-124  2.8e-121  404.5  25.8   245   844  1242  1861  1218  1865 0.78 chromodomain-helicase-DNA-binding protein 1 homolog, putative [Plasmodium vivax]
SCO71299.1           -           1807 1547at5820           -           1023  1.2e-113  379.3  25.9   1   3       2.5   1.3e+03   -4.9  15.7   208   323    38   154    11   205 0.61 helicase SRCAP, putative [Plasmodium vivax]
SCO71299.1           -           1807 1547at5820           -           1023  1.2e-113  379.3  25.9   2   3   1.6e-79   8.4e-77  257.2  14.1   375   672   556   854   528   859 0.89 helicase SRCAP, putative [Plasmodium vivax]
SCO71299.1           -           1807 1547at5820           -           1023  1.2e-113  379.3  25.9   3   3   1.9e-43   9.7e-41  137.9   3.9   673   841  1400  1567  1364  1571 0.92 helicase SRCAP, putative [Plasmodium vivax]
SCO73616.1           -           2948 1547at5820           -           1023   9.9e-76  253.7   6.4   1   6   3.8e-48     2e-45  153.4   0.1   367   567   337   543   300   550 0.87 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1547at5820           -           1023   9.9e-76  253.7   6.4   2   6     0.027        14    1.6   0.5   590   666   612   684   595   755 0.84 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1547at5820           -           1023   9.9e-76  253.7   6.4   3   6      0.72   3.8e+02   -3.1   1.6    42    91  1079  1128  1059  1154 0.71 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1547at5820           -           1023   9.9e-76  253.7   6.4   4   6     1e-35   5.2e-33  112.3   3.1   701   885  1220  1409  1214  1433 0.86 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1547at5820           -           1023   9.9e-76  253.7   6.4   5   6       2.5   1.3e+03   -4.9   9.4    55   146  1737  1829  1710  1860 0.61 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1547at5820           -           1023   9.9e-76  253.7   6.4   6   6      0.56   2.9e+02   -2.8   1.9    56    90  2352  2386  2322  2415 0.72 SNF2 helicase, putative [Plasmodium vivax]
SCO71322.1           -           1096 1547at5820           -           1023   1.7e-63  213.2  53.9   1   6      0.38     2e+02   -2.2   0.9   231   271    12    52     3    62 0.61 DNA helicase, putative [Plasmodium vivax]
SCO71322.1           -           1096 1547at5820           -           1023   1.7e-63  213.2  53.9   2   6   1.9e-40     1e-37  127.9  12.2   379   556   223   413   217   435 0.84 DNA helicase, putative [Plasmodium vivax]
SCO71322.1           -           1096 1547at5820           -           1023   1.7e-63  213.2  53.9   3   6   0.00062      0.32    7.0   2.9   589   632   540   583   506   604 0.79 DNA helicase, putative [Plasmodium vivax]
SCO71322.1           -           1096 1547at5820           -           1023   1.7e-63  213.2  53.9   4   6   0.00045      0.24    7.5   0.1   641   678   719   757   705   777 0.80 DNA helicase, putative [Plasmodium vivax]
SCO71322.1           -           1096 1547at5820           -           1023   1.7e-63  213.2  53.9   5   6   0.00057       0.3    7.1   2.1   670   721   806   857   777   875 0.85 DNA helicase, putative [Plasmodium vivax]
SCO71322.1           -           1096 1547at5820           -           1023   1.7e-63  213.2  53.9   6   6   2.5e-29   1.3e-26   91.1   0.4   726   829   969  1071   959  1083 0.95 DNA helicase, putative [Plasmodium vivax]
SCO70512.1           -           1076 1547at5820           -           1023   1.7e-62  209.9  17.6   1   2   1.5e-43   7.7e-41  138.2   5.3   380   671   127   434    83   444 0.82 DNA repair and recombination protein RAD54, putative [Plasmodium vivax]
SCO70512.1           -           1076 1547at5820           -           1023   1.7e-62  209.9  17.6   2   2   4.8e-28   2.5e-25   86.8   4.4   680   856   529   706   516   779 0.78 DNA repair and recombination protein RAD54, putative [Plasmodium vivax]
SCO75747.1           -           1589 1547at5820           -           1023   3.2e-43  146.1  19.5   1   5   4.8e-11   2.5e-08   30.6   0.5   361   420   208   267   178   275 0.80 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO75747.1           -           1589 1547at5820           -           1023   3.2e-43  146.1  19.5   2   5   0.00061      0.32    7.0   0.2   427   485   373   429   369   447 0.75 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO75747.1           -           1589 1547at5820           -           1023   3.2e-43  146.1  19.5   3   5   1.3e-15   6.9e-13   45.6   0.0   488   549   956  1018   951  1045 0.84 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO75747.1           -           1589 1547at5820           -           1023   3.2e-43  146.1  19.5   4   5     0.053        28    0.6   0.1   627   672  1130  1176  1089  1194 0.81 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO75747.1           -           1589 1547at5820           -           1023   3.2e-43  146.1  19.5   5   5   1.6e-23   8.5e-21   71.8   1.4   675   831  1410  1566  1398  1578 0.88 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO73511.1           -            877 1547at5820           -           1023   7.7e-39  131.6   9.8   1   1   1.1e-40   5.6e-38  128.7   9.8   373   826   304   758   291   765 0.82 DNA helicase, putative [Plasmodium vivax]
SCO73963.1           -           1529 1547at5820           -           1023   1.5e-24   84.3  22.7   1   5       3.7   1.9e+03   -5.5   2.7   211   237   156   184    72   249 0.49 DNA repair protein RAD5, putative [Plasmodium vivax]
SCO73963.1           -           1529 1547at5820           -           1023   1.5e-24   84.3  22.7   2   5   1.5e-06    0.0008   15.6   0.0   401   421   725   745   721   754 0.90 DNA repair protein RAD5, putative [Plasmodium vivax]
SCO73963.1           -           1529 1547at5820           -           1023   1.5e-24   84.3  22.7   3   5     0.024        13    1.8   0.0   425   493   778   847   770   850 0.77 DNA repair protein RAD5, putative [Plasmodium vivax]
SCO73963.1           -           1529 1547at5820           -           1023   1.5e-24   84.3  22.7   4   5     3e-15   1.6e-12   44.5   3.5   491   670   957  1137   952  1154 0.85 DNA repair protein RAD5, putative [Plasmodium vivax]
