#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72247.1           -           1761 1570at5820           -           1063         0 1813.8 132.5   1   9  7.9e-104  8.3e-101  336.9  23.1     1   197     1   207     1   211 0.95 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 1570at5820           -           1063         0 1813.8 132.5   2   9   3.4e-57   3.5e-54  182.5   4.5   196   296   299   400   288   404 0.95 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 1570at5820           -           1063         0 1813.8 132.5   3   9      0.24   2.5e+02   -2.5   0.0   295   310   509   524   506   527 0.87 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 1570at5820           -           1063         0 1813.8 132.5   4   9   1.7e-39   1.8e-36  123.9   0.4   307   380   613   687   611   690 0.93 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 1570at5820           -           1063         0 1813.8 132.5   5   9   7.3e-43   7.7e-40  135.0  19.9   373   487   704   853   700   857 0.79 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 1570at5820           -           1063         0 1813.8 132.5   6   9  9.1e-248  9.6e-245  813.4  21.1   487   892   906  1328   889  1340 0.95 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 1570at5820           -           1063         0 1813.8 132.5   7   9   1.9e-65     2e-62  209.8   9.7   883  1008  1355  1482  1342  1490 0.94 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 1570at5820           -           1063         0 1813.8 132.5   8   9    0.0035       3.7    3.6   0.2  1003  1028  1516  1541  1502  1548 0.78 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO72247.1           -           1761 1570at5820           -           1063         0 1813.8 132.5   9   9   1.7e-16   1.7e-13   47.8   1.1  1024  1063  1719  1758  1713  1758 0.95 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO75101.1           -           2656 1570at5820           -           1063   2.4e-44  149.9  89.7   1   7         6   6.3e+03   -9.8  11.1   234   334   102   207    69   235 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75101.1           -           2656 1570at5820           -           1063   2.4e-44  149.9  89.7   2   7         6   6.3e+03   -8.4   7.8   216   974   490   533   406   595 0.51 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75101.1           -           2656 1570at5820           -           1063   2.4e-44  149.9  89.7   3   7   3.7e-15   3.9e-12   43.3  16.4    81   380  1484  1808  1481  1823 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75101.1           -           2656 1570at5820           -           1063   2.4e-44  149.9  89.7   4   7     1e-07   0.00011   18.7   1.5   470   521  1797  1846  1793  1853 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75101.1           -           2656 1570at5820           -           1063   2.4e-44  149.9  89.7   5   7   1.4e-29   1.5e-26   91.0   0.3   574   702  2110  2232  2087  2237 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75101.1           -           2656 1570at5820           -           1063   2.4e-44  149.9  89.7   6   7   3.9e-12   4.1e-09   33.3   0.5   775   895  2259  2383  2236  2390 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75101.1           -           2656 1570at5820           -           1063   2.4e-44  149.9  89.7   7   7   3.2e-08   3.4e-05   20.3   0.7   891   936  2446  2491  2425  2504 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72196.1           -           1539 1570at5820           -           1063   9.4e-36  121.5   2.4   1   3   3.1e-06    0.0032   13.8   0.0   325   362   813   849   793   854 0.85 regulator of nonsense transcripts, putative [Plasmodium vivax]
SCO72196.1           -           1539 1570at5820           -           1063   9.4e-36  121.5   2.4   2   3   1.9e-21     2e-18   64.1   0.0   494   697   853  1066   848  1074 0.76 regulator of nonsense transcripts, putative [Plasmodium vivax]
SCO72196.1           -           1539 1570at5820           -           1063   9.4e-36  121.5   2.4   3   3   1.5e-14   1.5e-11   41.3   0.2   815   928  1135  1229  1131  1265 0.78 regulator of nonsense transcripts, putative [Plasmodium vivax]
SCO72560.1           -           1077 1570at5820           -           1063     4e-33  112.7  21.5   1   4   5.1e-05     0.054    9.7   0.0   328   366   389   427   382   429 0.91 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO72560.1           -           1077 1570at5820           -           1063     4e-33  112.7  21.5   2   4   0.00039      0.41    6.8   0.1   498   523   430   455   425   461 0.88 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO72560.1           -           1077 1570at5820           -           1063     4e-33  112.7  21.5   3   4   7.2e-22   7.6e-19   65.5   7.5   564   706   535   678   525   688 0.84 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO72560.1           -           1077 1570at5820           -           1063     4e-33  112.7  21.5   4   4   9.9e-13     1e-09   35.2   2.9   808   926   944  1046   904  1072 0.77 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO75589.1           -           1872 1570at5820           -           1063   1.9e-11   41.0   9.9   1   5      0.15   1.5e+02   -1.7   0.0   499   519  1298  1318  1284  1323 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75589.1           -           1872 1570at5820           -           1063   1.9e-11   41.0   9.9   2   5   6.4e-05     0.067    9.4   0.5   567   663  1414  1508  1403  1515 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75589.1           -           1872 1570at5820           -           1063   1.9e-11   41.0   9.9   3   5    0.0066       6.9    2.7   0.1   674   702  1631  1659  1626  1677 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75589.1           -           1872 1570at5820           -           1063   1.9e-11   41.0   9.9   4   5   1.4e-07   0.00015   18.1   0.0   815   872  1722  1774  1717  1779 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75589.1           -           1872 1570at5820           -           1063   1.9e-11   41.0   9.9   5   5   5.2e-06    0.0054   13.0   0.0   890   934  1821  1865  1811  1871 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74050.1           -           1256 1570at5820           -           1063   1.8e-09   34.4  27.6   1   5       1.1   1.1e+03   -4.6   1.8   941   983    16    56    14    73 0.66 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74050.1           -           1256 1570at5820           -           1063   1.8e-09   34.4  27.6   2   5    0.0058       6.1    2.9   0.0   324   371   638   685   599   700 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74050.1           -           1256 1570at5820           -           1063   1.8e-09   34.4  27.6   3   5   1.1e-08   1.1e-05   21.9   6.3   601   702   741   840   696   849 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74050.1           -           1256 1570at5820           -           1063   1.8e-09   34.4  27.6   4   5   0.00021      0.22    7.6   0.0   777   835   928   978   879   989 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
