#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71055.1           -            477 7442at5820           -            347  1.3e-155  516.3  21.6   1   4   1.9e-65   2.4e-62  209.5   7.8     1   111     1   111     1   121 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71055.1           -            477 7442at5820           -            347  1.3e-155  516.3  21.6   2   4   3.6e-27   4.5e-24   83.6   0.4   108   168   149   209   142   212 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71055.1           -            477 7442at5820           -            347  1.3e-155  516.3  21.6   3   4   7.2e-45   9.1e-42  141.8   0.2   181   277   279   383   254   388 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71055.1           -            477 7442at5820           -            347  1.3e-155  516.3  21.6   4   4     7e-29   8.8e-26   89.3   0.0   277   347   402   475   392   475 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74739.1           -            559 7442at5820           -            347   6.1e-25   86.5  44.1   1   3   9.6e-14   1.2e-10   39.5   5.3    11   154     7   152     1   179 0.83 Hsp70/Hsp90 organizing protein, putative [Plasmodium vivax]
SCO74739.1           -            559 7442at5820           -            347   6.1e-25   86.5  44.1   2   3   1.7e-06    0.0021   15.7  15.0     9   109   236   340   228   369 0.75 Hsp70/Hsp90 organizing protein, putative [Plasmodium vivax]
SCO74739.1           -            559 7442at5820           -            347   6.1e-25   86.5  44.1   3   3   8.1e-15     1e-11   43.0   8.3    10   106   372   465   364   521 0.83 Hsp70/Hsp90 organizing protein, putative [Plasmodium vivax]
SCO75659.1           -            615 7442at5820           -            347   1.5e-14   52.4   8.1   1   1   1.9e-17   2.3e-14   51.7   8.1    10   120   442   549   436   599 0.76 tetratricopeptide repeat protein, putative [Plasmodium vivax]
SCO70421.1           -           1078 7442at5820           -            347   3.1e-07   28.3  11.0   1   2       2.1   2.7e+03   -4.4   8.2    77   156    13    94     7   112 0.64 E3 ubiquitin-protein ligase, putative [Plasmodium vivax]
SCO70421.1           -           1078 7442at5820           -            347   3.1e-07   28.3  11.0   2   2   2.5e-10   3.1e-07   28.3  11.0    10   117   821   928   812  1001 0.81 E3 ubiquitin-protein ligase, putative [Plasmodium vivax]
SCO73531.1           -            682 7442at5820           -            347     6e-05   20.8   7.8   1   2    0.0084        11    3.5   0.1    11    41   158   188   147   193 0.80 serine/threonine protein phosphatase 5, putative [Plasmodium vivax]
SCO73531.1           -            682 7442at5820           -            347     6e-05   20.8   7.8   2   2   1.4e-07   0.00017   19.3   3.2    43   114   247   322   241   407 0.80 serine/threonine protein phosphatase 5, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7442at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7442at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7442at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:59:07 2026
# [ok]
