#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75004.1           -            119 14381at5820          -             87   4.3e-56  186.0   1.0   1   1   3.2e-58   5.2e-56  185.7   1.0     1    87    25   114    25   114 0.98 RNA-binding protein, putative [Plasmodium vivax]
SCO73492.1           -            513 14381at5820          -             87   4.9e-17   60.8   0.0   1   3   4.3e-05     0.007   15.5   0.0    22    77    99   154    86   163 0.88 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 14381at5820          -             87   4.9e-17   60.8   0.0   2   3   3.4e-06   0.00056   19.0   0.0    22    79   198   255   183   261 0.90 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 14381at5820          -             87   4.9e-17   60.8   0.0   3   3   3.7e-07   5.9e-05   22.1   0.0    26    80   387   441   371   447 0.87 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO75490.1           -            885 14381at5820          -             87     5e-17   60.8   3.1   1   4   8.1e-07   0.00013   21.0   0.0    20    77    25    82    13    89 0.88 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14381at5820          -             87     5e-17   60.8   3.1   2   4   0.00032     0.051   12.7   0.1    13    77   106   169    99   177 0.86 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14381at5820          -             87     5e-17   60.8   3.1   3   4    0.0052      0.83    8.8   0.0    19    79   201   258   193   266 0.85 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14381at5820          -             87     5e-17   60.8   3.1   4   4   5.5e-05    0.0089   15.2   0.0    10    75   448   512   441   518 0.87 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO74967.1           -            503 14381at5820          -             87   4.9e-16   57.6   2.0   1   4   8.8e-07   0.00014   20.9   0.0    16    78    87   149    76   154 0.88 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 14381at5820          -             87   4.9e-16   57.6   2.0   2   4    0.0004     0.065   12.4   0.1    20    80   189   248   179   253 0.87 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 14381at5820          -             87   4.9e-16   57.6   2.0   3   4       7.5   1.2e+03   -1.3   0.1    29    47   301   319   292   330 0.77 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 14381at5820          -             87   4.9e-16   57.6   2.0   4   4     1e-06   0.00017   20.7   0.0    13    76   396   459   389   466 0.87 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74870.1           -            475 14381at5820          -             87   5.2e-13   48.0   3.5   1   2   2.2e-08   3.5e-06   26.1   0.1    13    63    22    72    16    88 0.88 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO74870.1           -            475 14381at5820          -             87   5.2e-13   48.0   3.5   2   2   3.1e-07   4.9e-05   22.4   0.5    13    80   109   175   101   184 0.87 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO71354.1           -            269 14381at5820          -             87   2.5e-08   32.9   0.0   1   1   4.5e-10   7.3e-08   31.5   0.0    13    84   190   264   185   265 0.88 eukaryotic translation initiation factor 3 subunit G, putative [Plasmodium vivax]
