#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73241.1           -           1374 1384at5820           -            902         0 1479.3 111.8   1   5   5.9e-78   3.7e-75  252.1  11.8     2   184    80   303    79   305 0.86 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 1384at5820           -            902         0 1479.3 111.8   2   5    7e-102   4.4e-99  331.3  12.4   182   383   352   558   341   562 0.97 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 1384at5820           -            902         0 1479.3 111.8   3   5   0.00028      0.18    8.3   0.6   380   400   655   675   651   684 0.86 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 1384at5820           -            902         0 1479.3 111.8   4   5  2.2e-191  1.4e-188  627.5  47.2   393   720   700  1036   686  1079 0.95 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 1384at5820           -            902         0 1479.3 111.8   5   5   1.6e-85     1e-82  277.2   9.4   733   902  1190  1374  1187  1374 0.95 MORN repeat protein, putative [Plasmodium vivax]
SCO71682.1           -            369 1384at5820           -            902   8.5e-30  102.1  48.8   1   3   7.2e-18   4.5e-15   53.3  14.6   560   692     7   135     2   136 0.91 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 1384at5820           -            902   8.5e-30  102.1  48.8   2   3   1.6e-06   0.00099   15.8   1.6   622   671   116   170   114   173 0.85 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 1384at5820           -            902   8.5e-30  102.1  48.8   3   3   5.3e-16   3.3e-13   47.1  20.1   514   677   176   338   174   352 0.84 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO74298.1           -            326 1384at5820           -            902   3.9e-17   60.1  28.5   1   2   6.1e-10   3.8e-07   27.1   0.7   629   678    44    93    38    95 0.92 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 1384at5820           -            902   3.9e-17   60.1  28.5   2   2   5.3e-13   3.3e-10   37.2  22.1   541   676    93   232    89   313 0.85 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72783.1           -           1002 1384at5820           -            902   3.7e-06   23.8  31.3   1   2   2.4e-05     0.015   11.9   6.9   508   602   150   242    93   246 0.63 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72783.1           -           1002 1384at5820           -            902   3.7e-06   23.8  31.3   2   2   1.9e-07   0.00012   18.8  19.5   514   649   226   360   224   370 0.88 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72249.1           -            381 1384at5820           -            902   6.1e-06   23.1  25.6   1   2   1.7e-05     0.011   12.4   5.8   630   680    43    93    28   109 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72249.1           -            381 1384at5820           -            902   6.1e-06   23.1  25.6   2   2   1.1e-06   0.00067   16.4  11.5   546   666   230   352   221   357 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71141.1           -            191 1384at5820           -            902   1.6e-05   21.8  12.1   1   2   0.00014     0.086    9.4   0.3   647   676    38    67    34    70 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71141.1           -            191 1384at5820           -            902   1.6e-05   21.8  12.1   2   2   1.9e-07   0.00012   18.9  11.7   516   631    47   160    45   167 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72016.1           -           1177 1384at5820           -            902   3.7e-05   20.5  14.3   1   2   6.8e-07   0.00043   17.0   3.0   628   672    39    84    34    86 0.91 protein kinase, putative [Plasmodium vivax]
SCO72016.1           -           1177 1384at5820           -            902   3.7e-05   20.5  14.3   2   2   0.00019      0.12    8.9   4.2   537   704    86   159    83   177 0.57 protein kinase, putative [Plasmodium vivax]
SCO73208.1           -           1366 1384at5820           -            902   0.00037   17.2   2.2   1   3     6e-07   0.00037   17.2   2.2   608   694    79   175    50   187 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73208.1           -           1366 1384at5820           -            902   0.00037   17.2   2.2   2   3    0.0031         2    4.9   6.4   542   633   251   334   241   340 0.64 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73208.1           -           1366 1384at5820           -            902   0.00037   17.2   2.2   3   3       2.1   1.3e+03   -4.4   0.3    32    69  1076  1113  1066  1115 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74818.1           -            148 1384at5820           -            902   0.00081   16.1   2.6   1   1   1.5e-06   0.00096   15.8   2.6   585   648    20    83     9   113 0.70 MORN repeat protein, putative [Plasmodium vivax]
SCO72561.1           -           1330 1384at5820           -            902     0.076    9.6   4.6   1   1   0.00019      0.12    8.9   4.6   543   620    20    99    15   109 0.78 protein kinase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1384at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1384at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1384at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:33:40 2026
# [ok]
