#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74153.1           -            540 6119at5820           -            430  3.5e-250  828.5  23.3   1   2  4.9e-118  3.8e-115  383.6   6.4     1   189    47   239    47   252 0.97 plasmepsin V [Plasmodium vivax]
SCO74153.1           -            540 6119at5820           -            430  3.5e-250  828.5  23.3   2   2  1.7e-138  1.3e-135  451.0   8.8   190   427   277   525   261   529 0.95 plasmepsin V [Plasmodium vivax]
SCO75591.1           -            552 6119at5820           -            430   1.2e-09   35.9   0.7   1   3   1.3e-08     1e-05   23.0   0.8    89   186   194   297   144   306 0.78 aspartyl protease, putative [Plasmodium vivax]
SCO75591.1           -            552 6119at5820           -            430   1.2e-09   35.9   0.7   2   3      0.12        91    0.1   0.0   193   260   334   410   327   428 0.67 aspartyl protease, putative [Plasmodium vivax]
SCO75591.1           -            552 6119at5820           -            430   1.2e-09   35.9   0.7   3   3   0.00021      0.17    9.2   0.0   305   378   424   495   389   541 0.68 aspartyl protease, putative [Plasmodium vivax]
SCO74253.1           -            373 6119at5820           -            430   2.9e-09   34.7   0.9   1   2   7.9e-11   6.2e-08   30.3   0.1    19   216    53   240    44   246 0.81 aspartyl proteinase, putative [Plasmodium vivax]
SCO74253.1           -            373 6119at5820           -            430   2.9e-09   34.7   0.9   2   2       1.1   8.8e+02   -3.1   0.1   346   369   347   370   333   372 0.84 aspartyl proteinase, putative [Plasmodium vivax]
SCO70363.1           -            438 6119at5820           -            430   1.1e-07   29.5   0.1   1   1   6.3e-10   4.9e-07   27.4   0.1    16    77   106   168    96   344 0.82 aspartyl proteinase, putative [Plasmodium vivax]
SCO74986.1           -            450 6119at5820           -            430   1.6e-07   29.0   4.0   1   3       1.3     1e+03   -3.3   1.0   242   272    53    83    25   114 0.58 plasmepsin IV, putative [Plasmodium vivax]
SCO74986.1           -            450 6119at5820           -            430   1.6e-07   29.0   4.0   2   3     2e-10   1.6e-07   29.0   4.0    18   246   141   359   129   368 0.75 plasmepsin IV, putative [Plasmodium vivax]
SCO74986.1           -            450 6119at5820           -            430   1.6e-07   29.0   4.0   3   3      0.51     4e+02   -2.0   0.0   343   369   420   446   413   449 0.88 plasmepsin IV, putative [Plasmodium vivax]
SCO74780.1           -            723 6119at5820           -            430    0.0006   17.2   2.0   1   3   5.8e-05     0.045   11.0   0.0    16    64   260   308   255   319 0.83 aspartyl protease, putative [Plasmodium vivax]
SCO74780.1           -            723 6119at5820           -            430    0.0006   17.2   2.0   2   3    0.0047       3.7    4.7   0.2   155   213   392   451   360   467 0.69 aspartyl protease, putative [Plasmodium vivax]
SCO74780.1           -            723 6119at5820           -            430    0.0006   17.2   2.0   3   3      0.62   4.9e+02   -2.3   0.0   221   247   587   610   577   662 0.72 aspartyl protease, putative [Plasmodium vivax]
SCO70466.1           -            545 6119at5820           -            430   0.00087   16.7   3.9   1   3       1.9   1.5e+03   -3.9   0.3    42    58    37    53    33    80 0.64 plasmepsin X, putative [Plasmodium vivax]
SCO70466.1           -            545 6119at5820           -            430   0.00087   16.7   3.9   2   3   0.00013       0.1    9.8   0.0    21    66   218   263   211   283 0.86 plasmepsin X, putative [Plasmodium vivax]
SCO70466.1           -            545 6119at5820           -            430   0.00087   16.7   3.9   3   3   0.00046      0.36    8.0   0.1   130   234   318   431   297   457 0.69 plasmepsin X, putative [Plasmodium vivax]
SCO71708.1           -            479 6119at5820           -            430     0.015   12.6   0.1   1   2    0.0029       2.3    5.4   0.0    14    52    84   123    74   288 0.57 aspartyl protease, putative [Plasmodium vivax]
SCO71708.1           -            479 6119at5820           -            430     0.015   12.6   0.1   2   2    0.0074       5.8    4.1   0.0   346   372   411   437   363   450 0.80 aspartyl protease, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6119at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6119at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6119at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:59:32 2026
# [ok]
