#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75683.1           -           1282 3678at5820           -            717         0 1104.5  85.0   1   8    5e-105    1e-101  339.7  15.6     5   196    60   264    57   274 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75683.1           -           1282 3678at5820           -            717         0 1104.5  85.0   2   8   7.5e-82   1.6e-78  263.1   4.4   192   339   299   457   294   460 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75683.1           -           1282 3678at5820           -            717         0 1104.5  85.0   3   8     0.032        67   -0.1   0.0   319   347   545   573   537   581 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75683.1           -           1282 3678at5820           -            717         0 1104.5  85.0   4   8      0.48     1e+03   -4.0   0.4   348   362   649   663   628   673 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75683.1           -           1282 3678at5820           -            717         0 1104.5  85.0   5   8   1.1e-05     0.024   11.3   0.0   354   384   703   734   692   756 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75683.1           -           1282 3678at5820           -            717         0 1104.5  85.0   6   8   5.6e-18   1.2e-14   52.0   0.1   383   422   784   823   778   842 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75683.1           -           1282 3678at5820           -            717         0 1104.5  85.0   7   8   9.2e-97   1.9e-93  312.4  17.7   415   592   915  1093   909  1097 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75683.1           -           1282 3678at5820           -            717         0 1104.5  85.0   8   8   9.2e-49   1.9e-45  153.8   7.9   577   717  1123  1282  1116  1282 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71613.1           -            181 3678at5820           -            717   1.1e-07   29.0   0.8   1   1   6.7e-11   1.4e-07   28.6   0.8    86   159    78   153    65   160 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO73492.1           -            513 3678at5820           -            717    0.0097   12.6   0.1   1   2      0.14     3e+02   -2.2   0.0    91   125    95   128    90   155 0.68 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 3678at5820           -            717    0.0097   12.6   0.1   2   2   1.6e-05     0.033   10.8   0.0    78   147   181   250   168   255 0.83 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3678at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3678at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3678at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:15 2026
# [ok]
