#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73039.1           -            933 3692at5820           -            699         0 1029.7 149.1   1   3  5.1e-158  1.6e-154  514.6  48.0     1   306    26   365    26   372 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73039.1           -            933 3692at5820           -            699         0 1029.7 149.1   2   3   1.3e-83   4.2e-80  268.6  76.7   309   541   412   702   395   707 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73039.1           -            933 3692at5820           -            699         0 1029.7 149.1   3   3     8e-80   2.5e-76  256.2   8.5   541   698   737   905   722   906 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71868.1           -           3257 3692at5820           -            699   2.5e-06   24.8  33.1   1  11      0.27   8.5e+02   -3.4   3.1    57   119   330   389   299   393 0.84 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO71868.1           -           3257 3692at5820           -            699   2.5e-06   24.8  33.1   2  11       1.3     4e+03   -5.6   4.1   353   419   936  1002   933  1038 0.63 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO71868.1           -           3257 3692at5820           -            699   2.5e-06   24.8  33.1   3  11    0.0017       5.4    3.9   7.0     1    55  1319  1380  1319  1397 0.71 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO71868.1           -           3257 3692at5820           -            699   2.5e-06   24.8  33.1   4  11         2   6.3e+03   -6.7  10.5    12   109  1394  1498  1380  1504 0.62 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO71868.1           -           3257 3692at5820           -            699   2.5e-06   24.8  33.1   5  11   0.00096         3    4.7  12.9    11    68  1536  1593  1532  1603 0.86 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO71868.1           -           3257 3692at5820           -            699   2.5e-06   24.8  33.1   6  11   1.7e-05     0.052   10.5   1.5     6    67  1650  1711  1647  1712 0.87 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO71868.1           -           3257 3692at5820           -            699   2.5e-06   24.8  33.1   7  11     0.012        37    1.1   7.0     8    58  1704  1758  1701  1772 0.84 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO71868.1           -           3257 3692at5820           -            699   2.5e-06   24.8  33.1   8  11   8.4e-06     0.026   11.5  10.9    12    77  1828  1891  1825  1897 0.83 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO71868.1           -           3257 3692at5820           -            699   2.5e-06   24.8  33.1   9  11     8e-10   2.5e-06   24.8  33.1    11   348  2119  2458  2102  2480 0.70 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO71868.1           -           3257 3692at5820           -            699   2.5e-06   24.8  33.1  10  11      0.18   5.8e+02   -2.8  17.2   401   529  2589  2710  2544  2755 0.72 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO71868.1           -           3257 3692at5820           -            699   2.5e-06   24.8  33.1  11  11      0.69   2.2e+03   -4.8   3.0   233   275  2926  2968  2908  2990 0.73 cysteine repeat modular protein 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3692at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3692at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3692at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:19 2026
# [ok]
