#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71807.1           -           5866 27at5820             -           4874         0 10225.1 465.6   1   8   4.5e-74   4.7e-71  237.1  14.5     7   162    14   175     1   181 0.92 dynein heavy chain, putative [Plasmodium vivax]
SCO71807.1           -           5866 27at5820             -           4874         0 10225.1 465.6   2   8  2.2e-123  2.3e-120  400.8  28.0   152   353   221   422   218   431 0.97 dynein heavy chain, putative [Plasmodium vivax]
SCO71807.1           -           5866 27at5820             -           4874         0 10225.1 465.6   3   8  7.9e-143  8.2e-140  465.4  35.2   348   599   570   821   555   847 0.94 dynein heavy chain, putative [Plasmodium vivax]
SCO71807.1           -           5866 27at5820             -           4874         0 10225.1 465.6   4   8  3.7e-227  3.9e-224  745.3  50.8   591  1049   875  1484   873  1488 0.96 dynein heavy chain, putative [Plasmodium vivax]
SCO71807.1           -           5866 27at5820             -           4874         0 10225.1 465.6   5   8         0         0 3213.8 114.2  1043  2497  1561  3094  1550  3103 0.98 dynein heavy chain, putative [Plasmodium vivax]
SCO71807.1           -           5866 27at5820             -           4874         0 10225.1 465.6   6   8   7.8e-24   8.1e-21   70.4   0.3  2482  2553  3215  3295  3213  3299 0.91 dynein heavy chain, putative [Plasmodium vivax]
SCO71807.1           -           5866 27at5820             -           4874         0 10225.1 465.6   7   8  7.1e-256  7.4e-253  840.6  19.2  2548  2928  3323  3704  3317  3710 0.98 dynein heavy chain, putative [Plasmodium vivax]
SCO71807.1           -           5866 27at5820             -           4874         0 10225.1 465.6   8   8         0         0 4286.9 149.5  2924  4874  3786  5866  3768  5866 0.97 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5   1  12         6   6.3e+03  -40.1  49.5   596  1074    44   515    36   551 0.50 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5   2  12         6   6.3e+03  -16.0  20.1  1112  1275   678   830   642  1089 0.61 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5   3  12   1.4e-31   1.5e-28   96.0  39.3  1252  1719  1350  1832  1305  1837 0.80 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5   4  12    1e-105  1.1e-102  342.2  16.8  1746  2203  1915  2368  1908  2379 0.89 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5   5  12   5.2e-46   5.5e-43  144.0   6.4  2208  2467  2435  2691  2431  2699 0.91 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5   6  12   5.4e-22   5.6e-19   64.3  14.6  2600  2893  2926  3217  2900  3232 0.86 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5   7  12   7.9e-19   8.3e-16   53.8   2.9  2936  3097  3289  3448  3275  3460 0.88 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5   8  12     2e-78   2.1e-75  251.6  45.8  3158  3797  3458  4066  3448  4073 0.90 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5   9  12   1.1e-30   1.2e-27   93.1   6.6  3800  3969  4215  4385  4212  4398 0.92 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5  10  12      0.23   2.4e+02   -4.2   0.2  3981  4031  4459  4513  4453  4536 0.74 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5  11  12   4.1e-47   4.3e-44  147.7  13.2  4155  4538  4584  4988  4545  4994 0.81 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 27at5820             -           4874         0 1133.3 303.5  12  12   1.8e-21   1.9e-18   62.5   5.2  4619  4870  4995  5232  4981  5236 0.89 dynein heavy chain, putative [Plasmodium vivax]
SCO70700.1           -           5031 27at5820             -           4874  1.2e-278  926.3 134.0   1   6         6   6.3e+03  -27.8  39.8   612  1086   701  1244   648  1384 0.61 dynein heavy chain, putative [Plasmodium vivax]
SCO70700.1           -           5031 27at5820             -           4874  1.2e-278  926.3 134.0   2   6  2.8e-121  2.9e-118  393.9  10.5  1491  2153  1511  2183  1476  2194 0.88 dynein heavy chain, putative [Plasmodium vivax]
SCO70700.1           -           5031 27at5820             -           4874  1.2e-278  926.3 134.0   3   6   3.2e-50   3.4e-47  158.0   0.3  2159  2401  2228  2475  2210  2492 0.88 dynein heavy chain, putative [Plasmodium vivax]
SCO70700.1           -           5031 27at5820             -           4874  1.2e-278  926.3 134.0   4   6   3.4e-30   3.5e-27   91.5   2.2  2619  3100  2751  3203  2726  3211 0.79 dynein heavy chain, putative [Plasmodium vivax]
SCO70700.1           -           5031 27at5820             -           4874  1.2e-278  926.3 134.0   5   6   5.6e-97   5.8e-94  313.2  50.8  3159  4490  3210  4583  3203  4800 0.82 dynein heavy chain, putative [Plasmodium vivax]
SCO70700.1           -           5031 27at5820             -           4874  1.2e-278  926.3 134.0   6   6   1.1e-05     0.011   10.2   0.0  4718  4873  4881  5029  4864  5030 0.85 dynein heavy chain, putative [Plasmodium vivax]
SCO72715.1           -           5298 27at5820             -           4874  3.9e-263  874.8 275.2   1  13         6   6.3e+03  -15.5  33.3  1012  1215  1044  1242  1040  1254 0.70 dynein heavy chain, putative [Plasmodium vivax]
SCO72715.1           -           5298 27at5820             -           4874  3.9e-263  874.8 275.2   2  13   7.7e-20     8e-17   57.1  24.9  1433  1719  1226  1507  1217  1514 0.81 dynein heavy chain, putative [Plasmodium vivax]
