#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74833.1           -           1446 1767at5820           -            979         0 1338.9  74.3   1   9   8.1e-17   5.1e-13   46.5   0.0     1    45     1    45     1    47 0.97 vacuolar protein sorting-associated protein 3, putative [Plasmodium vivax]
SCO74833.1           -           1446 1767at5820           -            979         0 1338.9  74.3   2   9  1.3e-108  8.1e-105  350.3  14.8    45   277    86   333    82   336 0.93 vacuolar protein sorting-associated protein 3, putative [Plasmodium vivax]
SCO74833.1           -           1446 1767at5820           -            979         0 1338.9  74.3   3   9   2.3e-49   1.5e-45  154.2   1.1   276   375   436   535   432   541 0.97 vacuolar protein sorting-associated protein 3, putative [Plasmodium vivax]
SCO74833.1           -           1446 1767at5820           -            979         0 1338.9  74.3   4   9   1.1e-07   0.00072   16.2   0.0   374   401   569   596   566   599 0.92 vacuolar protein sorting-associated protein 3, putative [Plasmodium vivax]
SCO74833.1           -           1446 1767at5820           -            979         0 1338.9  74.3   5   9   8.2e-11   5.2e-07   26.6   0.5   397   428   628   659   622   665 0.90 vacuolar protein sorting-associated protein 3, putative [Plasmodium vivax]
SCO74833.1           -           1446 1767at5820           -            979         0 1338.9  74.3   6   9   3.9e-32   2.5e-28   97.2   0.1   429   498   703   778   695   791 0.92 vacuolar protein sorting-associated protein 3, putative [Plasmodium vivax]
SCO74833.1           -           1446 1767at5820           -            979         0 1338.9  74.3   7   9  1.2e-109  7.8e-106  353.7  12.7   498   739   804  1051   801  1059 0.96 vacuolar protein sorting-associated protein 3, putative [Plasmodium vivax]
SCO74833.1           -           1446 1767at5820           -            979         0 1338.9  74.3   8   9   1.4e-16   8.9e-13   45.7   0.3   720   810  1063  1170  1052  1181 0.75 vacuolar protein sorting-associated protein 3, putative [Plasmodium vivax]
SCO74833.1           -           1446 1767at5820           -            979         0 1338.9  74.3   9   9   2.7e-85   1.7e-81  273.2   6.5   802   979  1262  1442  1249  1442 0.95 vacuolar protein sorting-associated protein 3, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1767at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1767at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1767at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:52 2026
# [ok]
