#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3   1  20   1.6e-99     1e-95  319.8  37.9    13   268    49   383    43   389 0.85 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3   2  20  5.6e-187  3.5e-183  610.0  33.6   266   610   422   793   420   795 0.94 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3   3  20   1.3e-33   8.2e-30  101.1   0.7   605   678   861   940   855   947 0.89 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3   4  20   7.8e-51   4.9e-47  158.3   8.8   681   784   988  1094   983  1100 0.94 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3   5  20   2.7e-59   1.7e-55  186.3   9.1   780   945  1145  1347  1126  1356 0.85 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3   6  20   1.8e-19   1.2e-15   54.2   0.3   945  1004  1435  1495  1422  1522 0.83 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3   7  20   2.4e-25   1.5e-21   73.7   1.2   990  1049  1540  1599  1533  1605 0.95 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3   8  20  8.9e-138  5.6e-134  446.8  31.5  1044  1277  1634  1884  1629  1905 0.92 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3   9  20   1.5e-13   9.7e-10   34.6   8.0  1277  1348  2040  2116  1994  2140 0.73 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3  10  20   4.3e-47   2.7e-43  145.9  12.9  1328  1459  2240  2387  2206  2391 0.83 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3  11  20   9.1e-22   5.7e-18   61.9   7.1  1424  1516  2432  2529  2418  2543 0.80 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3  12  20  3.8e-101   2.4e-97  325.2  38.2  1506  1739  2631  2911  2612  2927 0.81 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3  13  20  1.6e-162    1e-158  528.8  18.5  1743  2044  3177  3499  3160  3504 0.94 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3  14  20   2.3e-50   1.4e-46  156.7  10.2  2045  2139  3532  3626  3528  3630 0.96 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3  15  20  4.3e-109  2.7e-105  351.6  37.3  2151  2368  3815  4079  3791  4092 0.85 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3  16  20   3.8e-07    0.0024   13.4   0.1  2365  2387  4118  4140  4115  4153 0.92 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3  17  20   6.2e-36   3.9e-32  108.9   3.9  2387  2499  4234  4372  4232  4398 0.80 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3  18  20   2.1e-51   1.3e-47  160.2   9.2  2499  2636  4413  4567  4405  4573 0.89 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3  19  20   1.7e-62   1.1e-58  197.0   8.2  2635  2772  4682  4829  4676  4844 0.92 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO70682.1           -           5001 74at5820             -           2856         0 4013.7 413.3  20  20   9.1e-24   5.7e-20   68.5   0.0  2757  2856  4887  5001  4875  5001 0.73 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/74at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/74at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/74at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:59:34 2026
# [ok]
