#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75485.1           -            306 9708at5820           -            266  1.9e-166  550.4   7.0   1   2  4.1e-113  4.3e-110  365.7   3.1     1   177     1   177     1   192 0.97 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO75485.1           -            306 9708at5820           -            266  1.9e-166  550.4   7.0   2   2   1.5e-58   1.6e-55  186.8   0.1   177   265   217   305   208   306 0.96 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71260.1           -            318 9708at5820           -            266     2e-11   42.2   0.2   1   3   0.00015      0.16    9.8   0.0   171   240    18    91    12    92 0.69 dicarboxylate/tricarboxylate carrier, putative [Plasmodium vivax]
SCO71260.1           -            318 9708at5820           -            266     2e-11   42.2   0.2   2   3   4.8e-10   5.1e-07   27.8   0.0   131   251    78   201    36   216 0.78 dicarboxylate/tricarboxylate carrier, putative [Plasmodium vivax]
SCO71260.1           -            318 9708at5820           -            266     2e-11   42.2   0.2   3   3   0.00019       0.2    9.4   0.1   182   241   224   289   212   314 0.69 dicarboxylate/tricarboxylate carrier, putative [Plasmodium vivax]
SCO71806.1           -           1119 9708at5820           -            266   9.1e-10   36.8   0.7   1   3    0.0058       6.1    4.6   0.0   183   213    35    66    19    83 0.80 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71806.1           -           1119 9708at5820           -            266   9.1e-10   36.8   0.7   2   3      0.22   2.3e+02   -0.6   0.1    20    81   765   826   751   834 0.74 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71806.1           -           1119 9708at5820           -            266   9.1e-10   36.8   0.7   3   3   3.9e-10   4.1e-07   28.1   0.1   181   250  1027  1096   992  1109 0.85 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO73399.1           -            494 9708at5820           -            266   5.9e-09   34.1   6.8   1   4     0.037        39    1.9   0.0   180   210    13    44     2    48 0.73 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO73399.1           -            494 9708at5820           -            266   5.9e-09   34.1   6.8   2   4   1.2e-06    0.0012   16.7   0.2   114   177   197   263   153   285 0.80 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO73399.1           -            494 9708at5820           -            266   5.9e-09   34.1   6.8   3   4     0.036        37    2.0   0.1   124   216   338   438   290   444 0.62 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO73399.1           -            494 9708at5820           -            266   5.9e-09   34.1   6.8   4   4   7.2e-06    0.0076   14.1   0.1    33    81   441   490   435   493 0.87 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71738.1           -            301 9708at5820           -            266   2.3e-08   32.2   1.3   1   2   1.2e-08   1.3e-05   23.2   0.1   131   241    63   178     3   190 0.81 ADP/ATP transporter on adenylate translocase, putative [Plasmodium vivax]
SCO71738.1           -            301 9708at5820           -            266   2.3e-08   32.2   1.3   2   2   0.00057       0.6    7.9   0.1    34    73   253   292   220   301 0.65 ADP/ATP transporter on adenylate translocase, putative [Plasmodium vivax]
SCO70611.1           -            332 9708at5820           -            266   1.3e-07   29.8   1.0   1   2   0.00042      0.44    8.3   0.0    89   246    54   213    29   215 0.67 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70611.1           -            332 9708at5820           -            266   1.3e-07   29.8   1.0   2   2   8.3e-10   8.7e-07   27.0   0.5   130   262   193   328   183   332 0.69 mitochondrial carrier protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9708at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9708at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9708at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:14:22 2026
# [ok]
