#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70337.1           -            107 14652at5820          -             79   6.8e-41  136.9   8.6   1   1   3.6e-43   1.4e-40  135.9   8.6    10    79    38   107    14   107 0.97 centrin, putative [Plasmodium vivax]
SCO74397.1           -            177 14652at5820          -             79     4e-10   38.3   9.2   1   2   9.6e-08   3.8e-05   22.3   0.6    10    76    20    86    14    89 0.87 calcineurin subunit B, putative [Plasmodium vivax]
SCO74397.1           -            177 14652at5820          -             79     4e-10   38.3   9.2   2   2   1.2e-06   0.00049   18.8   2.5    22    73   101   161    87   167 0.68 calcineurin subunit B, putative [Plasmodium vivax]
SCO70623.1           -            168 14652at5820          -             79   2.5e-09   35.7  13.9   1   2   1.5e-11   5.8e-09   34.5   0.9     9    73    18    86    12    94 0.90 centrin-1, putative [Plasmodium vivax]
SCO70623.1           -            168 14652at5820          -             79   2.5e-09   35.7  13.9   2   2     0.022       8.5    5.2   2.8    13    46   130   164   119   167 0.68 centrin-1, putative [Plasmodium vivax]
SCO74740.1           -            149 14652at5820          -             79   2.9e-08   32.3   9.2   1   2   1.2e-06   0.00046   18.8   0.1    10    75     3    72     1    76 0.86 calmodulin, putative [Plasmodium vivax]
SCO74740.1           -            149 14652at5820          -             79   2.9e-08   32.3   9.2   2   2   6.3e-05     0.025   13.3   5.1    11    73    76   143    69   146 0.76 calmodulin, putative [Plasmodium vivax]
SCO71647.1           -            179 14652at5820          -             79   1.5e-06   26.8  13.8   1   3   2.1e-08   8.3e-06   24.4   2.0     9    73    29    97    26   103 0.88 centrin-3, putative [Plasmodium vivax]
SCO71647.1           -            179 14652at5820          -             79   1.5e-06   26.8  13.8   2   3      0.14        57    2.5   0.1    51    71   112   132   107   139 0.87 centrin-3, putative [Plasmodium vivax]
SCO71647.1           -            179 14652at5820          -             79   1.5e-06   26.8  13.8   3   3     0.006       2.3    7.0   1.1    10    46   142   175   136   177 0.82 centrin-3, putative [Plasmodium vivax]
SCO72579.1           -            344 14652at5820          -             79     3e-06   25.8  18.1   1   4   0.00013     0.053   12.3   1.1    16    71    60   119    57   127 0.87 endoplasmic reticulum-resident calcium binding protein, putative [Plasmodium vivax]
SCO72579.1           -            344 14652at5820          -             79     3e-06   25.8  18.1   2   4      0.06        23    3.8   0.2    19    72    99   160    98   166 0.62 endoplasmic reticulum-resident calcium binding protein, putative [Plasmodium vivax]
SCO72579.1           -            344 14652at5820          -             79     3e-06   25.8  18.1   3   4     0.015       5.8    5.7   1.0    12    40   167   197   163   204 0.71 endoplasmic reticulum-resident calcium binding protein, putative [Plasmodium vivax]
SCO72579.1           -            344 14652at5820          -             79     3e-06   25.8  18.1   4   4   2.5e-06     0.001   17.8   0.9    17    43   211   237   198   244 0.81 endoplasmic reticulum-resident calcium binding protein, putative [Plasmodium vivax]
SCO72548.1           -            167 14652at5820          -             79   1.2e-05   24.0  14.1   1   3     2e-07   7.7e-05   21.3   5.2     9    73     6    76     1    82 0.83 centrin-4, putative [Plasmodium vivax]
SCO72548.1           -            167 14652at5820          -             79   1.2e-05   24.0  14.1   2   3         1   4.1e+02   -0.2   0.0    13    34    88   106    75   121 0.59 centrin-4, putative [Plasmodium vivax]
SCO72548.1           -            167 14652at5820          -             79   1.2e-05   24.0  14.1   3   3    0.0033       1.3    7.8   0.5    23    51   133   159   120   167 0.79 centrin-4, putative [Plasmodium vivax]
SCO71346.1           -            275 14652at5820          -             79   0.00013   20.7   4.8   1   2   3.5e-05     0.014   14.1   3.0    19    57   162   200   146   211 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71346.1           -            275 14652at5820          -             79   0.00013   20.7   4.8   2   2     0.019       7.6    5.3   0.0    23    42   251   270   229   274 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71678.1           -            236 14652at5820          -             79   0.00031   19.4   9.4   1   3   4.3e-06    0.0017   17.0   0.3     9    46     2    39     1    58 0.90 calmodulin, putative [Plasmodium vivax]
SCO71678.1           -            236 14652at5820          -             79   0.00031   19.4   9.4   2   3       1.9   7.5e+02   -1.1   0.1    28    53   129   156   110   164 0.54 calmodulin, putative [Plasmodium vivax]
SCO71678.1           -            236 14652at5820          -             79   0.00031   19.4   9.4   3   3    0.0066       2.6    6.8   1.5    17    47   169   199   151   223 0.82 calmodulin, putative [Plasmodium vivax]
SCO74090.1           -            471 14652at5820          -             79   0.00053   18.7   8.1   1   4     0.062        25    3.7   0.0    55    72   166   183   160   189 0.89 apicoplast calcium binding protein 1, putative [Plasmodium vivax]
SCO74090.1           -            471 14652at5820          -             79   0.00053   18.7   8.1   2   4      0.49   1.9e+02    0.9   0.2    24    42   205   223   187   235 0.80 apicoplast calcium binding protein 1, putative [Plasmodium vivax]
SCO74090.1           -            471 14652at5820          -             79   0.00053   18.7   8.1   3   4   7.6e-05      0.03   13.0   0.2    20    77   313   371   296   373 0.86 apicoplast calcium binding protein 1, putative [Plasmodium vivax]
SCO74090.1           -            471 14652at5820          -             79   0.00053   18.7   8.1   4   4      0.14        55    2.6   0.0    23    40   434   451   418   460 0.88 apicoplast calcium binding protein 1, putative [Plasmodium vivax]
SCO74449.1           -            168 14652at5820          -             79    0.0021   16.8   6.5   1   3   3.4e-05     0.013   14.2   0.9    12    78    21    91    13    92 0.82 centrin-2, putative [Plasmodium vivax]
SCO74449.1           -            168 14652at5820          -             79    0.0021   16.8   6.5   2   3    0.0023       0.9    8.3   1.2    28    71    71   121    61   128 0.75 centrin-2, putative [Plasmodium vivax]
SCO74449.1           -            168 14652at5820          -             79    0.0021   16.8   6.5   3   3     0.045        18    4.2   0.5    16    73    98   159    94   165 0.68 centrin-2, putative [Plasmodium vivax]
SCO72411.1           -            602 14652at5820          -             79    0.0063   15.2   2.8   1   2      0.22        87    1.9   0.0    53    73   499   519   492   526 0.83 calcium-dependent protein kinase 3, putative [Plasmodium vivax]
SCO72411.1           -            602 14652at5820          -             79    0.0063   15.2   2.8   2   2    0.0017      0.66    8.7   1.2    12    71   525   593   515   599 0.68 calcium-dependent protein kinase 3, putative [Plasmodium vivax]
SCO73872.1           -            423 14652at5820          -             79    0.0075   15.0   1.1   1   4       3.1   1.2e+03   -1.7   0.2    43    43   289   289   251   326 0.50 protein kinase, putative [Plasmodium vivax]
SCO73872.1           -            423 14652at5820          -             79    0.0075   15.0   1.1   2   4      0.17        66    2.3   0.1    17    72   295   355   281   358 0.68 protein kinase, putative [Plasmodium vivax]
SCO73872.1           -            423 14652at5820          -             79    0.0075   15.0   1.1   3   4   1.9e-05    0.0075   15.0   1.1    19    73   334   392   326   398 0.84 protein kinase, putative [Plasmodium vivax]
SCO73872.1           -            423 14652at5820          -             79    0.0075   15.0   1.1   4   4       3.3   1.3e+03   -1.8   0.1     6    27   397   419   391   420 0.72 protein kinase, putative [Plasmodium vivax]
SCO74013.1           -            563 14652at5820          -             79    0.0089   14.7  18.6   1   4       4.6   1.8e+03   -2.3   0.0    41    57   167   183   164   188 0.82 calcium-dependent protein kinase 5, putative [Plasmodium vivax]
SCO74013.1           -            563 14652at5820          -             79    0.0089   14.7  18.6   2   4      0.14        56    2.6   0.2    43    62   325   347   320   354 0.79 calcium-dependent protein kinase 5, putative [Plasmodium vivax]
SCO74013.1           -            563 14652at5820          -             79    0.0089   14.7  18.6   3   4   0.00039      0.15   10.8   0.4    12    73   418   482   413   487 0.77 calcium-dependent protein kinase 5, putative [Plasmodium vivax]
SCO74013.1           -            563 14652at5820          -             79    0.0089   14.7  18.6   4   4    0.0069       2.7    6.8   4.1    23    73   500   556   491   561 0.74 calcium-dependent protein kinase 5, putative [Plasmodium vivax]
SCO72381.1           -            130 14652at5820          -             79     0.022   13.5   0.0   1   1    0.0001      0.04   12.6   0.0    40    70    34    64    23    68 0.90 40S ribosomal protein S15A, putative [Plasmodium vivax]
SCO71015.1           -            526 14652at5820          -             79      0.66    8.7  22.5   1   5       3.6   1.4e+03   -1.9   0.0    41    56   119   134   101   138 0.74 calcium-dependent protein kinase 1, putative [Plasmodium vivax]
SCO71015.1           -            526 14652at5820          -             79      0.66    8.7  22.5   2   5      0.38   1.5e+02    1.2   0.4    10    53   294   334   286   345 0.69 calcium-dependent protein kinase 1, putative [Plasmodium vivax]
SCO71015.1           -            526 14652at5820          -             79      0.66    8.7  22.5   3   5     0.026        10    4.9   3.9    12    73   371   444   362   447 0.65 calcium-dependent protein kinase 1, putative [Plasmodium vivax]
SCO71015.1           -            526 14652at5820          -             79      0.66    8.7  22.5   4   5     0.034        13    4.6   4.1    17    71   420   478   403   485 0.72 calcium-dependent protein kinase 1, putative [Plasmodium vivax]
SCO71015.1           -            526 14652at5820          -             79      0.66    8.7  22.5   5   5    0.0032       1.3    7.8   0.2    25    46   498   519   482   524 0.81 calcium-dependent protein kinase 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14652at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:52 2026
# [ok]
