#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71813.1           -           1013 1972at5820           -            810         0 1695.8  70.6   1   2         0         0 1084.1  34.1     1   482     1   496     1   520 0.98 coatomer subunit beta, putative [Plasmodium vivax]
SCO71813.1           -           1013 1972at5820           -            810         0 1695.8  70.6   2   2  3.9e-188  1.1e-185  617.8  28.5   480   810   530   894   522   894 0.95 coatomer subunit beta, putative [Plasmodium vivax]
SCO73788.1           -           1399 1972at5820           -            810   1.5e-43  147.8   3.5   1   5     1e-25     3e-23   80.6   0.2    12   173     6   165     2   191 0.92 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 1972at5820           -            810   1.5e-43  147.8   3.5   2   5     8e-25   2.3e-22   77.7   0.3   182   331   241   391   223   398 0.91 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 1972at5820           -            810   1.5e-43  147.8   3.5   3   5       1.9   5.4e+02   -2.9   0.0   629   664   411   450   392   459 0.75 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 1972at5820           -            810   1.5e-43  147.8   3.5   4   5       2.5   7.3e+02   -3.4   1.0   437   469   599   633   516   720 0.56 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 1972at5820           -            810   1.5e-43  147.8   3.5   5   5     0.027       7.8    3.2   5.4   581   715   782   923   770   932 0.72 coatomer alpha subunit, putative [Plasmodium vivax]
SCO72943.1           -            660 1972at5820           -            810   1.6e-21   74.9  19.3   1   4     8e-12   2.3e-09   34.7   0.4   177   283   109   213    41   227 0.90 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 1972at5820           -            810   1.6e-21   74.9  19.3   2   4   6.4e-08   1.8e-05   21.8   1.6   158   244   341   423   332   440 0.83 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 1972at5820           -            810   1.6e-21   74.9  19.3   3   4   7.3e-08   2.1e-05   21.6   1.3   185   265   490   568   431   575 0.82 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 1972at5820           -            810   1.6e-21   74.9  19.3   4   4    0.0015      0.44    7.3   0.1   178   220   619   659   609   660 0.84 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72485.1           -            595 1972at5820           -            810   4.4e-18   63.5  11.8   1   3   1.2e-09   3.4e-07   27.5   1.6   181   265   272   354   229   362 0.84 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO72485.1           -            595 1972at5820           -            810   4.4e-18   63.5  11.8   2   3   4.4e-13   1.3e-10   38.8   2.1   187   286   362   459   354   475 0.86 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO72485.1           -            595 1972at5820           -            810   4.4e-18   63.5  11.8   3   3   1.4e-06   0.00039   17.4   0.5   206   264   421   478   414   500 0.82 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO71232.1           -            322 1972at5820           -            810   7.3e-18   62.8  11.7   1   3   9.4e-15   2.7e-12   44.4   1.2   157   263    36   142    19   153 0.86 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71232.1           -            322 1972at5820           -            810   7.3e-18   62.8  11.7   2   3   1.1e-10   3.1e-08   30.9   3.5   152   287   123   252   120   282 0.79 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71232.1           -            322 1972at5820           -            810   7.3e-18   62.8  11.7   3   3      0.12        35    1.0   0.2   200   232   248   280   237   321 0.57 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71271.1           -            324 1972at5820           -            810   3.1e-17   60.7   8.1   1   2   1.1e-11     3e-09   34.3   5.0   112   235    50   164    32   193 0.80 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO71271.1           -            324 1972at5820           -            810   3.1e-17   60.7   8.1   2   2   9.3e-10   2.7e-07   27.8   0.2   135   257   197   318   171   321 0.83 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO73165.1           -           1236 1972at5820           -            810   5.3e-14   50.0  16.7   1   2   5.2e-08   1.5e-05   22.1   9.5    91   291   902  1096   895  1103 0.84 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO73165.1           -           1236 1972at5820           -            810   5.3e-14   50.0  16.7   2   2   5.3e-11   1.5e-08   32.0   1.1   164   263  1104  1202  1094  1209 0.84 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO72425.1           -            498 1972at5820           -            810   2.5e-13   47.8   6.6   1   2     2e-07   5.6e-05   20.2   0.3   183   262   248   328   226   338 0.84 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO72425.1           -            498 1972at5820           -            810   2.5e-13   47.8   6.6   2   2   1.6e-09   4.7e-07   27.0   1.6   113   261   357   497   335   498 0.71 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO75449.1           -            612 1972at5820           -            810   2.4e-12   44.5  16.8   1   2   2.4e-10   6.8e-08   29.8   1.3   182   283   315   415   305   439 0.84 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO75449.1           -            612 1972at5820           -            810   2.4e-12   44.5  16.8   2   2   7.1e-07    0.0002   18.3   8.9    83   261   435   611   422   612 0.77 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO73958.1           -            644 1972at5820           -            810   5.6e-12   43.3  16.0   1   3   1.2e-05    0.0034   14.3   0.2   145   208   246   306   215   323 0.81 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO73958.1           -            644 1972at5820           -            810   5.6e-12   43.3  16.0   2   3   2.2e-06   0.00064   16.7   0.2    95   173   427   503   422   514 0.81 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
