#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73258.1           -           2709 395at5820            -           2124         0 3765.2  22.0   1   3         0         0 2652.2   0.3     1  1398     1  1713     1  1719 0.95 RNA polymerase I, putative [Plasmodium vivax]
SCO73258.1           -           2709 395at5820            -           2124         0 3765.2  22.0   2   3  1.1e-169  2.8e-167  557.1   2.0  1399  1812  1744  2247  1739  2305 0.79 RNA polymerase I, putative [Plasmodium vivax]
SCO73258.1           -           2709 395at5820            -           2124         0 3765.2  22.0   3   3  1.4e-171  3.7e-169  563.3   6.5  1804  2123  2379  2707  2335  2708 0.84 RNA polymerase I, putative [Plasmodium vivax]
SCO72366.1           -           2380 395at5820            -           2124    8e-146  486.0  72.6   1   7     6e-12   1.6e-09   34.0   3.9    11   124    16   128     4   183 0.79 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO72366.1           -           2380 395at5820            -           2124    8e-146  486.0  72.6   2   7   1.4e-53   3.7e-51  172.0   0.1   455   724   319   585   290   588 0.89 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO72366.1           -           2380 395at5820            -           2124    8e-146  486.0  72.6   3   7    0.0054       1.4    4.3   0.1   767   790   594   617   590   621 0.86 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO72366.1           -           2380 395at5820            -           2124    8e-146  486.0  72.6   4   7   1.6e-08   4.1e-06   22.6   0.2   830   913   724   807   704   823 0.85 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO72366.1           -           2380 395at5820            -           2124    8e-146  486.0  72.6   5   7   4.8e-48   1.2e-45  153.7   0.4  1230  1363   868  1001   824  1026 0.88 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO72366.1           -           2380 395at5820            -           2124    8e-146  486.0  72.6   6   7   1.5e-24     4e-22   75.7   0.1  1451  1546  1327  1426  1295  1451 0.73 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO72366.1           -           2380 395at5820            -           2124    8e-146  486.0  72.6   7   7   6.9e-19   1.8e-16   57.0   0.7  1981  2119  1825  1962  1813  1966 0.91 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO74097.1           -           1922 395at5820            -           2124  6.4e-132  439.9  47.7   1   8   1.5e-09   3.8e-07   26.0   6.5    10   118    74   180    67   245 0.88 DNA-directed RNA polymerase III largest subunit, putative [Plasmodium vivax]
