#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4   1  12     1e-26   6.5e-23   79.3   2.9     9    65    19    75     1    92 0.89 zinc finger, C3HC4 type, putative [Plasmodium vivax]
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4   2  12   8.9e-55   5.6e-51  172.1  14.8    60   157   108   205   101   207 0.97 zinc finger, C3HC4 type, putative [Plasmodium vivax]
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4   3  12  7.3e-106  4.6e-102  341.2  12.9   152   332   276   462   270   467 0.94 zinc finger, C3HC4 type, putative [Plasmodium vivax]
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4   4  12         1   6.3e+03  -10.6  12.8   702   750   508   556   493   564 0.52 zinc finger, C3HC4 type, putative [Plasmodium vivax]
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4   5  12     0.028   1.8e+02   -1.6  19.2   325   366   564   605   557   605 0.82 zinc finger, C3HC4 type, putative [Plasmodium vivax]
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4   6  12   1.5e-08   9.1e-05   19.2   9.2   325   394   592   679   587   691 0.78 zinc finger, C3HC4 type, putative [Plasmodium vivax]
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4   7  12   2.7e-11   1.7e-07   28.2   1.6   398   448   728   782   723   788 0.74 zinc finger, C3HC4 type, putative [Plasmodium vivax]
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4   8  12   9.7e-21   6.1e-17   59.5   9.0   396   481   764   853   756   878 0.81 zinc finger, C3HC4 type, putative [Plasmodium vivax]
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4   9  12   3.4e-16   2.2e-12   44.4   5.3   472   547   894   975   878   992 0.76 zinc finger, C3HC4 type, putative [Plasmodium vivax]
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4  10  12   1.9e-60   1.2e-56  190.9  26.6   517   689  1060  1242  1036  1303 0.71 zinc finger, C3HC4 type, putative [Plasmodium vivax]
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4  11  12   8.9e-23   5.6e-19   66.2  34.0   626   748  1456  1601  1448  1603 0.69 zinc finger, C3HC4 type, putative [Plasmodium vivax]
SCO70687.1           -           1796 1454at5820           -            903         0 1260.8 231.4  12  12  1.9e-102   1.2e-98  329.9  26.7   696   903  1580  1796  1574  1796 0.86 zinc finger, C3HC4 type, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1454at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1454at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1454at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:38 2026
# [ok]
