#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7   1  13  4.4e-119  1.4e-115  386.0   1.3     1   260     1   301     1   303 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7   2  13   6.9e-26   2.2e-22   77.2   0.1   263   347   338   442   336   457 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7   3  13   4.8e-21   1.5e-17   61.2   1.5   340   396   464   520   452   526 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7   4  13   5.8e-17   1.8e-13   47.7   0.4   399   444   611   656   601   661 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7   5  13   1.7e-69   5.4e-66  221.7   9.0   440   648   684   937   671   940 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7   6  13   0.00029       0.9    5.6   0.0   640   682  1076  1120  1071  1133 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7   7  13   1.2e-24   3.7e-21   73.1   3.8   706   759  1239  1292  1213  1305 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7   8  13   1.5e-30   4.6e-27   92.7   0.1   761   833  1421  1493  1418  1522 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7   9  13     3e-15   9.5e-12   42.0   0.1   844   894  1592  1648  1579  1676 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7  10  13   7.8e-75   2.5e-71  239.4  26.5   909  1149  1724  2013  1707  2019 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7  11  13   2.4e-33   7.4e-30  102.0   0.7  1145  1216  2045  2116  2033  2120 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7  12  13   2.1e-26   6.5e-23   79.0   0.0  1210  1282  2132  2205  2124  2213 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73661.1           -           2325 842at5820            -           1358         0 1498.2  96.7  13  13   2.3e-32   7.2e-29   98.7   0.0  1290  1357  2248  2321  2239  2322 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71635.1           -            642 842at5820            -           1358     0.018   11.3   0.1   1   1   7.6e-06     0.024   10.8   0.1    49   120   280   350   275   383 0.76 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/842at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/842at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/842at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:05:43 2026
# [ok]
