#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9   1  12  5.2e-119  3.3e-115  384.6  14.6     1   238    84   326    84   331 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9   2  12   3.4e-54   2.1e-50  170.0   2.7   240   357   394   518   391   526 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9   3  12   2.3e-11   1.5e-07   28.1   0.0   352   392   538   583   532   588 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9   4  12    0.0015       9.2    2.2   0.0   394   414   680   700   675   704 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9   5  12   0.00063         4    3.4   0.0   414   435   765   786   760   791 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9   6  12   1.1e-15   6.7e-12   42.4   0.3   426   477   815   866   808   884 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9   7  12   4.6e-10   2.9e-06   23.8   9.6   473   541   949  1043   945  1049 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9   8  12   2.6e-25   1.6e-21   74.3   0.2   539   608  1075  1147  1071  1161 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9   9  12   1.4e-26   8.6e-23   78.5   0.0   628   709  1242  1325  1206  1330 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9  10  12   1.3e-17     8e-14   48.8   0.4   709   764  1379  1442  1371  1461 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9  11  12  7.8e-115  4.9e-111  370.8   2.7   767  1007  1545  1802  1537  1806 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70482.1           -           2076 848at5820            -           1220         0 1576.6  82.9  12  12  2.3e-117  1.5e-113  379.2   1.5  1007  1219  1860  2075  1853  2076 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/848at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/848at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/848at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:06:04 2026
# [ok]
