#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75157.1           -            713 5598at5820           -            537  6.6e-263  871.7 112.7   1   2   8.6e-81   7.8e-78  260.9  67.3     2   237     6   346     5   351 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75157.1           -            713 5598at5820           -            537  6.6e-263  871.7 112.7   2   2  7.9e-184  7.1e-181  601.0  37.4   231   537   365   713   361   713 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72677.1           -            351 5598at5820           -            537      0.09    9.9  15.1   1   2   8.1e-06    0.0073   13.5  10.6    84   183    44   162    18   206 0.61 tRNA m(1)G methyltransferase, putative [Plasmodium vivax]
SCO72677.1           -            351 5598at5820           -            537      0.09    9.9  15.1   2   2       1.3   1.1e+03   -3.6   0.1   226   253   274   301   252   315 0.55 tRNA m(1)G methyltransferase, putative [Plasmodium vivax]
SCO71228.1           -           1206 5598at5820           -            537      0.48    7.5   7.9   1   1   0.00095      0.85    6.7   7.9    80   141  1029  1091  1000  1101 0.59 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73062.1           -            667 5598at5820           -            537         2    5.5  20.6   1   1     0.004       3.6    4.6  20.6    60   164    47   156    29   181 0.49 RNA helicase 1, putative [Plasmodium vivax]
SCO70411.1           -            162 5598at5820           -            537       2.7    5.1   9.3   1   1    0.0037       3.3    4.7   9.3    70   146     8    84     2    98 0.45 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71170.1           -            257 5598at5820           -            537       2.8    5.0  16.0   1   1    0.0045         4    4.5  16.0    82   157    98   179    76   204 0.46 Plasmodium exported protein, unknown function [Plasmodium vivax]
SCO75165.1           -            467 5598at5820           -            537       3.9    4.5  11.7   1   1     0.007       6.3    3.8  11.7    71   131    75   136    64   146 0.55 tyrosine recombinase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5598at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5598at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5598at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:54:38 2026
# [ok]
