#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73878.1           -           1805 1177at5820           -           1061         0 1501.6 134.9   1  10     3e-12   6.2e-09   32.9   2.4     1    38     1    39     1    58 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73878.1           -           1805 1177at5820           -           1061         0 1501.6 134.9   2  10   1.2e-49   2.5e-46  156.7   9.2    44   133   136   225   129   229 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73878.1           -           1805 1177at5820           -           1061         0 1501.6 134.9   3  10   7.7e-64   1.6e-60  203.7  11.9   132   264   249   389   245   410 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73878.1           -           1805 1177at5820           -           1061         0 1501.6 134.9   4  10   4.7e-14   9.7e-11   38.9   0.1   275   308   566   599   525   616 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73878.1           -           1805 1177at5820           -           1061         0 1501.6 134.9   5  10   1.6e-54   3.3e-51  172.9   0.1   308   484   637   879   634   895 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73878.1           -           1805 1177at5820           -           1061         0 1501.6 134.9   6  10      0.18   3.7e+02   -2.7   2.6   498   514   978   994   945   996 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73878.1           -           1805 1177at5820           -           1061         0 1501.6 134.9   7  10   1.6e-17   3.4e-14   50.4   6.5   514   590  1038  1135  1015  1155 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73878.1           -           1805 1177at5820           -           1061         0 1501.6 134.9   8  10   4.2e-34   8.7e-31  105.3   3.4   587   662  1168  1243  1149  1248 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73878.1           -           1805 1177at5820           -           1061         0 1501.6 134.9   9  10   1.3e-95   2.7e-92  309.0  18.0   660   821  1321  1481  1307  1485 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73878.1           -           1805 1177at5820           -           1061         0 1501.6 134.9  10  10  1.1e-146  2.3e-143  478.1  18.0   816  1060  1556  1802  1552  1803 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74322.1           -            785 1177at5820           -           1061   1.4e-15   55.0  36.1   1   2   1.4e-06    0.0029   14.2   0.9   609   677    51   132    43   150 0.65 GTP-binding protein, putative [Plasmodium vivax]
SCO74322.1           -            785 1177at5820           -           1061   1.4e-15   55.0  36.1   2   2     5e-16     1e-12   45.5  28.3   698  1058   367   711   324   714 0.76 GTP-binding protein, putative [Plasmodium vivax]
SCO73220.1           -            288 1177at5820           -           1061    0.0049   13.4   0.1   1   1     4e-06    0.0083   12.7   0.1   793   884    57   138    30   144 0.72 GTP-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1177at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1177at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1177at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:27:39 2026
# [ok]
