#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2   1  12     9e-56   5.7e-52  175.5  18.2     1   123     1   126     1   136 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2   2  12   7.1e-22   4.4e-18   63.3   0.0   121   169   155   203   149   207 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2   3  12   1.4e-54   8.8e-51  171.5   0.0   171   296   252   379   247   392 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2   4  12    0.0043        27    1.2   0.0   297   316   425   444   418   450 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2   5  12   8.9e-36   5.6e-32  109.3   0.9   332   437   597   714   583   721 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2   6  12   1.5e-07   0.00091   16.0   0.0   437   473   740   778   739   790 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2   7  12   0.00076       4.8    3.7   0.0   481   502   845   866   842   872 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2   8  12   2.1e-36   1.3e-32  111.4   0.0   504   626   974  1110   968  1116 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2   9  12   6.1e-37   3.9e-33  113.2   0.0   622   699  1130  1207  1126  1211 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2  10  12   7.6e-33   4.8e-29   99.6   0.0   701   780  1247  1336  1239  1342 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2  11  12   6.1e-17   3.9e-13   47.0   0.0   781   833  1404  1458  1398  1476 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71577.1           -           1554 2368at5820           -            875  5.3e-293  972.9  26.2  12  12   1.9e-17   1.2e-13   48.6   0.4   833   875  1498  1541  1495  1541 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2368at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2368at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2368at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:40 2026
# [ok]
