#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74117.1           -           1201 7042at5820           -            801  1.9e-297  987.4  65.3   1   9   2.3e-27   1.5e-23   81.6   9.8     4    90    10    99     8   114 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74117.1           -           1201 7042at5820           -            801  1.9e-297  987.4  65.3   2   9   4.1e-11   2.6e-07   27.8   0.0    86   119   126   159   103   163 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74117.1           -           1201 7042at5820           -            801  1.9e-297  987.4  65.3   3   9   1.8e-42   1.1e-38  131.5   1.3   118   222   220   330   217   336 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74117.1           -           1201 7042at5820           -            801  1.9e-297  987.4  65.3   4   9   1.6e-19     1e-15   55.6   0.2   219   273   361   415   358   425 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74117.1           -           1201 7042at5820           -            801  1.9e-297  987.4  65.3   5   9   4.1e-57   2.6e-53  179.9   2.9   271   395   471   605   467   617 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74117.1           -           1201 7042at5820           -            801  1.9e-297  987.4  65.3   6   9   3.6e-09   2.2e-05   21.4   0.0   430   461   716   747   709   753 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74117.1           -           1201 7042at5820           -            801  1.9e-297  987.4  65.3   7   9   6.4e-05       0.4    7.3   0.0   460   490   769   799   761   812 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74117.1           -           1201 7042at5820           -            801  1.9e-297  987.4  65.3   8   9  1.7e-112  1.1e-108  363.1  14.1   488   725   841  1099   835  1106 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74117.1           -           1201 7042at5820           -            801  1.9e-297  987.4  65.3   9   9   7.1e-45   4.4e-41  139.5   0.8   718   800  1118  1200  1110  1201 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7042at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7042at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7042at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:56:02 2026
# [ok]
