#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72060.1           -           1172 2346at5820           -            854         0 1355.4  29.2   1   3  3.8e-304    4e-301  999.6  11.5     6   599    10   737     6   739 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72060.1           -           1172 2346at5820           -            854         0 1355.4  29.2   2   3   1.6e-26   1.7e-23   81.1   0.0   597   651   814   868   811   877 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72060.1           -           1172 2346at5820           -            854         0 1355.4  29.2   3   3   3.8e-87   3.9e-84  281.7   6.8   652   854   932  1172   914  1172 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72903.1           -            735 2346at5820           -            854   0.00026   17.7  15.0   1   2   4.7e-07    0.0005   16.7   7.9   435   558   194   324   183   331 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72903.1           -            735 2346at5820           -            854   0.00026   17.7  15.0   2   2    0.0017       1.8    5.0   0.6   370   411   480   523   463   557 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 2346at5820           -            854     0.038   10.5  14.3   1   3   2.5e-05     0.026   11.0   2.9   522   593    74   146    70   168 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 2346at5820           -            854     0.038   10.5  14.3   2   3     0.024        25    1.2   0.0   328   435   384   485   371   489 0.55 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 2346at5820           -            854     0.038   10.5  14.3   3   3    0.0035       3.6    3.9   1.6   342   404   538   599   523   614 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70908.1           -            282 2346at5820           -            854       2.4    4.5  10.6   1   1    0.0032       3.3    4.1  10.6   108   221    77   204    72   279 0.64 pre-mRNA-splicing factor CWC15, putative [Plasmodium vivax]
SCO75023.1           -            132 2346at5820           -            854       4.9    3.5   9.9   1   1    0.0051       5.4    3.4   9.9   122   219     7   106     3   127 0.61 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73320.1           -            443 2346at5820           -            854       5.9    3.2   7.4   1   1    0.0081       8.5    2.7   7.4    96   182   274   364   269   421 0.54 hypothetical protein, conserved [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2346at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2346at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2346at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:33 2026
# [ok]
