#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70799.1           -           1609 1231at5820           -            664  4.7e-255  846.4  70.2   1  10   0.00063       1.3    5.6   0.0     1    27     1    27     1    61 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70799.1           -           1609 1231at5820           -            664  4.7e-255  846.4  70.2   2  10   6.7e-28   1.4e-24   84.8   1.6    40   105   118   187   105   193 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70799.1           -           1609 1231at5820           -            664  4.7e-255  846.4  70.2   3  10   4.4e-36   9.2e-33  111.8   8.0   104   192   314   414   286   423 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70799.1           -           1609 1231at5820           -            664  4.7e-255  846.4  70.2   4  10   9.4e-10     2e-06   24.8   0.0   194   234   511   553   490   562 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70799.1           -           1609 1231at5820           -            664  4.7e-255  846.4  70.2   5  10   2.1e-30   4.4e-27   93.1   0.0   228   296   601   682   596   683 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70799.1           -           1609 1231at5820           -            664  4.7e-255  846.4  70.2   6  10   4.3e-22     9e-19   65.6   0.0   297   347   766   816   760   827 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70799.1           -           1609 1231at5820           -            664  4.7e-255  846.4  70.2   7  10   1.7e-05     0.036   10.7   0.1   349   374   866   891   858   894 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70799.1           -           1609 1231at5820           -            664  4.7e-255  846.4  70.2   8  10  1.7e-141  3.6e-138  460.1  32.4   373   628   925  1188   923  1213 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70799.1           -           1609 1231at5820           -            664  4.7e-255  846.4  70.2   9  10     0.023        48    0.4   0.0   621   647  1217  1243  1209  1258 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70799.1           -           1609 1231at5820           -            664  4.7e-255  846.4  70.2  10  10     0.015        31    1.0   0.4   637   660  1374  1397  1358  1401 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73584.1           -           1049 1231at5820           -            664    0.0082   12.9   5.4   1   1   6.2e-06     0.013   12.2   5.4   171   290    13   132     4   175 0.76 acetyl-CoA synthetase, putative [Plasmodium vivax]
SCO72056.1           -            375 1231at5820           -            664     0.015   12.0   0.3   1   2   0.00016      0.34    7.5   0.0   385   426   230   271   217   286 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72056.1           -            375 1231at5820           -            664     0.015   12.0   0.3   2   2    0.0062        13    2.3   0.3   283   329   307   355   297   357 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1231at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1231at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1231at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:29:19 2026
# [ok]
