#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73349.1           -            944 2814at5820           -            601         0 1116.8 118.7   1   5   7.4e-34   5.2e-31  106.3   3.1     1    63     1    63     1    67 0.96 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO73349.1           -            944 2814at5820           -            601         0 1116.8 118.7   2   5  2.6e-143  1.8e-140  467.8  16.8    52   273   163   385   150   397 0.95 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO73349.1           -            944 2814at5820           -            601         0 1116.8 118.7   3   5   1.3e-82   8.8e-80  267.4  33.7   244   454   446   698   407   711 0.78 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO73349.1           -            944 2814at5820           -            601         0 1116.8 118.7   4   5         9   6.3e+03  -15.7  18.6   426   449   718   736   695   759 0.46 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO73349.1           -            944 2814at5820           -            601         0 1116.8 118.7   5   5     6e-96   4.2e-93  311.4  18.4   435   601   771   944   752   944 0.92 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO72943.1           -            660 2814at5820           -            601   1.3e-12   45.6   2.6   1   6   0.00032      0.22    8.5   0.0    84   125   111   152    83   166 0.88 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2814at5820           -            601   1.3e-12   45.6   2.6   2   6      0.12        85   -0.1   0.0   190   266   156   236   151   247 0.55 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2814at5820           -            601   1.3e-12   45.6   2.6   3   6   0.00029       0.2    8.6   0.3   187   226   357   400   341   454 0.82 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2814at5820           -            601   1.3e-12   45.6   2.6   4   6    0.0091       6.3    3.7   0.0    89   123   489   523   428   529 0.70 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2814at5820           -            601   1.3e-12   45.6   2.6   5   6    0.0061       4.2    4.2   0.0   192   226   531   566   526   577 0.78 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2814at5820           -            601   1.3e-12   45.6   2.6   6   6   5.5e-06    0.0038   14.3   0.0    88   123   624   659   615   660 0.86 ribosome assembly protein 4, putative [Plasmodium vivax]
