#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72792.1           -           1611 1267at5820           -           1206         0 2008.7 166.1   1   6   1.5e-08   3.2e-05   20.3   0.2     1    32    39    71    39    85 0.84 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO72792.1           -           1611 1267at5820           -           1206         0 2008.7 166.1   2   6  3.8e-209  7.9e-206  684.8  41.8    29   424   199   609   191   618 0.95 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO72792.1           -           1611 1267at5820           -           1206         0 2008.7 166.1   3   6   2.5e-94   5.3e-91  304.4  25.4   418   626   646   874   644   877 0.93 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO72792.1           -           1611 1267at5820           -           1206         0 2008.7 166.1   4   6  4.1e-116  8.5e-113  376.6  45.4   626   909   914  1217   908  1220 0.93 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO72792.1           -           1611 1267at5820           -           1206         0 2008.7 166.1   5   6   4.7e-29   9.8e-26   88.2   9.9   838   940  1183  1290  1178  1295 0.84 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO72792.1           -           1611 1267at5820           -           1206         0 2008.7 166.1   6   6  3.3e-171  6.9e-168  559.1  15.2   949  1205  1353  1609  1351  1610 0.99 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO73261.1           -           1453 1267at5820           -           1206   2.4e-37  126.7  14.6   1   7   6.7e-21   1.4e-17   61.2   0.1    31   133    31   136    13   150 0.77 chromosome condensation protein, putative [Plasmodium vivax]
SCO73261.1           -           1453 1267at5820           -           1206   2.4e-37  126.7  14.6   2   7         3   6.3e+03  -14.1  43.7   156   476   187   491   177   492 0.62 chromosome condensation protein, putative [Plasmodium vivax]
SCO73261.1           -           1453 1267at5820           -           1206   2.4e-37  126.7  14.6   3   7         3   6.3e+03  -27.0  47.2   758  1010   310   573   295   610 0.50 chromosome condensation protein, putative [Plasmodium vivax]
SCO73261.1           -           1453 1267at5820           -           1206   2.4e-37  126.7  14.6   4   7      0.43   8.9e+02   -4.4   0.0   649   677   702   729   700   747 0.77 chromosome condensation protein, putative [Plasmodium vivax]
SCO73261.1           -           1453 1267at5820           -           1206   2.4e-37  126.7  14.6   5   7     0.065   1.4e+02   -1.7   4.4   861   917   806   863   799   880 0.78 chromosome condensation protein, putative [Plasmodium vivax]
SCO73261.1           -           1453 1267at5820           -           1206   2.4e-37  126.7  14.6   6   7         3   6.3e+03  -23.7  41.5   731   910   852  1034   840  1074 0.42 chromosome condensation protein, putative [Plasmodium vivax]
SCO73261.1           -           1453 1267at5820           -           1206   2.4e-37  126.7  14.6   7   7   9.6e-26     2e-22   77.3  10.4   969  1200  1201  1420  1175  1425 0.88 chromosome condensation protein, putative [Plasmodium vivax]
SCO75262.1           -           1218 1267at5820           -           1206   1.3e-11   41.5 178.8   1   1   1.4e-11   2.9e-08   30.4 178.8    56  1182     3  1173     1  1191 0.59 structural maintenance of chromosome 2, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1267at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1267at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1267at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:30:16 2026
# [ok]
