#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70585.1           -           1463 1563at5820           -            937   3.2e-68  229.2  20.3   1   3   1.4e-23   1.1e-20   71.8   1.7     9   113   766   878   760   887 0.89 kinesin-8, putative [Plasmodium vivax]
SCO70585.1           -           1463 1563at5820           -            937   3.2e-68  229.2  20.3   2   3   5.3e-54   4.2e-51  172.5  11.0   169   416   899  1144   879  1157 0.83 kinesin-8, putative [Plasmodium vivax]
SCO70585.1           -           1463 1563at5820           -            937   3.2e-68  229.2  20.3   3   3         8   6.3e+03   -8.4  11.1   749   870  1253  1375  1227  1430 0.48 kinesin-8, putative [Plasmodium vivax]
SCO72354.1           -           1285 1563at5820           -            937   1.4e-45  154.2  16.8   1   2     1e-13   8.1e-11   39.2   1.2    14   110   507   605   501   619 0.82 kinesin-8, putative [Plasmodium vivax]
SCO72354.1           -           1285 1563at5820           -            937   1.4e-45  154.2  16.8   2   2   4.7e-38   3.7e-35  119.7   8.7   167   388   627   845   606   874 0.88 kinesin-8, putative [Plasmodium vivax]
SCO75695.1           -           1486 1563at5820           -            937     1e-41  141.4  34.3   1   7     4e-35   3.1e-32  110.0  27.7    18   324   120   439   101   443 0.75 kinesin, putative [Plasmodium vivax]
SCO75695.1           -           1486 1563at5820           -            937     1e-41  141.4  34.3   2   7   1.6e-15   1.3e-12   45.2   0.5   330   399   524   595   521   626 0.81 kinesin, putative [Plasmodium vivax]
SCO75695.1           -           1486 1563at5820           -            937     1e-41  141.4  34.3   3   7      0.26     2e+02   -1.9   0.2   585   623   659   698   646   709 0.74 kinesin, putative [Plasmodium vivax]
SCO75695.1           -           1486 1563at5820           -            937     1e-41  141.4  34.3   4   7      0.45   3.5e+02   -2.7   0.6   546   593   799   848   787   858 0.42 kinesin, putative [Plasmodium vivax]
SCO75695.1           -           1486 1563at5820           -            937     1e-41  141.4  34.3   5   7       1.7   1.4e+03   -4.6   3.8   773   825   953  1006   924  1046 0.43 kinesin, putative [Plasmodium vivax]
SCO75695.1           -           1486 1563at5820           -            937     1e-41  141.4  34.3   6   7      0.18   1.4e+02   -1.4   0.6   173   240  1202  1269  1190  1275 0.77 kinesin, putative [Plasmodium vivax]
SCO75695.1           -           1486 1563at5820           -            937     1e-41  141.4  34.3   7   7      0.95   7.5e+02   -3.7   5.2   756   828  1371  1443  1356  1472 0.71 kinesin, putative [Plasmodium vivax]
SCO74688.1           -           1687 1563at5820           -            937     2e-41  140.5  17.3   1   6       1.3     1e+03   -4.2   0.0    16    31    27    42    22    47 0.89 kinesin-7, putative [Plasmodium vivax]
SCO74688.1           -           1687 1563at5820           -            937     2e-41  140.5  17.3   2   6   7.8e-07   0.00061   16.4   0.3    55   112    94   151    69   154 0.90 kinesin-7, putative [Plasmodium vivax]
SCO74688.1           -           1687 1563at5820           -            937     2e-41  140.5  17.3   3   6   2.3e-43   1.8e-40  137.3  11.6   165   461   188   506   181   512 0.87 kinesin-7, putative [Plasmodium vivax]
SCO74688.1           -           1687 1563at5820           -            937     2e-41  140.5  17.3   4   6     0.026        20    1.4   1.9   668   718   857   899   849   910 0.67 kinesin-7, putative [Plasmodium vivax]
SCO74688.1           -           1687 1563at5820           -            937     2e-41  140.5  17.3   5   6         8   6.3e+03  -14.0  36.2   612   879  1103  1373   995  1428 0.57 kinesin-7, putative [Plasmodium vivax]
SCO74688.1           -           1687 1563at5820           -            937     2e-41  140.5  17.3   6   6         8   6.3e+03   -9.4   8.1   385   459  1549  1629  1545  1671 0.66 kinesin-7, putative [Plasmodium vivax]
SCO75690.1           -           1103 1563at5820           -            937     1e-37  128.2  26.0   1   3   4.4e-14   3.5e-11   40.4   1.7     8   112    35   145    29   147 0.75 kinesin-13, putative [Plasmodium vivax]
SCO75690.1           -           1103 1563at5820           -            937     1e-37  128.2  26.0   2   3   1.6e-32   1.3e-29  101.4   3.6   175   384   179   375   149   383 0.89 kinesin-13, putative [Plasmodium vivax]
SCO75690.1           -           1103 1563at5820           -            937     1e-37  128.2  26.0   3   3       0.4   3.2e+02   -2.5   5.3   514   566   936   989   888  1080 0.53 kinesin-13, putative [Plasmodium vivax]
SCO73074.1           -           2294 1563at5820           -            937   8.6e-35  118.5  17.0   1   2   2.7e-09   2.1e-06   24.6   0.6    15   123   261   367   250   374 0.79 kinesin-19, putative [Plasmodium vivax]
SCO73074.1           -           2294 1563at5820           -            937   8.6e-35  118.5  17.0   2   2   1.8e-31   1.4e-28   97.9  10.0   166   382   633   845   626   866 0.92 kinesin-19, putative [Plasmodium vivax]
SCO72243.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   1   7   2.1e-10   1.6e-07   28.2   8.7     5   112   153   268   150   280 0.70 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   2   7   6.4e-08     5e-05   20.0  14.7   166   266   293   411   270   421 0.68 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   3   7   3.8e-27     3e-24   83.6   9.4   279   459   502   680   487   684 0.83 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   4   7      0.38     3e+02   -2.4   4.0   509   577  1003  1073   991  1080 0.75 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   5   7         8   6.3e+03  -13.1  34.9   774   936  1398  1560  1390  1572 0.60 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   6   7       3.8   2.9e+03   -5.7   5.3   422   485  1695  1757  1689  1760 0.66 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   7   7      0.52   4.1e+02   -2.9   5.8   655   748  1860  1954  1856  2077 0.63 kinesin-4, putative [Plasmodium vivax]
