#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72250.1           -            188 12151at5820          -            140   1.2e-82  273.4   5.8   1   1   9.6e-82   5.5e-79  261.6   5.8     1   140     1   167     1   167 0.92 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO74840.1           -            708 12151at5820          -            140     3e-14   51.8   1.8   1   4   8.1e-09   4.6e-06   25.3   0.0    46    98   390   444   382   468 0.78 ankyrin, putative [Plasmodium vivax]
SCO74840.1           -            708 12151at5820          -            140     3e-14   51.8   1.8   2   4   1.3e-05    0.0074   14.9   0.1    39    99   450   514   445   535 0.84 ankyrin, putative [Plasmodium vivax]
SCO74840.1           -            708 12151at5820          -            140     3e-14   51.8   1.8   3   4   0.00052       0.3    9.8   0.0    51    96   498   544   498   568 0.87 ankyrin, putative [Plasmodium vivax]
SCO74840.1           -            708 12151at5820          -            140     3e-14   51.8   1.8   4   4    0.0014      0.79    8.4   0.1    45    96   591   644   547   659 0.83 ankyrin, putative [Plasmodium vivax]
SCO72475.1           -            611 12151at5820          -            140   2.6e-10   39.1   0.5   1   2    0.0025       1.4    7.5   0.1    96   113    82    99    38   123 0.73 palmitoyltransferase, putative [Plasmodium vivax]
SCO72475.1           -            611 12151at5820          -            140   2.6e-10   39.1   0.5   2   2     5e-10   2.9e-07   29.2   0.0    36    93   154   212   134   221 0.91 palmitoyltransferase, putative [Plasmodium vivax]
SCO71590.1           -           1866 12151at5820          -            140   4.4e-09   35.1   9.2   1   3   9.8e-09   5.6e-06   25.1   0.2    39    98  1046  1106  1016  1114 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71590.1           -           1866 12151at5820          -            140   4.4e-09   35.1   9.2   2   3    0.0016      0.91    8.2   0.1    43   102  1126  1186  1109  1191 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71590.1           -           1866 12151at5820          -            140   4.4e-09   35.1   9.2   3   3     0.004       2.3    6.9   0.0    38    92  1188  1243  1185  1252 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71707.1           -            482 12151at5820          -            140   4.8e-09   35.0   0.5   1   4       5.5   3.1e+03   -3.3   0.0    86    94    22    30     6    36 0.70 bromodomain protein 1, putative [Plasmodium vivax]
