#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71613.1           -            181 13164at5820          -            130   4.2e-74  245.5   3.0   1   1   1.5e-76   5.6e-74  245.1   3.0     8   130    57   181    53   181 0.97 RNA-binding protein, putative [Plasmodium vivax]
SCO75683.1           -           1282 13164at5820          -            130   1.2e-08   33.9   1.8   1   2   3.1e-11   1.2e-08   33.9   1.8    31   102   156   227   148   236 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75683.1           -           1282 13164at5820          -            130   1.2e-08   33.9   1.8   2   2       4.2   1.6e+03   -2.1   0.1    35    53   952   970   939  1017 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75424.1           -           1120 13164at5820          -            130   1.4e-07   30.4   4.9   1   5       2.6   9.4e+02   -1.4   1.4    23    68    35    87    28   125 0.56 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 13164at5820          -            130   1.4e-07   30.4   4.9   2   5      0.23        85    2.0   0.2     1    61   552   611   552   636 0.90 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 13164at5820          -            130   1.4e-07   30.4   4.9   3   5         4   1.5e+03   -2.0   0.0    35    54   721   741   704   782 0.55 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 13164at5820          -            130   1.4e-07   30.4   4.9   4   5     0.017       6.3    5.6   0.1    10    51   846   886   841   950 0.78 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 13164at5820          -            130   1.4e-07   30.4   4.9   5   5   3.7e-10   1.4e-07   30.4   4.9     5   111   957  1064   953  1072 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 13164at5820          -            130   1.7e-07   30.1   4.5   1   4     0.051        19    4.1   0.0    55    93    43    82    14    89 0.75 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 13164at5820          -            130   1.7e-07   30.1   4.5   2   4     0.044        16    4.3   0.1    66    94   142   170   116   182 0.78 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 13164at5820          -            130   1.7e-07   30.1   4.5   3   4   0.00017     0.064   12.1   0.3    24    95   190   258   172   263 0.81 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 13164at5820          -            130   1.7e-07   30.1   4.5   4   4    0.0033       1.2    7.9   0.1    21    94   443   515   428   524 0.78 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO73492.1           -            513 13164at5820          -            130   5.6e-06   25.2   0.1   1   3    0.0002     0.072   11.9   0.0    34    91    95   152    86   159 0.90 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 13164at5820          -            130   5.6e-06   25.2   0.1   2   3    0.0017      0.62    8.9   0.0    21    91   181   251   170   263 0.83 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 13164at5820          -            130   5.6e-06   25.2   0.1   3   3       1.1   3.9e+02   -0.2   0.0    67    92   412   437   389   466 0.81 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO75496.1           -            110 13164at5820          -            130   1.4e-05   23.9   0.1   1   1   4.5e-08   1.7e-05   23.7   0.1    29   105    16    90     4   104 0.86 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO71267.1           -            292 13164at5820          -            130   2.5e-05   23.1   0.0   1   2   4.2e-05     0.015   14.1   0.0    27    93     7    72     2    98 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO71267.1           -            292 13164at5820          -            130   2.5e-05   23.1   0.0   2   2    0.0064       2.4    7.0   0.0    34   100   162   227   156   239 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO73485.1           -            181 13164at5820          -            130   0.00033   19.5   0.6   1   1   1.4e-06   0.00053   18.8   0.3    33   100    56   123    43   149 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO71995.1           -            202 13164at5820          -            130   0.00042   19.1   0.0   1   2       4.5   1.7e+03   -2.2   0.0    33    51    18    36     5    47 0.69 RNA-binding protein, putative [Plasmodium vivax]
SCO71995.1           -            202 13164at5820          -            130   0.00042   19.1   0.0   2   2   2.7e-06     0.001   17.9   0.0    15   100    59   143    48   149 0.88 RNA-binding protein, putative [Plasmodium vivax]
SCO73790.1           -            754 13164at5820          -            130   0.00058   18.7   7.1   1   3    0.0018      0.68    8.7   0.2    19    57   200   239   184   272 0.63 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO73790.1           -            754 13164at5820          -            130   0.00058   18.7   7.1   2   3     0.013       4.8    6.0   0.2    58   111   438   491   400   501 0.84 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO73790.1           -            754 13164at5820          -            130   0.00058   18.7   7.1   3   3     0.011       4.2    6.2   0.1    37   100   685   747   649   752 0.81 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO74870.1           -            475 13164at5820          -            130   0.00061   18.6   1.3   1   2       2.3   8.4e+02   -1.2   0.1    30    90    23    83     6    89 0.63 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO74870.1           -            475 13164at5820          -            130   0.00061   18.6   1.3   2   2   2.9e-06    0.0011   17.8   0.2    38   101   118   180   107   191 0.80 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO71591.1           -           1539 13164at5820          -            130   0.00082   18.2   1.1   1   2   6.8e-05     0.025   13.4   0.6     5    93   312   395   309   416 0.83 RNA-binding protein, putative [Plasmodium vivax]
