#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72656.1           -           1053 5341at5820           -            799         0 1281.2  20.3   1   2  1.2e-221  7.6e-219  727.5   0.0     1   443     1   603     1   668 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72656.1           -           1053 5341at5820           -            799         0 1281.2  20.3   2   2    1e-168  6.5e-166  552.4  19.7   443   799   689  1053   667  1053 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75304.1           -            244 5341at5820           -            799     0.051   10.4  14.1   1   1   8.7e-05     0.055   10.3  14.1   424   539    50   156    11   217 0.45 calmodulin, putative [Plasmodium vivax]
SCO73407.1           -            250 5341at5820           -            799     0.098    9.4   9.1   1   1   0.00019      0.12    9.1   9.1   426   570    69   210    59   236 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75184.1           -            158 5341at5820           -            799       2.2    4.9   8.4   1   1    0.0034       2.1    5.0   8.4   431   546    90   150     7   158 0.41 RNA-binding protein, putative [Plasmodium vivax]
SCO72249.1           -            381 5341at5820           -            799       3.9    4.1  13.7   1   1    0.0076       4.8    3.8  13.7   439   579   123   270    21   280 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75168.1           -            162 5341at5820           -            799       4.1    4.1  12.7   1   1    0.0074       4.7    3.9  12.7   380   499    46   154    32   162 0.53 60S ribosomal protein L24, putative [Plasmodium vivax]
SCO75135.1           -            543 5341at5820           -            799       4.2    4.0  14.8   1   1      0.01       6.6    3.4  14.8   410   530    98   221    48   268 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74597.1           -            251 5341at5820           -            799       5.2    3.7   6.9   1   1    0.0087       5.5    3.6   6.9   422   545    24   129     8   205 0.51 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72528.1           -            585 5341at5820           -            799       7.3    3.2   9.4   1   1     0.016        10    2.8   9.4   472   570    79   182    44   199 0.51 CPW-WPC family protein, putative [Plasmodium vivax]
SCO75252.1           -            209 5341at5820           -            799       8.2    3.1  13.7   1   1     0.017        10    2.7  13.7   436   566    26   164     9   193 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5341at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5341at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5341at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:51:09 2026
# [ok]
