#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2   1  12   9.7e-77   6.1e-73  244.8  25.6     1   166     1   205     1   220 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2   2  12     0.051   3.2e+02   -2.5  17.3   125   226   271   376   259   416 0.58 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2   3  12   3.9e-17   2.5e-13   47.5  13.0   194   241   439   489   394   529 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2   4  12   3.4e-07    0.0021   14.6   4.6   215   274   538   599   516   611 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2   5  12   8.3e-13   5.2e-09   33.2  19.9   255   319   618   682   606   780 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2   6  12   1.2e-19   7.6e-16   55.8  19.6   234   379   826   988   796  1004 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2   7  12   2.3e-09   1.4e-05   21.8   2.8   380   415  1053  1088  1039  1092 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2   8  12     1e-18   6.5e-15   52.7  16.3   379   499  1089  1212  1085  1218 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2   9  12   8.2e-24   5.1e-20   69.6  12.3   447   528  1211  1298  1204  1345 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2  10  12   2.6e-90   1.7e-86  289.7  69.0   528   697  1357  1530  1330  1537 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2  11  12   4.4e-12   2.8e-08   30.8  24.4   678   763  1542  1643  1528  1649 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71734.1           -           1885 3211at5820           -            949         0 1129.8 424.2  12  12   8.6e-98   5.4e-94  314.5 132.1   729   949  1638  1883  1635  1883 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3211at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3211at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3211at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:37:58 2026
# [ok]
