#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7   1  12    2e-113  1.3e-109  366.0  29.4     1   205     1   205     1   209 0.99 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7   2  12   1.6e-33     1e-29  101.1   1.5   202   270   243   311   239   349 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7   3  12     1e-88   6.4e-85  284.1  24.1   268   447   425   621   416   625 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7   4  12   3.8e-28   2.4e-24   83.2   1.4   443   498   742   797   735   807 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7   5  12   2.4e-54   1.5e-50  170.1   1.0   502   600   867   965   859   975 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7   6  12   2.8e-59   1.8e-55  186.4   9.7   607   724  1113  1233  1103  1247 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7   7  12    2e-121  1.3e-117  392.5  28.2   713   922  1394  1605  1374  1611 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7   8  12   1.2e-19   7.5e-16   55.1   8.7   917   970  1712  1765  1708  1780 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7   9  12  1.9e-139  1.2e-135  452.3  33.2   970  1201  1820  2058  1816  2063 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7  10  12   3.9e-66   2.4e-62  209.2  12.0  1195  1313  2075  2193  2070  2202 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7  11  12  1.3e-111    8e-108  360.0  21.6  1333  1540  2323  2543  2317  2551 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74388.1           -           3073 249at5820            -           1994         0 3420.7 319.7  12  12    2e-252  1.3e-248  827.0  63.1  1536  1994  2580  3067  2577  3067 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/249at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/249at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/249at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:36 2026
# [ok]
