#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1   1  15  7.7e-305  4.8e-301 1000.5 137.2     1   559     5   612     5   617 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1   2  15   1.9e-89   1.2e-85  285.6  25.2   557   728   710   883   701   886 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1   3  15         0         0 1865.9 209.1   724  1721   912  1964   898  1969 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1   4  15  4.5e-161  2.9e-157  523.3 108.0  1719  2107  2038  2502  2033  2514 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1   5  15  7.1e-129  4.4e-125  416.4  76.0  2109  2467  2546  2967  2542  2977 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1   6  15   1.1e-22   6.6e-19   64.0   5.8  2448  2508  2996  3056  2984  3069 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1   7  15     2e-12   1.3e-08   29.9   0.0  2502  2545  3096  3139  3071  3144 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1   8  15   3.8e-10   2.4e-06   22.3   2.0  2546  2586  3177  3217  3173  3234 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1   9  15   1.7e-62   1.1e-58  196.1  48.3  2559  2748  3222  3418  3216  3457 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1  10  15   7.9e-55     5e-51  170.6  42.4  2734  2970  3463  3724  3453  3742 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1  11  15  3.4e-143  2.2e-139  463.9 101.0  2909  3307  3719  4154  3708  4165 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1  12  15    2e-131  1.3e-127  424.9  64.1  3300  3659  4219  4641  4213  4645 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1  13  15   1.6e-67     1e-63  212.8  23.5  3656  3785  4705  4834  4701  4840 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1  14  15   2.2e-68   1.4e-64  215.6  21.1  3785  3903  4868  4986  4860  4990 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75647.1           -           5472 71at5820             -           4311         0 6571.6 1029.1  15  15  9.8e-227  6.1e-223  741.2  73.3  3893  4311  5027  5472  5019  5472 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/71at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/71at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/71at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:57:30 2026
# [ok]
