#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72795.1           -            156 14831at5820          -            106   2.1e-37  126.0  12.2   1   2   1.2e-39   2.1e-37  126.0  12.2     1   101     1   112     1   119 0.78 RNA-binding protein s1, putative [Plasmodium vivax]
SCO72795.1           -            156 14831at5820          -            106   2.1e-37  126.0  12.2   2   2       6.8   1.2e+03   -1.8  13.9    77   106   117   155   103   155 0.66 RNA-binding protein s1, putative [Plasmodium vivax]
SCO75490.1           -            885 14831at5820          -            106   8.5e-16   56.6  18.4   1   4   0.00032     0.058   12.1   0.0     4    67    16    85    13   101 0.85 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14831at5820          -            106   8.5e-16   56.6  18.4   2   4   1.4e-06   0.00026   19.6   2.1     6    80   106   185   102   195 0.82 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14831at5820          -            106   8.5e-16   56.6  18.4   3   4   2.3e-08   4.1e-06   25.4   0.2     5    85   194   278   191   290 0.80 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14831at5820          -            106   8.5e-16   56.6  18.4   4   4    0.0021      0.39    9.4   0.0     5    80   450   530   447   547 0.82 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14831at5820          -            106   1.1e-11   43.4  13.3   1   3   1.5e-11   2.8e-09   35.6   2.4     3    88    17   103    15   120 0.79 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14831at5820          -            106   1.1e-11   43.4  13.3   2   3      0.43        78    2.0   0.3     5    73   119   193   115   208 0.66 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14831at5820          -            106   1.1e-11   43.4  13.3   3   3   0.00019     0.034   12.8   0.4     5    75   210   287   205   300 0.79 poly(A)-binding protein, putative [Plasmodium vivax]
SCO74870.1           -            475 14831at5820          -            106   3.1e-11   41.9   6.1   1   2   1.2e-06   0.00021   19.9   0.2     2    71    18    93    17   108 0.75 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO74870.1           -            475 14831at5820          -            106   3.1e-11   41.9   6.1   2   2   6.2e-08   1.1e-05   24.0   1.9     5    84   108   191   104   207 0.82 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO72051.1           -            287 14831at5820          -            106   1.2e-10   40.0  12.4   1   2   1.5e-09   2.7e-07   29.2   5.9     7    98    50   140    45   145 0.73 RNA-binding protein, putative [Plasmodium vivax]
SCO72051.1           -            287 14831at5820          -            106   1.2e-10   40.0  12.4   2   2   5.4e-05    0.0097   14.6   0.4     3    69   209   280   207   285 0.86 RNA-binding protein, putative [Plasmodium vivax]
SCO70922.1           -           1342 14831at5820          -            106     2e-07   29.6  14.0   1   2   7.8e-05     0.014   14.1   0.1     7    76   156   224   151   239 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO70922.1           -           1342 14831at5820          -            106     2e-07   29.6  14.0   2   2   4.3e-08   7.8e-06   24.5   0.3     3    76   895   972   893  1001 0.81 RNA-binding protein, putative [Plasmodium vivax]
SCO72209.1           -            250 14831at5820          -            106   2.8e-07   29.2   0.7   1   2    0.0066       1.2    7.8   0.1     6   100    23   123    19   130 0.77 RNA-binding protein, putative [Plasmodium vivax]
SCO72209.1           -            250 14831at5820          -            106   2.8e-07   29.2   0.7   2   2   1.4e-06   0.00024   19.7   0.1     4    75   172   248   168   250 0.81 RNA-binding protein, putative [Plasmodium vivax]
SCO73492.1           -            513 14831at5820          -            106   1.2e-06   27.1   0.2   1   3    0.0092       1.7    7.4   0.0     7    40    91   124    87   146 0.85 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 14831at5820          -            106   1.2e-06   27.1   0.2   2   3   0.00091      0.16   10.6   0.0     5    62   188   251   184   279 0.76 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 14831at5820          -            106   1.2e-06   27.1   0.2   3   3      0.06        11    4.8   0.1     6    84   374   456   371   478 0.63 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO75721.1           -            390 14831at5820          -            106   1.2e-06   27.1   0.7   1   1   1.8e-08   3.3e-06   25.7   0.4     4    71   224   292   221   298 0.90 RNA-binding protein, putative [Plasmodium vivax]
SCO75496.1           -            110 14831at5820          -            106   1.8e-06   26.5   0.2   1   1   1.3e-08   2.3e-06   26.2   0.2     5    83    15    96    12   110 0.78 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO72755.1           -           1054 14831at5820          -            106   2.4e-06   26.1   0.0   1   3   1.4e-08   2.4e-06   26.1   0.0     4    86     6    94     1   112 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO72755.1           -           1054 14831at5820          -            106   2.4e-06   26.1   0.0   2   3         7   1.3e+03   -1.9   2.3    80   104   651   675   631   680 0.47 RNA-binding protein, putative [Plasmodium vivax]
SCO72755.1           -           1054 14831at5820          -            106   2.4e-06   26.1   0.0   3   3       8.2   1.5e+03   -2.1   0.4    66    98   971  1003   956  1012 0.57 RNA-binding protein, putative [Plasmodium vivax]
SCO74967.1           -            503 14831at5820          -            106   2.6e-06   26.1  11.4   1   3   0.00079      0.14   10.8   0.0     6    39    84   117    81   150 0.86 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 14831at5820          -            106   2.6e-06   26.1  11.4   2   3    0.0017       0.3    9.8   1.6     3    83   179   267   177   302 0.77 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 14831at5820          -            106   2.6e-06   26.1  11.4   3   3    0.0015      0.26   10.0   0.4     6    82   396   478   392   499 0.70 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO75286.1           -            124 14831at5820          -            106   3.2e-06   25.8   2.6   1   1   2.4e-08   4.3e-06   25.4   2.6     4    81     8    91     4   114 0.81 RNA-binding protein, putative [Plasmodium vivax]
SCO74458.1           -            786 14831at5820          -            106   7.4e-06   24.6   0.3   1   1   1.1e-07     2e-05   23.2   0.3     6    89    31   120    27   126 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO75145.1           -            505 14831at5820          -            106   7.7e-06   24.5  14.7   1   3   5.8e-06     0.001   17.7   2.2     3    96   226   326   225   341 0.77 U1 small nuclear ribonucleoprotein A, putative [Plasmodium vivax]
SCO75145.1           -            505 14831at5820          -            106   7.7e-06   24.5  14.7   2   3       6.6   1.2e+03   -1.8   1.8    59    86   371   398   329   411 0.56 U1 small nuclear ribonucleoprotein A, putative [Plasmodium vivax]
SCO75145.1           -            505 14831at5820          -            106   7.7e-06   24.5  14.7   3   3   3.9e-05    0.0069   15.0   0.1     5    74   434   503   430   505 0.93 U1 small nuclear ribonucleoprotein A, putative [Plasmodium vivax]
SCO73790.1           -            754 14831at5820          -            106   2.7e-05   22.8   8.8   1   4      0.46        83    1.9   0.1    11    75   216   282   203   297 0.59 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO73790.1           -            754 14831at5820          -            106   2.7e-05   22.8   8.8   2   4    0.0053      0.96    8.2   0.2     7    96   413   506   408   514 0.73 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO73790.1           -            754 14831at5820          -            106   2.7e-05   22.8   8.8   3   4      0.15        26    3.5   0.0     6    75   559   630   555   658 0.75 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO73790.1           -            754 14831at5820          -            106   2.7e-05   22.8   8.8   4   4   0.00059      0.11   11.2   0.1     4    60   675   734   673   753 0.75 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO75004.1           -            119 14831at5820          -            106   2.7e-05   22.8   0.6   1   2       5.8     1e+03   -1.6   0.3    96   102     6    12     2    21 0.51 RNA-binding protein, putative [Plasmodium vivax]
SCO75004.1           -            119 14831at5820          -            106   2.7e-05   22.8   0.6   2   2   1.5e-07   2.7e-05   22.8   0.6     6    73    37   110    32   119 0.79 RNA-binding protein, putative [Plasmodium vivax]
SCO72111.1           -            192 14831at5820          -            106   3.1e-05   22.6   1.7   1   2   5.9e-05     0.011   14.4   1.5     3    83     9    96     8   117 0.76 U2 small nuclear ribonucleoprotein B'', putative [Plasmodium vivax]
SCO72111.1           -            192 14831at5820          -            106   3.1e-05   22.6   1.7   2   2     0.019       3.5    6.4   0.0     5    55   121   171   117   177 0.91 U2 small nuclear ribonucleoprotein B'', putative [Plasmodium vivax]
SCO72166.1           -            318 14831at5820          -            106   3.3e-05   22.5   0.2   1   1   1.9e-07   3.3e-05   22.5   0.2     4    82    86   169    82   185 0.81 RNA-binding protein, putative [Plasmodium vivax]
SCO72684.1           -            208 14831at5820          -            106   6.5e-05   21.5   2.1   1   2   3.6e-07   6.5e-05   21.5   2.1     5    82     9    91     6   105 0.84 alternative splicing factor ASF-1, putative [Plasmodium vivax]
SCO72684.1           -            208 14831at5820          -            106   6.5e-05   21.5   2.1   2   2       6.7   1.2e+03   -1.8   0.0    13    42   130   159   121   166 0.71 alternative splicing factor ASF-1, putative [Plasmodium vivax]
SCO73318.1           -            328 14831at5820          -            106   0.00011   20.8   0.0   1   3   6.2e-07   0.00011   20.8   0.0     5    78    13    92    10   104 0.80 serine/arginine-rich splicing factor 12, putative [Plasmodium vivax]
SCO73318.1           -            328 14831at5820          -            106   0.00011   20.8   0.0   2   3       4.3   7.7e+02   -1.2   1.5    72   101   116   146   103   153 0.69 serine/arginine-rich splicing factor 12, putative [Plasmodium vivax]
SCO73318.1           -            328 14831at5820          -            106   0.00011   20.8   0.0   3   3       6.8   1.2e+03   -1.8   2.9    71    91   204   222   194   243 0.60 serine/arginine-rich splicing factor 12, putative [Plasmodium vivax]
SCO75038.1           -            661 14831at5820          -            106   0.00018   20.1   0.5   1   2       9.2   1.6e+03   -2.3   0.8    73    86    83    98    79   119 0.55 U2 snRNP-associated SURP motif-containing protein, putative [Plasmodium vivax]
SCO75038.1           -            661 14831at5820          -            106   0.00018   20.1   0.5   2   2     1e-06   0.00018   20.1   0.5     5    76   167   247   164   278 0.79 U2 snRNP-associated SURP motif-containing protein, putative [Plasmodium vivax]
SCO73700.1           -            153 14831at5820          -            106   0.00034   19.3   2.3   1   1   1.9e-06   0.00034   19.3   2.3     6    80    63   142    57   151 0.76 RNA and export factor binding protein, putative [Plasmodium vivax]
SCO73794.1           -            614 14831at5820          -            106   0.00058   18.5   2.3   1   2     0.091        16    4.2   0.1     4    37     9    42     6    68 0.76 RNA-binding protein, putative [Plasmodium vivax]
SCO73794.1           -            614 14831at5820          -            106   0.00058   18.5   2.3   2   2   3.2e-06   0.00058   18.5   2.3     4   100   166   265   163   270 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 14831at5820          -            106    0.0011   17.6   0.4   1   6       4.7   8.4e+02   -1.3   1.2    45    83    48    85    33    95 0.63 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 14831at5820          -            106    0.0011   17.6   0.4   2   6       3.3   5.9e+02   -0.8   3.7    74   104   207   228   164   240 0.65 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 14831at5820          -            106    0.0011   17.6   0.4   3   6    0.0045      0.81    8.4   0.4    39    83   500   544   490   573 0.73 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 14831at5820          -            106    0.0011   17.6   0.4   4   6   6.2e-06    0.0011   17.6   0.4     3    55   712   764   710   774 0.93 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 14831at5820          -            106    0.0011   17.6   0.4   5   6     0.074        13    4.5   4.2     2    49   860   908   859   968 0.78 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 14831at5820          -            106    0.0011   17.6   0.4   6   6   0.00085      0.15   10.7   3.6     5    76   980  1056   976  1112 0.78 RNA-binding protein, putative [Plasmodium vivax]
SCO72481.1           -            510 14831at5820          -            106     0.004   15.8   5.1   1   2   0.00044     0.079   11.6   0.3    17    64    94   141    77   159 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72481.1           -            510 14831at5820          -            106     0.004   15.8   5.1   2   2     0.054       9.8    4.9   0.7    64   101   441   479   429   483 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74222.1           -            911 14831at5820          -            106    0.0075   14.9   0.1   1   3       9.7   1.7e+03   -2.3   0.9    76   103   205   232   191   237 0.51 splicing factor U2AF large subunit, putative [Plasmodium vivax]
SCO74222.1           -            911 14831at5820          -            106    0.0075   14.9   0.1   2   3   4.2e-05    0.0075   14.9   0.1     3    74   673   750   671   769 0.74 splicing factor U2AF large subunit, putative [Plasmodium vivax]
SCO74222.1           -            911 14831at5820          -            106    0.0075   14.9   0.1   3   3       3.4   6.1e+02   -0.9   0.0    31    78   855   902   852   909 0.75 splicing factor U2AF large subunit, putative [Plasmodium vivax]
SCO71267.1           -            292 14831at5820          -            106    0.0094   14.6   0.0   1   2      0.13        23    3.7   0.0     3    58     6    66     4    74 0.74 RNA-binding protein, putative [Plasmodium vivax]
SCO71267.1           -            292 14831at5820          -            106    0.0094   14.6   0.0   2   2    0.0065       1.2    7.9   0.0     7    77   158   233   154   244 0.74 RNA-binding protein, putative [Plasmodium vivax]
SCO71964.1           -            475 14831at5820          -            106     0.011   14.4  14.2   1   3    0.0012      0.21   10.3   0.3     2    52    93   148    92   166 0.84 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO71964.1           -            475 14831at5820          -            106     0.011   14.4  14.2   2   3       4.5     8e+02   -1.3   0.7    81    99   277   296   240   302 0.59 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO71964.1           -            475 14831at5820          -            106     0.011   14.4  14.2   3   3   0.00047     0.085   11.5   2.1     3    71   302   378   299   395 0.72 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO74171.1           -           1033 14831at5820          -            106     0.024   13.3   0.0   1   4        10   1.8e+03   -2.4   1.4    71   105    90   124    85   125 0.85 splicing factor 1, putative [Plasmodium vivax]
SCO74171.1           -           1033 14831at5820          -            106     0.024   13.3   0.0   2   4       4.1   7.3e+02   -1.1   0.0     5    40   643   679   640   727 0.78 splicing factor 1, putative [Plasmodium vivax]
SCO74171.1           -           1033 14831at5820          -            106     0.024   13.3   0.0   3   4   0.00013     0.024   13.3   0.0    14   101   754   847   744   852 0.80 splicing factor 1, putative [Plasmodium vivax]
SCO74171.1           -           1033 14831at5820          -            106     0.024   13.3   0.0   4   4     0.011         2    7.1   0.0    40    75   963   997   957  1019 0.86 splicing factor 1, putative [Plasmodium vivax]
SCO75608.1           -            499 14831at5820          -            106     0.029   13.0   6.6   1   3     0.069        12    4.6   0.2     5    40    17    53    13    70 0.82 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO75608.1           -            499 14831at5820          -            106     0.029   13.0   6.6   2   3       5.3   9.5e+02   -1.5   0.1     2    16   375   389   374   403 0.84 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO75608.1           -            499 14831at5820          -            106     0.029   13.0   6.6   3   3    0.0006      0.11   11.2   0.1    20    76   432   493   414   499 0.73 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO73179.1           -            316 14831at5820          -            106     0.055   12.1   0.0   1   1   0.00031     0.055   12.1   0.0     5    73     9    80     3   108 0.80 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO73824.1           -            475 14831at5820          -            106      0.26   10.0  11.4   1   2   9.6e-05     0.017   13.8   2.7     4    97   161   252   158   260 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73824.1           -            475 14831at5820          -            106      0.26   10.0  11.4   2   2      0.64   1.1e+02    1.5   0.3    25    66   431   471   410   475 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
