#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71789.1           -           1331 3630at5820           -            756  8.1e-268  889.5 247.1   1   9         1   6.3e+03   -9.5   6.7    59    72     8    21     2    24 0.40 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71789.1           -           1331 3630at5820           -            756  8.1e-268  889.5 247.1   2   9     1e-14   6.6e-11   40.0  22.1     1    51    26    77    26    89 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71789.1           -           1331 3630at5820           -            756  8.1e-268  889.5 247.1   3   9  2.9e-125  1.8e-121  405.6 121.0    42   400    93   509    77   524 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71789.1           -           1331 3630at5820           -            756  8.1e-268  889.5 247.1   4   9         1   6.3e+03  -10.6  19.8   360   432   546   622   527   626 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71789.1           -           1331 3630at5820           -            756  8.1e-268  889.5 247.1   5   9         1   6.3e+03   -7.4  26.7   291   432   659   802   647   810 0.57 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71789.1           -           1331 3630at5820           -            756  8.1e-268  889.5 247.1   6   9   2.6e-08   0.00016   18.9  13.8   404   460   810   864   795   899 0.69 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71789.1           -           1331 3630at5820           -            756  8.1e-268  889.5 247.1   7   9      0.42   2.6e+03   -5.0  10.1    17   104   913  1008   896  1018 0.69 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71789.1           -           1331 3630at5820           -            756  8.1e-268  889.5 247.1   8   9   3.1e-16     2e-12   45.1   8.4   481   527  1017  1064  1003  1069 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71789.1           -           1331 3630at5820           -            756  8.1e-268  889.5 247.1   9   9  2.9e-136  1.8e-132  441.9  49.7   512   756  1074  1331  1067  1331 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3630at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3630at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3630at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:44 2026
# [ok]
