#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70428.1           -            234 11249at5820          -            199    5e-118  390.4  12.4   1   2     1e-81     9e-79  262.2   6.9     1   128     7   134     7   146 0.98 EKC/KEOPS complex subunit BUD32, putative [Plasmodium vivax]
SCO70428.1           -            234 11249at5820          -            199    5e-118  390.4  12.4   2   2   9.9e-42   8.9e-39  131.7   0.3   126   199   156   234   149   234 0.95 EKC/KEOPS complex subunit BUD32, putative [Plasmodium vivax]
SCO71453.1           -            649 11249at5820          -            199   1.2e-05   23.6   2.5   1   2   1.3e-08   1.2e-05   23.6   2.5    19   136   133   245   119   259 0.81 serine/threonine protein kinase RIO2, putative [Plasmodium vivax]
SCO71453.1           -            649 11249at5820          -            199   1.2e-05   23.6   2.5   2   2         7   6.3e+03   -8.9   7.2    25    51   617   644   603   648 0.49 serine/threonine protein kinase RIO2, putative [Plasmodium vivax]
SCO71073.1           -           1029 11249at5820          -            199   0.00056   18.1   0.8   1   2       3.1   2.8e+03   -3.8   0.1     8    23   119   134   117   137 0.87 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO71073.1           -           1029 11249at5820          -            199   0.00056   18.1   0.8   2   2   6.2e-07   0.00056   18.1   0.8    69   139   837   912   766   918 0.67 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO74767.1           -            722 11249at5820          -            199    0.0017   16.5   1.3   1   1   3.7e-06    0.0033   15.6   1.3    41   142    63   170     9   186 0.71 mitogen-activated protein kinase 1, putative [Plasmodium vivax]
SCO74371.1           -            861 11249at5820          -            199    0.0022   16.2   6.8   1   1   6.3e-06    0.0057   14.8   6.8    25   140   509   629   492   634 0.83 serine/threonine protein kinase KIN, putative [Plasmodium vivax]
SCO72419.1           -           1600 11249at5820          -            199     0.008   14.3   1.3   1   1   1.5e-05     0.014   13.5   1.3    40   127  1375  1467  1342  1481 0.78 aurora-related kinase 2, putative [Plasmodium vivax]
SCO72017.1           -           3241 11249at5820          -            199      0.13   10.4   3.1   1   2    0.0012       1.1    7.3   0.2    18    72  2809  2859  2799  2869 0.80 protein kinase, putative [Plasmodium vivax]
SCO72017.1           -           3241 11249at5820          -            199      0.13   10.4   3.1   2   2     0.025        23    3.0   0.3    98   138  3058  3100  3020  3108 0.74 protein kinase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11249at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11249at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11249at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:32:25 2026
# [ok]
