#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0   1  12   1.1e-29   6.7e-26   89.1   9.0     1    79    34   121    34   129 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0   2  12   2.2e-46   1.4e-42  144.3   7.6    81   191   184   298   166   304 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0   3  12   6.8e-31   4.3e-27   93.1   1.4   182   263   378   461   374   466 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0   4  12   3.3e-13     2e-09   34.6   0.0   260   293   493   526   480   529 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0   5  12       0.7   4.4e+03   -6.3   3.0   293   309   595   611   595   613 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0   6  12   2.4e-23   1.5e-19   68.1   3.9   307   383   642   736   636   742 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0   7  12   1.3e-78   8.2e-75  251.0   4.9   378   511   834   968   826   981 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0   8  12     8e-43     5e-39  132.5   2.8   510   590   996  1078   993  1082 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0   9  12   1.8e-65   1.1e-61  207.5  13.4   594   725  1113  1252  1105  1256 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0  10  12   1.5e-36   9.2e-33  111.8   1.7   724   792  1298  1366  1294  1385 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0  11  12   5.2e-19   3.3e-15   53.7   3.6   787   869  1633  1733  1626  1757 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72716.1           -           2150 1047at5820           -            938         0 1239.1 132.0  12  12     3e-38   1.9e-34  117.4   1.4   843   938  2053  2148  2044  2148 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1047at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1047at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1047at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:29:20 2026
# [ok]
