#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72461.1           -           1092 2773at5820           -            672  1.7e-225  749.3  52.1   1   9   2.6e-28   1.6e-24   85.2   0.0     2    74    17    93    16    99 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72461.1           -           1092 2773at5820           -            672  1.7e-225  749.3  52.1   2   9     2e-20   1.3e-16   59.1   0.1    73   126   115   181   107   184 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72461.1           -           1092 2773at5820           -            672  1.7e-225  749.3  52.1   3   9   6.2e-19   3.9e-15   54.2   0.1   126   189   219   294   213   304 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72461.1           -           1092 2773at5820           -            672  1.7e-225  749.3  52.1   4   9   9.7e-41   6.1e-37  126.2   2.8   196   286   385   476   374   485 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72461.1           -           1092 2773at5820           -            672  1.7e-225  749.3  52.1   5   9   6.5e-47   4.1e-43  146.6   6.0   277   392   509   636   503   642 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72461.1           -           1092 2773at5820           -            672  1.7e-225  749.3  52.1   6   9   1.4e-43   8.8e-40  135.6   1.3   393   492   663   771   657   777 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72461.1           -           1092 2773at5820           -            672  1.7e-225  749.3  52.1   7   9   3.7e-14   2.3e-10   38.4   1.7   490   538   798   846   795   851 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72461.1           -           1092 2773at5820           -            672  1.7e-225  749.3  52.1   8   9   3.7e-13   2.3e-09   35.1   0.1   531   591   870   948   849   956 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72461.1           -           1092 2773at5820           -            672  1.7e-225  749.3  52.1   9   9   3.4e-31   2.1e-27   94.7   0.0   588   672   986  1080   981  1080 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2773at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2773at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2773at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:44:24 2026
# [ok]
