#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70477.1           -           1250 4306at5820           -            703  1.9e-276  917.3  59.1   1  10   2.4e-33   4.2e-31  106.4   0.1     2    89     7    95     6   100 0.94 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 4306at5820           -            703  1.9e-276  917.3  59.1   2  10   1.7e-10     3e-08   30.9   0.1    90   119   133   162   130   165 0.93 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 4306at5820           -            703  1.9e-276  917.3  59.1   3  10   7.5e-53   1.3e-50  170.9   0.0   115   245   213   359   204   366 0.87 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 4306at5820           -            703  1.9e-276  917.3  59.1   4  10     3e-13   5.2e-11   40.0   1.2   238   287   455   511   436   515 0.87 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 4306at5820           -            703  1.9e-276  917.3  59.1   5  10  4.7e-114  8.2e-112  373.2  10.4   288   467   559   738   556   743 0.98 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 4306at5820           -            703  1.9e-276  917.3  59.1   6  10    0.0052      0.92    6.1   0.0   466   487   821   842   816   881 0.85 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 4306at5820           -            703  1.9e-276  917.3  59.1   7  10   6.6e-20   1.2e-17   62.0   2.5   487   545   893   953   886   960 0.93 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 4306at5820           -            703  1.9e-276  917.3  59.1   8  10   3.1e-18   5.4e-16   56.5   6.8   545   583   981  1019   975  1025 0.92 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 4306at5820           -            703  1.9e-276  917.3  59.1   9  10    0.0083       1.5    5.5   0.1   581   619  1050  1088  1045  1103 0.76 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 4306at5820           -            703  1.9e-276  917.3  59.1  10  10   7.6e-28   1.3e-25   88.2   0.0   606   702  1128  1230  1120  1231 0.88 RNA helicase, putative [Plasmodium vivax]
SCO71470.1           -            388 4306at5820           -            703   5.5e-44  149.0   4.0   1   2     6e-26     1e-23   82.0   0.2    14   225     8   206     2   224 0.85 eukaryotic initiation factor 4A-III, putative [Plasmodium vivax]
SCO71470.1           -            388 4306at5820           -            703   5.5e-44  149.0   4.0   2   2   8.2e-22   1.4e-19   68.3   0.4   314   442   237   365   218   378 0.89 eukaryotic initiation factor 4A-III, putative [Plasmodium vivax]
SCO74223.1           -            398 4306at5820           -            703     4e-41  139.5   1.0   1   2   3.5e-24   6.2e-22   76.1   0.0    15   223    17   212     5   238 0.87 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO74223.1           -            398 4306at5820           -            703     4e-41  139.5   1.0   2   2   7.3e-20   1.3e-17   61.9   0.2   316   436   247   367   240   373 0.81 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO71091.1           -            473 4306at5820           -            703   1.8e-39  134.1   1.3   1   3   1.6e-05    0.0028   14.5   0.0    23    82    61   120    52   127 0.89 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO71091.1           -            473 4306at5820           -            703   1.8e-39  134.1   1.3   2   3   1.5e-11   2.5e-09   34.4   0.6    92   224   159   285   154   324 0.72 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO71091.1           -            473 4306at5820           -            703   1.8e-39  134.1   1.3   3   3   3.7e-26   6.5e-24   82.6   0.1   316   435   319   438   311   457 0.94 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO72338.1           -            382 4306at5820           -            703   3.3e-38  129.9   5.6   1   2   5.4e-16   9.3e-14   49.1   0.1    95   226    80   200    71   231 0.82 ATP-dependent RNA helicase DDX6, putative [Plasmodium vivax]
SCO72338.1           -            382 4306at5820           -            703   3.3e-38  129.9   5.6   2   2     5e-26   8.8e-24   82.2   2.0   317   450   232   365   227   371 0.92 ATP-dependent RNA helicase DDX6, putative [Plasmodium vivax]
SCO71006.1           -            533 4306at5820           -            703   7.1e-38  128.8  12.0   1   2   2.6e-29   4.5e-27   93.1   0.8    13   255   118   346   112   350 0.80 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO71006.1           -            533 4306at5820           -            703   7.1e-38  128.8  12.0   2   2   6.7e-13   1.2e-10   38.8   7.2   314   439   348   472   311   498 0.84 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO74462.1           -            791 4306at5820           -            703   1.3e-37  128.0  19.3   1   2   1.8e-25   3.1e-23   80.4   6.7    26   218   245   442   220   475 0.79 ATP-dependent RNA helicase MAK5, putative [Plasmodium vivax]
SCO74462.1           -            791 4306at5820           -            703   1.3e-37  128.0  19.3   2   2   2.7e-17   4.6e-15   53.4   4.6   335   439   572   679   539   747 0.69 ATP-dependent RNA helicase MAK5, putative [Plasmodium vivax]
SCO74062.1           -            489 4306at5820           -            703     7e-37  125.5   0.3   1   2   1.6e-21   2.9e-19   67.3   0.0    22   201    59   229    53   232 0.88 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO74062.1           -            489 4306at5820           -            703     7e-37  125.5   0.3   2   2   4.2e-18   7.3e-16   56.0   0.3   332   441   317   427   292   440 0.86 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO75518.1           -            717 4306at5820           -            703   6.2e-36  122.4   6.9   1   3   0.00043     0.075    9.7   0.0    17    85   274   341   257   345 0.84 DNA helicase 60, putative [Plasmodium vivax]
SCO75518.1           -            717 4306at5820           -            703   6.2e-36  122.4   6.9   2   3   7.3e-21   1.3e-18   65.2   0.7    93   226   402   525   397   577 0.75 DNA helicase 60, putative [Plasmodium vivax]
SCO75518.1           -            717 4306at5820           -            703   6.2e-36  122.4   6.9   3   3   9.5e-16   1.7e-13   48.3   2.6   328   438   571   681   532   686 0.85 DNA helicase 60, putative [Plasmodium vivax]
SCO71685.1           -           1015 4306at5820           -            703   1.2e-34  118.1   0.4   1   2   3.6e-19   6.2e-17   59.6   0.4    46   248   650   857   635   873 0.80 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO71685.1           -           1015 4306at5820           -            703   1.2e-34  118.1   0.4   2   2   3.5e-18   6.1e-16   56.3   0.0   350   439   900   989   873  1001 0.91 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO73166.1           -           1009 4306at5820           -            703   7.4e-32  108.9   0.0   1   2   1.7e-15     3e-13   47.4   0.0    22   207   585   766   582   781 0.81 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO73166.1           -           1009 4306at5820           -            703   7.4e-32  108.9   0.0   2   2   5.1e-19   8.9e-17   59.1   0.0   335   444   857   966   834   977 0.86 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO74455.1           -            528 4306at5820           -            703   1.1e-31  108.4   0.0   1   2   2.6e-19   4.6e-17   60.0   0.0    22   220   114   304   106   364 0.81 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO74455.1           -            528 4306at5820           -            703   1.1e-31  108.4   0.0   2   2   2.7e-15   4.7e-13   46.8   0.0   325   432   356   461   315   471 0.85 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO71230.1           -           1187 4306at5820           -            703   3.8e-31  106.6  15.5   1   3   6.1e-25   1.1e-22   78.6   5.3    22   245   167   382   148   394 0.85 ATP-dependent RNA helicase DBP10, putative [Plasmodium vivax]
SCO71230.1           -           1187 4306at5820           -            703   3.8e-31  106.6  15.5   2   3     2e-11   3.5e-09   34.0   1.1   326   444   407   528   392   541 0.81 ATP-dependent RNA helicase DBP10, putative [Plasmodium vivax]
SCO71230.1           -           1187 4306at5820           -            703   3.8e-31  106.6  15.5   3   3       2.9   5.1e+02   -2.9   0.0   167   193   960   986   955   989 0.87 ATP-dependent RNA helicase DBP10, putative [Plasmodium vivax]
SCO72330.1           -            761 4306at5820           -            703   4.6e-31  106.3  24.4   1   3   7.4e-05     0.013   12.3   0.2    28    82   261   315   252   324 0.90 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO72330.1           -            761 4306at5820           -            703   4.6e-31  106.3  24.4   2   3   4.3e-15   7.6e-13   46.1   4.8    94   251   379   520   372   534 0.80 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO72330.1           -            761 4306at5820           -            703   4.6e-31  106.3  24.4   3   3   2.2e-18   3.8e-16   57.0   5.7   333   447   547   667   544   700 0.81 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO74881.1           -            877 4306at5820           -            703   6.2e-31  105.9  29.0   1   2   1.6e-23   2.8e-21   74.0  12.9    14   254   127   361   115   399 0.79 ATP-dependent RNA helicase DBP4, putative [Plasmodium vivax]
SCO74881.1           -            877 4306at5820           -            703   6.2e-31  105.9  29.0   2   2   4.1e-12   7.2e-10   36.2   8.1   362   488   415   540   398   572 0.64 ATP-dependent RNA helicase DBP4, putative [Plasmodium vivax]
SCO73552.1           -            599 4306at5820           -            703   2.1e-30  104.1  15.2   1   2   2.6e-21   4.5e-19   66.7   2.5    15   226   140   342   134   373 0.77 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
