#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72320.1           -           1400 2733at5820           -            722         0 1063.8 180.9   1  11         2   6.3e+03   -7.5   4.6    29    50    16    37     8    44 0.57 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72320.1           -           1400 2733at5820           -            722         0 1063.8 180.9   2  11   7.7e-09   2.4e-05   21.3   6.1     1    27    46    72    46    87 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72320.1           -           1400 2733at5820           -            722         0 1063.8 180.9   3  11         2   6.3e+03  -18.9  29.0    22    48   115   141   107   144 0.52 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72320.1           -           1400 2733at5820           -            722         0 1063.8 180.9   4  11   2.8e-10   8.7e-07   26.1  34.1    24    72   135   188   133   201 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72320.1           -           1400 2733at5820           -            722         0 1063.8 180.9   5  11   4.2e-07    0.0013   15.6   1.5    70    97   215   242   208   250 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72320.1           -           1400 2733at5820           -            722         0 1063.8 180.9   6  11   2.2e-72   6.9e-69  231.4  15.3   101   228   320   447   308   453 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72320.1           -           1400 2733at5820           -            722         0 1063.8 180.9   7  11   7.1e-90   2.2e-86  289.2  12.7   225   374   496   645   491   650 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72320.1           -           1400 2733at5820           -            722         0 1063.8 180.9   8  11   1.4e-11   4.5e-08   30.4   0.1   372   404   711   743   698   751 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72320.1           -           1400 2733at5820           -            722         0 1063.8 180.9   9  11   1.7e-09   5.3e-06   23.5   0.2   402   431   808   837   802   843 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72320.1           -           1400 2733at5820           -            722         0 1063.8 180.9  10  11   1.1e-42   3.4e-39  133.2   0.9   425   526   898  1013   892  1033 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72320.1           -           1400 2733at5820           -            722         0 1063.8 180.9  11  11  2.8e-112  8.7e-109  363.3  20.0   540   721  1171  1352  1160  1353 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71289.1           -            519 2733at5820           -            722   2.5e-18   64.3  47.7   1   3   1.3e-12   4.2e-09   33.8   7.5    89   207    45   164    14   171 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71289.1           -            519 2733at5820           -            722   2.5e-18   64.3  47.7   2   3   1.5e-15   4.7e-12   43.5  14.7   233   369   169   304   161   312 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71289.1           -            519 2733at5820           -            722   2.5e-18   64.3  47.7   3   3     0.048   1.5e+02   -1.1  10.5   539   674   326   468   313   506 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2733at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2733at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2733at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:43:36 2026
# [ok]
