#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75697.1           -            309 10037at5820          -            262  2.6e-129  428.7  29.9   1   2   4.6e-14   3.6e-11   41.5   0.1     1    34     1    34     1    37 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75697.1           -            309 10037at5820          -            262  2.6e-129  428.7  29.9   2   2  4.9e-120  3.9e-117  388.8  26.2    32   255    53   288    42   305 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72250.1           -            188 10037at5820          -            262   4.9e-09   34.5   4.0   1   1   7.1e-12   5.5e-09   34.3   4.0    30   135    59   162    18   172 0.76 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO72910.1           -            584 10037at5820          -            262   1.3e-05   23.2   6.2   1   2   1.7e-08   1.3e-05   23.2   6.2    20    99    39   115    25   179 0.77 methyltransferase, putative [Plasmodium vivax]
SCO72910.1           -            584 10037at5820          -            262   1.3e-05   23.2   6.2   2   2      0.48   3.7e+02   -1.2   0.0   210   240   217   247   203   262 0.52 methyltransferase, putative [Plasmodium vivax]
SCO73591.1           -           1853 10037at5820          -            262   2.1e-05   22.6  10.3   1   5         8   6.3e+03  -10.9  13.8    61   172   133   246   123   261 0.56 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO73591.1           -           1853 10037at5820          -            262   2.1e-05   22.6  10.3   2   5       0.2   1.6e+02    0.1   0.5    87   128  1135  1180  1122  1214 0.74 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO73591.1           -           1853 10037at5820          -            262   2.1e-05   22.6  10.3   3   5    0.0035       2.8    5.8   5.8    50   181  1462  1599  1452  1616 0.78 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO73591.1           -           1853 10037at5820          -            262   2.1e-05   22.6  10.3   4   5   2.7e-08   2.1e-05   22.6  10.3    34   127  1617  1711  1601  1717 0.79 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO73591.1           -           1853 10037at5820          -            262   2.1e-05   22.6  10.3   5   5   3.4e-06    0.0027   15.7   1.9    78   166  1695  1789  1693  1803 0.68 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO74840.1           -            708 10037at5820          -            262   7.2e-05   20.8   0.1   1   1   1.6e-07   0.00013   20.0   0.1    48   141   420   515   386   605 0.76 ankyrin, putative [Plasmodium vivax]
SCO75216.1           -            400 10037at5820          -            262   0.00019   19.4  18.0   1   2   0.00032      0.25    9.2   2.3    71   141    28   101     5   108 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75216.1           -            400 10037at5820          -            262   0.00019   19.4  18.0   2   2   3.7e-06    0.0029   15.6   8.7    45   171   103   231    98   256 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71707.1           -            482 10037at5820          -            262    0.0032   15.4   5.3   1   4     0.033        26    2.6   0.8    83   132    11    63     3    69 0.61 bromodomain protein 1, putative [Plasmodium vivax]
SCO71707.1           -            482 10037at5820          -            262    0.0032   15.4   5.3   2   4   6.9e-05     0.054   11.4   0.0    60   134    72   148    67   162 0.86 bromodomain protein 1, putative [Plasmodium vivax]
SCO71707.1           -            482 10037at5820          -            262    0.0032   15.4   5.3   3   4     0.044        34    2.2   0.0    40    69   153   182   134   214 0.58 bromodomain protein 1, putative [Plasmodium vivax]
SCO71707.1           -            482 10037at5820          -            262    0.0032   15.4   5.3   4   4       0.7   5.5e+02   -1.7   0.2    58    73   384   399   328   446 0.60 bromodomain protein 1, putative [Plasmodium vivax]
SCO71590.1           -           1866 10037at5820          -            262     0.013   13.4   0.2   1   3   1.7e-05     0.013   13.4   0.2    91   179  1026  1113  1013  1115 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71590.1           -           1866 10037at5820          -            262     0.013   13.4   0.2   2   3    0.0017       1.4    6.8   2.2    42   127  1152  1238  1125  1251 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71590.1           -           1866 10037at5820          -            262     0.013   13.4   0.2   3   3       2.9   2.2e+03   -3.7   1.6    64   106  1359  1407  1310  1424 0.48 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10037at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10037at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10037at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:27:28 2026
# [ok]
