#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71998.1           -            975 3545at5820           -            654         0 1075.9  56.1   1   5   3.7e-15   7.7e-12   42.7   0.0     1    64    47   116    47   121 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71998.1           -            975 3545at5820           -            654         0 1075.9  56.1   2   5   4.1e-90   8.6e-87  290.3  16.9    64   273   138   370   129   375 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71998.1           -            975 3545at5820           -            654         0 1075.9  56.1   3   5  2.3e-102   4.8e-99  330.8  10.7   273   444   478   650   471   661 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71998.1           -            975 3545at5820           -            654         0 1075.9  56.1   4   5  9.4e-120    2e-116  388.3   1.7   435   621   696   882   691   888 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71998.1           -            975 3545at5820           -            654         0 1075.9  56.1   5   5   6.5e-15   1.4e-11   41.9   1.7   622   653   943   974   916   975 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 3545at5820           -            654   3.2e-11   40.6   3.9   1   3    0.0073        15    2.1   0.0   370   439   173   248   157   284 0.60 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 3545at5820           -            654   3.2e-11   40.6   3.9   2   3   1.6e-06    0.0034   14.1   0.3   365   418   286   339   268   351 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 3545at5820           -            654   3.2e-11   40.6   3.9   3   3   1.6e-09   3.4e-06   24.0   0.1   321   430   353   463   341   482 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 3545at5820           -            654   1.8e-05   21.6   6.7   1   4   8.6e-09   1.8e-05   21.6   6.7   276   434    62   226    45   231 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 3545at5820           -            654   1.8e-05   21.6   6.7   2   4   0.00036      0.75    6.4   4.8   321   427   216   335   214   356 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 3545at5820           -            654   1.8e-05   21.6   6.7   3   4    0.0043       9.1    2.8   3.3   345   424   370   449   353   457 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 3545at5820           -            654   1.8e-05   21.6   6.7   4   4     0.015        31    1.0   0.5   353   405   452   504   447   518 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3545at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3545at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3545at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:27 2026
# [ok]
