#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73801.1           -            158 14134at5820          -            148   1.8e-77  256.7  18.3   1   1     3e-80   2.1e-77  256.5  18.3     1   148    10   158    10   158 0.99 calcium-binding protein, putative [Plasmodium vivax]
SCO74449.1           -            168 14134at5820          -            148   3.5e-10   38.4   1.9   1   2     0.008       5.6    5.3   0.0    84   114    27    57    21    76 0.75 centrin-2, putative [Plasmodium vivax]
SCO74449.1           -            168 14134at5820          -            148   3.5e-10   38.4   1.9   2   2   6.6e-11   4.6e-08   31.5   1.8    62   142    78   159    58   164 0.89 centrin-2, putative [Plasmodium vivax]
SCO72548.1           -            167 14134at5820          -            148   1.5e-08   33.1  13.8   1   2     2e-08   1.4e-05   23.5   5.9    84   142    17    76     4    83 0.86 centrin-4, putative [Plasmodium vivax]
SCO72548.1           -            167 14134at5820          -            148   1.5e-08   33.1  13.8   2   2   8.9e-06    0.0062   14.9   1.0    81   144    87   151    78   155 0.86 centrin-4, putative [Plasmodium vivax]
SCO70623.1           -            168 14134at5820          -            148     2e-08   32.7   9.0   1   2   0.00039      0.27    9.5   0.2    82   129    25    73     9    78 0.73 centrin-1, putative [Plasmodium vivax]
SCO70623.1           -            168 14134at5820          -            148     2e-08   32.7   9.0   2   2   7.1e-09   4.9e-06   24.9   6.1    62   142    78   159    61   165 0.84 centrin-1, putative [Plasmodium vivax]
SCO74740.1           -            149 14134at5820          -            148   2.3e-06   26.0   1.2   1   1   1.1e-08   7.9e-06   24.3   1.2    12   143     8   144     3   148 0.82 calmodulin, putative [Plasmodium vivax]
SCO71647.1           -            179 14134at5820          -            148   6.7e-06   24.5   9.1   1   2   1.1e-05    0.0078   14.6   2.1    82   143    36    98    29   102 0.87 centrin-3, putative [Plasmodium vivax]
SCO71647.1           -            179 14134at5820          -            148   6.7e-06   24.5   9.1   2   2   1.8e-06    0.0013   17.1   4.0    58   141    85   169    70   176 0.81 centrin-3, putative [Plasmodium vivax]
SCO74013.1           -            563 14134at5820          -            148   0.00013   20.3  16.0   1   2   1.4e-05    0.0096   14.3   7.2    37   144   375   484   337   488 0.80 calcium-dependent protein kinase 5, putative [Plasmodium vivax]
SCO74013.1           -            563 14134at5820          -            148   0.00013   20.3  16.0   2   2   0.00018      0.13   10.6   1.5    48   108   495   557   485   562 0.81 calcium-dependent protein kinase 5, putative [Plasmodium vivax]
SCO75703.1           -            209 14134at5820          -            148    0.0023   16.3   0.7   1   1   4.7e-06    0.0033   15.8   0.7    55   120   118   183    72   208 0.76 myosin A tail domain interacting protein, putative [Plasmodium vivax]
SCO71678.1           -            236 14134at5820          -            148      0.29    9.5  14.3   1   2    0.0021       1.5    7.2   0.1   121   143    13    35     2    51 0.80 calmodulin, putative [Plasmodium vivax]
SCO71678.1           -            236 14134at5820          -            148      0.29    9.5  14.3   2   2     0.034        23    3.3  10.7    63   142   149   229    94   235 0.81 calmodulin, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14134at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14134at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14134at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:34:31 2026
# [ok]
