#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72379.1           -            253 10762at5820          -            224    9e-140  462.2  10.9   1   1  1.8e-142    1e-139  462.0  10.9     1   224     1   230     1   230 0.98 proteasome subunit alpha type-3, putative [Plasmodium vivax]
SCO73770.1           -            235 10762at5820          -            224   1.9e-27   94.8   0.3   1   1   3.9e-30   2.2e-27   94.6   0.3     7   208     5   210     1   220 0.89 proteasome subunit alpha type-2, putative [Plasmodium vivax]
SCO73545.1           -            246 10762at5820          -            224   1.1e-25   89.1   1.3   1   1   2.3e-28   1.3e-25   88.8   1.3     7   204     4   207     1   219 0.84 proteasome subunit alpha type-4, putative [Plasmodium vivax]
SCO70675.1           -            256 10762at5820          -            224   1.2e-19   69.4   0.1   1   1   2.5e-22   1.4e-19   69.1   0.1     6   189     6   199     1   232 0.78 proteasome subunit alpha type-5, putative [Plasmodium vivax]
SCO70473.1           -            260 10762at5820          -            224   1.2e-19   69.4   3.4   1   1   2.6e-22   1.5e-19   69.0   3.4     7   193     8   208     2   232 0.77 proteasome subunit alpha type-6, putative [Plasmodium vivax]
SCO73544.1           -            241 10762at5820          -            224   3.5e-19   67.8   0.1   1   1   7.3e-22   4.2e-19   67.6   0.1     7   198     2   197     1   220 0.87 proteasome subunit alpha type-7, putative [Plasmodium vivax]
SCO74541.1           -            269 10762at5820          -            224   1.7e-17   62.3   2.2   1   1   3.8e-20   2.2e-17   62.0   2.2     8   187     6   187     2   215 0.82 proteasome subunit alpha type-1, putative [Plasmodium vivax]
SCO70508.1           -            256 10762at5820          -            224    0.0019   16.4   1.5   1   1   4.9e-06    0.0028   15.8   1.5    36   139    11   116     5   151 0.79 proteasome subunit beta type-4, putative [Plasmodium vivax]
SCO75551.1           -            207 10762at5820          -            224     0.002   16.3   0.1   1   1   5.8e-06    0.0033   15.6   0.1    42   103    44   106    35   204 0.83 ATP-dependent protease subunit ClpQ, putative [Plasmodium vivax]
SCO73168.1           -            241 10762at5820          -            224    0.0081   14.3   0.9   1   1   2.2e-05     0.013   13.7   0.8    31   164    35   169    28   213 0.78 proteasome subunit beta type-1, putative [Plasmodium vivax]
SCO70614.1           -            218 10762at5820          -            224      0.01   13.9   0.1   1   1   2.2e-05     0.012   13.7   0.1    59   132    35   110     2   161 0.67 proteasome subunit beta type-3, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10762at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10762at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10762at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:30:20 2026
# [ok]
