#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72780.1           -           1734 1332at5820           -            802         0 1238.9  40.6   1   9    0.0087        55    0.1   0.0     2    24   329   352   328   355 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72780.1           -           1734 1332at5820           -            802         0 1238.9  40.6   2   9   4.1e-89   2.6e-85  285.6   0.1    18   207   407   603   403   606 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72780.1           -           1734 1332at5820           -            802         0 1238.9  40.6   3   9    0.0076        48    0.3   0.0   200   220   623   643   615   656 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72780.1           -           1734 1332at5820           -            802         0 1238.9  40.6   4   9   2.3e-18   1.5e-14   51.6   3.5   221   256   778   813   770   820 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72780.1           -           1734 1332at5820           -            802         0 1238.9  40.6   5   9   2.2e-51   1.4e-47  160.8   0.5   257   360   866   971   864   980 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72780.1           -           1734 1332at5820           -            802         0 1238.9  40.6   6   9   1.6e-19     1e-15   55.4   0.1   360   413  1073  1129  1059  1134 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72780.1           -           1734 1332at5820           -            802         0 1238.9  40.6   7   9   2.3e-57   1.4e-53  180.6   0.0   413   522  1172  1288  1164  1299 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72780.1           -           1734 1332at5820           -            802         0 1238.9  40.6   8   9   1.4e-42   8.9e-39  131.7   0.0   516   603  1319  1409  1313  1418 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72780.1           -           1734 1332at5820           -            802         0 1238.9  40.6   9   9  1.3e-118  8.3e-115  383.2  11.2   603   801  1534  1733  1497  1734 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1332at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1332at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1332at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:32:02 2026
# [ok]
