#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71073.1           -           1029 2944at5820           -            483  2.5e-250  829.9  35.1   1   3   3.5e-69   4.6e-67  225.5   9.8     4   131     9   141     4   157 0.93 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO71073.1           -           1029 2944at5820           -            483  2.5e-250  829.9  35.1   2   3   1.9e-07   2.5e-05   21.9   0.8   125   152   220   248   214   261 0.85 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO71073.1           -           1029 2944at5820           -            483  2.5e-250  829.9  35.1   3   3  1.2e-180  1.5e-178  593.1   9.6   153   483   643  1022   620  1022 0.91 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO73904.1           -           1730 2944at5820           -            483   8.6e-29   99.3  16.1   1   3     0.012       1.5    6.1   0.9    10    44   466   500   459   507 0.87 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO73904.1           -           1730 2944at5820           -            483   8.6e-29   99.3  16.1   2   3   3.5e-09   4.6e-07   27.6   4.6   159   298  1182  1329  1147  1340 0.70 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO73904.1           -           1730 2944at5820           -            483   8.6e-29   99.3  16.1   3   3   1.6e-22   2.1e-20   71.6   0.1   314   441  1519  1658  1464  1666 0.79 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO72717.1           -           1966 2944at5820           -            483   1.3e-26   92.1   1.5   1   2       7.9     1e+03   -3.2   0.2     6    35   130   159   126   169 0.77 calcium-dependent protein kinase 7, putative [Plasmodium vivax]
SCO72717.1           -           1966 2944at5820           -            483   1.3e-26   92.1   1.5   2   2   9.6e-29   1.3e-26   92.1   1.5   253   443  1514  1716  1494  1735 0.79 calcium-dependent protein kinase 7, putative [Plasmodium vivax]
SCO70533.1           -            721 2944at5820           -            483   1.9e-23   81.7   1.6   1   1     2e-25   2.7e-23   81.2   1.6   245   452   452   670   440   696 0.81 protein kinase, putative [Plasmodium vivax]
SCO74371.1           -            861 2944at5820           -            483   3.1e-22   77.6   7.8   1   2   2.4e-24   3.1e-22   77.6   7.8   246   441   477   683   457   699 0.83 serine/threonine protein kinase KIN, putative [Plasmodium vivax]
SCO74371.1           -            861 2944at5820           -            483   3.1e-22   77.6   7.8   2   2       3.8     5e+02   -2.2   0.9   213   253   776   817   739   820 0.76 serine/threonine protein kinase KIN, putative [Plasmodium vivax]
