#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72019.1           -            950 2786at5820           -            668         0 1172.0  49.1   1   4   2.7e-91   3.4e-88  295.4   3.3     1   187   129   326   129   336 0.96 protein kinase, putative [Plasmodium vivax]
SCO72019.1           -            950 2786at5820           -            668         0 1172.0  49.1   2   4   3.7e-09   4.6e-06   24.0   2.3   174   229   363   423   348   435 0.81 protein kinase, putative [Plasmodium vivax]
SCO72019.1           -            950 2786at5820           -            668         0 1172.0  49.1   3   4   1.4e-27   1.8e-24   84.9   5.4   219   279   438   498   425   503 0.94 protein kinase, putative [Plasmodium vivax]
SCO72019.1           -            950 2786at5820           -            668         0 1172.0  49.1   4   4  1.3e-239  1.6e-236  785.5  15.1   278   668   524   938   511   938 0.95 protein kinase, putative [Plasmodium vivax]
SCO72419.1           -           1600 2786at5820           -            668   1.8e-09   35.3   0.8   1   1   2.2e-12   2.8e-09   34.7   0.8   414   605  1346  1536  1313  1546 0.68 aurora-related kinase 2, putative [Plasmodium vivax]
SCO72851.1           -            323 2786at5820           -            668   2.4e-06   24.9   0.9   1   2     0.038        48    0.8   0.0   395   416     4    25     2    40 0.85 casein kinase 1, putative [Plasmodium vivax]
SCO72851.1           -            323 2786at5820           -            668   2.4e-06   24.9   0.9   2   2   1.3e-08   1.6e-05   22.2   0.2   487   562    80   157    75   165 0.82 casein kinase 1, putative [Plasmodium vivax]
SCO73517.1           -            288 2786at5820           -            668   5.6e-06   23.7   0.0   1   1   6.2e-09   7.8e-06   23.3   0.0   406   605    10   195     1   202 0.71 protein kinase 5 [Plasmodium vivax]
SCO72017.1           -           3241 2786at5820           -            668   0.00094   16.4   0.4   1   2   2.2e-06    0.0028   14.8   0.1   515   562  3055  3104  3041  3117 0.83 protein kinase, putative [Plasmodium vivax]
SCO72017.1           -           3241 2786at5820           -            668   0.00094   16.4   0.4   2   2      0.17   2.1e+02   -1.3   0.0   623   656  3196  3229  3193  3232 0.87 protein kinase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2786at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2786at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2786at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:44:35 2026
# [ok]
