#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73100.1           -            964 7767at5820           -            425  9.1e-197  652.6 144.9   1   5  3.6e-112  2.3e-109  364.6  15.8     1   203    14   217    14   226 0.82 zinc finger protein, putative [Plasmodium vivax]
SCO73100.1           -            964 7767at5820           -            425  9.1e-197  652.6 144.9   2   5      0.16        99    0.1  45.3   147   300   230   380   222   445 0.64 zinc finger protein, putative [Plasmodium vivax]
SCO73100.1           -            964 7767at5820           -            425  9.1e-197  652.6 144.9   3   5   8.1e-24   5.1e-21   73.6  28.3   178   279   445   558   395   562 0.77 zinc finger protein, putative [Plasmodium vivax]
SCO73100.1           -            964 7767at5820           -            425  9.1e-197  652.6 144.9   4   5   1.8e-47   1.1e-44  151.5  25.6   208   379   599   770   579   821 0.78 zinc finger protein, putative [Plasmodium vivax]
SCO73100.1           -            964 7767at5820           -            425  9.1e-197  652.6 144.9   5   5     5e-26   3.2e-23   80.8   4.5   374   425   913   964   897   964 0.89 zinc finger protein, putative [Plasmodium vivax]
SCO71821.1           -            839 7767at5820           -            425   9.1e-36  122.2  14.1   1   5   1.4e-38   9.1e-36  122.2  14.1     5   156    38   183    34   224 0.75 zinc finger protein, putative [Plasmodium vivax]
SCO71821.1           -            839 7767at5820           -            425   9.1e-36  122.2  14.1   2   5       3.2     2e+03   -4.2   8.4   148   238   314   400   294   407 0.62 zinc finger protein, putative [Plasmodium vivax]
SCO71821.1           -            839 7767at5820           -            425   9.1e-36  122.2  14.1   3   5        10   6.3e+03  -16.5  28.6   150   303   378   541   368   551 0.59 zinc finger protein, putative [Plasmodium vivax]
SCO71821.1           -            839 7767at5820           -            425   9.1e-36  122.2  14.1   4   5        10   6.3e+03  -20.2  32.2   121   271   454   604   448   623 0.59 zinc finger protein, putative [Plasmodium vivax]
SCO71821.1           -            839 7767at5820           -            425   9.1e-36  122.2  14.1   5   5        10   6.3e+03  -15.8  18.4   216   272   634   689   613   758 0.53 zinc finger protein, putative [Plasmodium vivax]
SCO72227.1           -            510 7767at5820           -            425     1e-25   89.0   7.4   1   3   1.7e-28     1e-25   89.0   7.4     4   121     9   129     6   175 0.85 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO72227.1           -            510 7767at5820           -            425     1e-25   89.0   7.4   2   3      0.21   1.3e+02   -0.3   0.6   204   262   234   294   222   329 0.62 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
