#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7   1  21   0.00018       1.1    3.9   0.1     1    23     1    23     1    30 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7   2  21   0.00048         3    2.4   0.0    21    40    69    88    62    92 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7   3  21  1.4e-117  8.9e-114  379.2   9.6    41   249   170   383   167   385 0.99 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7   4  21   3.4e-34   2.2e-30  102.5   2.3   244   307   435   498   426   500 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7   5  21   6.2e-36   3.9e-32  108.3   0.3   302   379   610   687   598   693 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7   6  21  6.8e-210  4.3e-206  685.6  25.5   377   797   738  1189   734  1191 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7   7  21    8e-157    5e-153  509.5  21.0   796  1127  1271  1618  1264  1621 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7   8  21  4.9e-155  3.1e-151  503.5   2.2  1128  1522  1647  2126  1641  2129 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7   9  21   5.2e-50   3.3e-46  155.0   2.9  1522  1633  2213  2328  2209  2335 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  10  21  4.3e-200  2.7e-196  653.0  23.0  1640  2109  2425  2964  2408  2966 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  11  21   1.9e-42   1.2e-38  129.9   0.7  2109  2209  2998  3105  2979  3113 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  12  21    0.0005       3.1    2.4   0.0  2199  2231  3129  3162  3121  3172 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  13  21   2.3e-91   1.4e-87  292.2   3.9  2226  2492  3208  3507  3199  3512 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  14  21     8e-34     5e-30  101.3   0.5  2493  2564  3560  3631  3554  3634 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  15  21   3.6e-24   2.2e-20   69.2   0.1  2564  2636  3688  3768  3677  3779 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  16  21   6.9e-36   4.3e-32  108.1   0.1  2649  2748  3839  3954  3826  3963 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  17  21   6.5e-29   4.1e-25   85.0   1.5  2790  2889  4207  4330  4205  4339 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  18  21   9.4e-51   5.9e-47  157.4   4.5  2885  3045  4375  4573  4373  4577 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  19  21  1.3e-138  8.2e-135  449.0   0.0  3042  3356  4606  4937  4601  4940 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  20  21   2.4e-11   1.5e-07   26.7   1.1  3354  3388  5022  5056  5012  5074 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71626.1           -           5176 70at5820             -           3440         0 4502.1 219.7  21  21   1.4e-21   8.6e-18   60.7   1.0  3376  3440  5103  5175  5101  5175 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/70at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/70at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/70at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:56:34 2026
# [ok]
